와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,양조,숙성
리바 데이 프라티 로제,Riva dei Frati Rose,https://www.wine21.com/13_search/wine_view.html?Idx=164286&lq=LIST,아지엔다 빈 리바 데이 프라티  Az. Vin Riva dei Frati,이탈리아(Italy) / 베네토(Veneto),피노 네로 (Pinot Nero),,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,2/5,3/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,
리바 데이 프라티 프로세코 TV 프리잔테,Riva dei Frati Prosecco TV Frizzante,https://www.wine21.com/13_search/wine_view.html?Idx=164287&lq=LIST,아지엔다 빈 리바 데이 프라티  Az. Vin Riva dei Frati,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera),Prosecco DOC(DOP),,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,2/5,3/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,
모스카토 다스티 카넬리 '소리 데이 피오리',Moscato d'Asti Canelli 'Sori dei Fiori,https://www.wine21.com/13_search/wine_view.html?Idx=164288&lq=LIST,보끼노 쥬세페 디 보끼노 안날리자  Bocchino Giuseppe di Bocchino Annalisa,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ) 100%,,,6~8 ℃,"샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.",,,4/5,2/5,2/5,1/5,,샐러드,,,
"보끼노 쥬세페 디 보끼노 안날리자, 바르베라 다스티 수페리오레 '바르바릭'","Bocchino Giuseppe di Bocchino Annalisa, Barbera d'Asti Superiore 'Barbaric'",https://www.wine21.com/13_search/wine_view.html?Idx=164289&lq=LIST,보끼노 쥬세페 디 보끼노 안날리자  Bocchino Giuseppe di Bocchino Annalisa,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),바르베라 (Barbera),Barbera d'Asti DOCG(DOP),,15~17 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,,1/5,4/5,3/5,4/5,,족발,,,
"보끼노 쥬세페 디 보끼노 안날리자, 바르베라 다스티 수페리오레 '블린친'","Bocchino Giuseppe di Bocchino Annalisa, Barbera d'Asti Superiore 'Blincin'",https://www.wine21.com/13_search/wine_view.html?Idx=164290&lq=LIST,보끼노 쥬세페 디 보끼노 안날리자  Bocchino Giuseppe di Bocchino Annalisa,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),바르베라 (Barbera),Barbera d'Asti DOCG(DOP),,15~17 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,,1/5,4/5,3/5,2/5,,족발,,,
아르두이네,Arduine,https://www.wine21.com/13_search/wine_view.html?Idx=164291&lq=LIST,보끼노 쥬세페 디 보끼노 안날리자  Bocchino Giuseppe di Bocchino Annalisa,이탈리아(Italy) / 피에몬테(Piemonte),바르베라 (Barbera),,,15~17 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,,1/5,4/5,3/5,2/5,,족발,,,
피에몬테 샤도네이 '엘리아',Piemonte Chardonnay 'Elyà',https://www.wine21.com/13_search/wine_view.html?Idx=164292&lq=LIST,보끼노 쥬세페 디 보끼노 안날리자  Bocchino Giuseppe di Bocchino Annalisa,이탈리아(Italy) / 피에몬테(Piemonte),샤르도네 (Chardonnay),Piemonte DOC(DOP),,10~12 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"스시, 해산물, 파스타, 치즈",,,
"보르고 카스타니, 모스카토 다스티","Borgo Castagni, Moscato d'Asti",https://www.wine21.com/13_search/wine_view.html?Idx=164293&lq=LIST,보르고 카스타니  Borgo Castagni,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ) 100%,,,6~8 ℃,"샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.",,,4/5,2/5,2/5,1/5,,샐러드,,,
"보르고 카스타니, 바롤로","Borgo Castagni, Barolo",https://www.wine21.com/13_search/wine_view.html?Idx=164294&lq=LIST,보르고 카스타니  Borgo Castagni,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo),Barolo DOCG(DOP),,15~17 ℃,"트러플, 양갈비, 스튜, 그릴요리, 바비큐, 포크, 버섯, 프로슈토, 라자냐, 이탈리안 음식과 잘 어울린다.",,,1/5,4/5,3/5,5/5,,"양갈비, 프로슈토, 라자냐",,,
"보르고 카스타니, 바르바레스코","Borgo Castagni, Barbaresco",https://www.wine21.com/13_search/wine_view.html?Idx=164295&lq=LIST,보르고 카스타니  Borgo Castagni,이탈리아(Italy) / 피에몬테(Piemonte) / 바르바레스코(Barbaresco),네비올로 (Nebbiolo),Barbaresco DOCG(DOP),,15~17 ℃,"붉은육류, 트러플, 훈제오리, 치킨, 바비큐, 라자냐, 파스타, 치즈와 잘 어울린다.",,,1/5,4/5,2/5,4/5,,"붉은육류, 바비큐, 트러플, 치즈",,,
"보르고 카스타니, 바르베라 달바","Borgo Castagni, Barbera d'Alba",https://www.wine21.com/13_search/wine_view.html?Idx=164296&lq=LIST,보르고 카스타니  Borgo Castagni,이탈리아(Italy) / 피에몬테(Piemonte) / 알바(Alba),바르베라 (Barbera),Barbera d'Alba DOC(DOP),,15~17 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,,1/5,4/5,3/5,3/5,,족발,,,
"보르고 카스타니, 바르베라 다스티 수페리오레","Borgo Castagni, Barbera d'Asti Superiore",https://www.wine21.com/13_search/wine_view.html?Idx=164297&lq=LIST,보르고 카스타니  Borgo Castagni,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),바르베라 (Barbera),Barbera d'Asti DOCG(DOP),,15~17 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,,1/5,4/5,3/5,3/5,,족발,,,
"보시오 비니, 바르베라 다스티 수페리오레","Bosio Vini, Barbera d'Asti Superiore",https://www.wine21.com/13_search/wine_view.html?Idx=164298&lq=LIST,보시오 비니  Bosio Vini,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),바르베라 (Barbera),Barbera d'Asti DOCG(DOP),,15~17 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,,1/5,4/5,3/5,2/5,,족발,,,
"보시오 비니, 바롤로","Bosio Vini, Barolo",https://www.wine21.com/13_search/wine_view.html?Idx=164299&lq=LIST,보시오 비니  Bosio Vini,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo),Barolo DOCG(DOP),,15~17 ℃,"트러플, 양갈비, 스튜, 그릴요리, 바비큐, 포크, 버섯, 프로슈토, 라자냐, 이탈리안 음식과 잘 어울린다.",,,1/5,4/5,3/5,5/5,,"양갈비, 프로슈토, 라자냐",,,
"보시오 비니, 바르바레스코","Bosio Vini, Barbaresco",https://www.wine21.com/13_search/wine_view.html?Idx=164300&lq=LIST,보시오 비니  Bosio Vini,이탈리아(Italy) / 피에몬테(Piemonte) / 바르바레스코(Barbaresco),네비올로 (Nebbiolo),Barbaresco DOCG(DOP),,15~17 ℃,"붉은육류, 트러플, 훈제오리, 치킨, 바비큐, 라자냐, 파스타, 치즈와 잘 어울린다.",,,1/5,4/5,2/5,4/5,,"붉은육류, 바비큐, 트러플, 치즈",,,
"보시오 비니, 가비 코르테제 디 가비","Bosio Vini, Gavi Cortese di Gavi",https://www.wine21.com/13_search/wine_view.html?Idx=164301&lq=LIST,보시오 비니  Bosio Vini,이탈리아(Italy) / 피에몬테(Piemonte),코르테제 (Cortese),Gavi / Cortese di Gavi DOCG(DOP),,10~12 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"스시, 해산물, 파스타, 치즈",,,
"아지엔다 아그리콜라 비올로지카 발료 데이 페니코떼리 디 스콰지 쥬세페, 레스펜사","Azienda Agricola Biologica Baglio dei Fenicotteri di Squasi Giuseppe, Respensa",https://www.wine21.com/13_search/wine_view.html?Idx=164302&lq=LIST,아지엔다 아그리콜라 비올로지카 발료 데이 페니코떼리 디 스콰지 쥬세페  Azienda Agricola Biologica Baglio dei Fenicotteri di Squasi Giuseppe,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola),,,16~18 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 프로슈토, 파스타와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"바비큐, 양갈비, 프로슈토, 훈제오리, 파스타",,,
"아지엔다 아그리콜라 비올로지카 발료 데이 페니코떼리 디 스콰지 쥬세페, 칼람피시","Azienda Agricola Biologica Baglio dei Fenicotteri di Squasi Giuseppe, Calampisi",https://www.wine21.com/13_search/wine_view.html?Idx=164303&lq=LIST,아지엔다 아그리콜라 비올로지카 발료 데이 페니코떼리 디 스콰지 쥬세페  Azienda Agricola Biologica Baglio dei Fenicotteri di Squasi Giuseppe,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola),,,16~18 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 프로슈토, 파스타와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"바비큐, 양갈비, 프로슈토, 훈제오리, 파스타",,,
"아지엔다 아그리콜라 비올로지카 발료 데이 페니코떼리 디 스콰지 쥬세페, 파키우스 오이노스","Azienda Agricola Biologica Baglio dei Fenicotteri di Squasi Giuseppe, Pachius Oinos",https://www.wine21.com/13_search/wine_view.html?Idx=164304&lq=LIST,아지엔다 아그리콜라 비올로지카 발료 데이 페니코떼리 디 스콰지 쥬세페  Azienda Agricola Biologica Baglio dei Fenicotteri di Squasi Giuseppe,이탈리아(Italy) / 시칠리아(Sicilia),,Sicilia IGT(IGP),,16~18 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 프로슈토, 파스타와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"바비큐, 양갈비, 프로슈토, 훈제오리, 파스타",,,
"아지엔다 아그리콜라 비올로지카 발료 데이 페니코떼리 디 스콰지 쥬세페, 프리마모레","Azienda Agricola Biologica Baglio dei Fenicotteri di Squasi Giuseppe, Prim'Amore",https://www.wine21.com/13_search/wine_view.html?Idx=164305&lq=LIST,아지엔다 아그리콜라 비올로지카 발료 데이 페니코떼리 디 스콰지 쥬세페  Azienda Agricola Biologica Baglio dei Fenicotteri di Squasi Giuseppe,이탈리아(Italy) / 시칠리아(Sicilia),,,,8~10 ℃,"참치, 연어, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,,치즈,,,
"아지엔다 아그리콜라 비올로지카 발료 데이 페니코떼리 디 스콰지 쥬세페, 플로레오","Azienda Agricola Biologica Baglio dei Fenicotteri di Squasi Giuseppe, Floreo",https://www.wine21.com/13_search/wine_view.html?Idx=164306&lq=LIST,아지엔다 아그리콜라 비올로지카 발료 데이 페니코떼리 디 스콰지 쥬세페  Azienda Agricola Biologica Baglio dei Fenicotteri di Squasi Giuseppe,이탈리아(Italy) / 시칠리아(Sicilia),,Sicilia IGT(IGP),,8~10 ℃,"참치, 연어, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,,치즈,,,
"브랜드랜드 SRL, 벨라리아 타우라시","BrandLand SRL, Bellaria Taurasi",https://www.wine21.com/13_search/wine_view.html?Idx=164307&lq=LIST,브랜드랜드 SRL  BrandLand SRL,이탈리아(Italy) / 깜빠니아(Campania),알리아니코 (Aglianico) 100%,Taurasi DOCG(DOP),14~15 %,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 바비큐, 양고기, 라자냐, 리조또, 파스타, 다양한 치즈와 잘 어울린다.",,,1/5,3/5,5/5,4/5,,"바비큐, 양고기, 치즈",,"De-stemming and light pressing, inoculation of selected yeasts, 25-30°C temperature controlled maceration, racking off and soft pressing of pomace.","Ageing in barriques for 18 months. Storage in steel tanks until bottling, refinement in the bottle for at least 6 months."
"브랜드랜드 SRL, 보칼레 몬테팔코 사그란티노","BrandLand SRL, Bocale Montefalco Sagrantino",https://www.wine21.com/13_search/wine_view.html?Idx=164308&lq=LIST,브랜드랜드  Brandland SRL [B2B],이탈리아(Italy) / 움브리아(Umbria),사그란티노 (Sagrantino),Montefalco Sagrantino DOCG(DOP),,16~18 ℃,"로스트비프, 수육, 족발, 라자냐, 리조토, 파스타, 다양한 치즈와 잘 어울린다.",,,1/5,3/5,4/5,4/5,,치즈,,,
"브랜드랜드 SRL, 키오리 셀레지오네 메를로 콜리 페루지니","BrandLand SRL, Chiorri Selezione Merlot Colli Perugini",https://www.wine21.com/13_search/wine_view.html?Idx=164309&lq=LIST,브랜드랜드 SRL  BrandLand SRL,이탈리아(Italy) / 움브리아(Umbria),메를로 (Merlot),Colli Perugini DOC(DOP),,16~18 ℃,"스테이크, 바비큐, 소시지, 불고기, 파스타, 한국음식 과 잘 어울린다.",,,1/5,3/5,4/5,3/5,,"스테이크, 파스타",,,
"카루소 에 미니니, 타사리 네로 다볼라 메를로","Caruso & Minini, Tasari Nero d'Abola Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=164310&lq=LIST,카루소 에 미니니  Caruso & Minini,이탈리아(Italy) / 시칠리아(Sicilia),메를로 (Merlot),Sicilia IGT(IGP),,16~18 ℃,"스테이크, 바비큐, 소시지, 불고기, 파스타, 한국음식 과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,"스테이크, 파스타",,,
"카루소 에 미니니, 쿠소라 카베르네 소비뇽","Caruso & Minini, Cusora Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164311&lq=LIST,카루소 에 미니니  Caruso & Minini,이탈리아(Italy) / 시칠리아(Sicilia),카베르네 소비뇽 (Cabernet Sauvignon),,,16~18 ℃,"스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 양념갈비, 족발, 한국음식과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,"바비큐, 양갈비",,,
"카루소 에 미니니, 나투랄멘테 비오 네로 다볼라","Caruso & Minini, Naturalmente Bio Nero d'Abola",https://www.wine21.com/13_search/wine_view.html?Idx=164312&lq=LIST,카루소 에 미니니  Caruso & Minini,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola),,,16~18 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 프로슈토, 파스타와 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,4/5,4/5,4/5,,"바비큐, 양갈비, 프로슈토, 훈제오리, 파스타",,,
"카루소 에 미니니, 쿠타야 네로 달볼라 리세르바","Caruso & Minini, Cutaja Nero d'Abola Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=164313&lq=LIST,카루소 에 미니니  Caruso & Minini,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola),,,16~18 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 프로슈토, 파스타와 잘 어울린다.",,,1/5,4/5,4/5,4/5,,"바비큐, 양갈비, 프로슈토, 훈제오리, 파스타",,,
"카루소 에 미니니, 델리아 니보렐리 시라 리제르바","Caruso & Minini, Delia Nivolelli Syrah Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=164314&lq=LIST,카루소 에 미니니  Caruso & Minini,이탈리아(Italy) / 시칠리아(Sicilia),시라/쉬라즈 (Syrah/Shiraz),,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,,양갈비,,,
포죠 니끼아이아 – 베르멘티노 코스타 토스카나,Poggio Nicchiaia - Vermentino Costa Toscana,https://www.wine21.com/13_search/wine_view.html?Idx=164315&lq=LIST,브랜드랜드 SRL  BrandLand SRL,이탈리아(Italy) / 토스카나(Toscana),베르멘티노 (Vermentino),Costa Toscana IGT(IGP),,10~12 ℃,"참치, 연어, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,치즈,,,
테누타 산 빈첸티 키안티 클라시코 그란 셀레지오네,Tenuta San Vincenti Chianti Classico Gran Selezione,https://www.wine21.com/13_search/wine_view.html?Idx=164316&lq=LIST,브랜드랜드 SRL  BrandLand SRL,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese),Chianti Classico DOCG(DOP),,15~17 ℃,"붉은육류, 스테이크, 로스트비프, 족발, 라자냐, 파스타, 한국음식 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,,,,,
"레 비녜 디 삼마르코, 클라시카 프리미티보 디 만두리아","Le Vigne di Sammarco, Classica Primitivo Di Manduria",https://www.wine21.com/13_search/wine_view.html?Idx=164322&lq=LIST,레 비녜 디 삼마르코  Le Vigne di Sammarco,이탈리아(Italy) / 뿔리아(Puglia) / 만두리아(Manduria),프리미티보 (Primitivo),,,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,,2/5,2/5,5/5,3/5,,"살라미, 견과류, 치즈",,,
엔조 빈첸조 풀리아 로쏘 다 우베 아파씨테,Enzo Vincenzo Puglia Rosso Da Uve Appassite,https://www.wine21.com/13_search/wine_view.html?Idx=164323&lq=LIST,깐티네 스가르지 루이지  Cantine Sgarzi Luigi,이탈리아(Italy) / 뿔리아(Puglia),네그로아마로 (Negroamaro) / 프리미티보 (Primitivo) / 메를로 (Merlot),Puglia IGT(IGP),,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"살라미, 견과류, 치즈",,,
"레 비녜 디 삼마르코, 아르케 프리미티보 디 만두리아","Le Vigne di Sammarco, Arche Primitivo di Manduria",https://www.wine21.com/13_search/wine_view.html?Idx=164324&lq=LIST,레 비녜 디 삼마르코  Le Vigne di Sammarco [B2B],이탈리아(Italy) / 뿔리아(Puglia) / 만두리아(Manduria),프리미티보 (Primitivo),,,17~19 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,,2/5,2/5,5/5,3/5,,"살라미, 견과류, 치즈",,,
루이지 레오나르도 프리미티보 살렌토,Luigi Leonardo Primitivo Salento,https://www.wine21.com/13_search/wine_view.html?Idx=164325&lq=LIST,칸티네 스카르지 루이기  Cantine Sgarzi Luigi srl  [B2B],이탈리아(Italy) / 뿔리아(Puglia),프리미티보 (Primitivo),Salento IGT(IGP),,15~17 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,,2/5,2/5,5/5,3/5,,"살라미, 견과류, 치즈",,,
"레 비녜 디 삼마르코, 클라시카 살리체 살렌티노 리세르바","Le Vigne di Sammarco, Classica Salice Salentino Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=164326&lq=LIST,레 비녜 디 삼마르코  Le Vigne di Sammarco,이탈리아(Italy) / 뿔리아(Puglia),네그로아마로 (Negroamaro) / 말바시아 네라 (Malvasia nera),,,16~18 ℃,"양갈비, 양고기, 스테이크, 살라미, 견과류, 말린과일 과 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"스테이크, 살라미, 견과류",,,
루이지 레오나르도 네로 다볼라 - 메를로 시칠리아,Luigi Leonardo Nero d'Avola - Merlot Sicilia,https://www.wine21.com/13_search/wine_view.html?Idx=164327&lq=LIST,깐티네 스가르지 루이지  Cantine Sgarzi Luigi,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola) / 메를로 (Merlot),Sicilia DOC(DOP),,15~17 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 프로슈토, 파스타와 잘 어울린다.",,,1/5,3/5,4/5,3/5,,"바비큐, 양갈비, 프로슈토, 훈제오리, 파스타",,,
