와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,알코올,기타정보
"도멘 브누아 엉뜨, 부르고뉴 알리고떼 안티슈톤","Domaine Benoit Ente, Bourgogne Aligote Antichtone",https://www.wine21.com/13_search/wine_view.html?Idx=171900&lq=LIST,브누아 엉뜨  Benoit Ente,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 도르(Cote d'Or),알리고테 (Aligote) 100%,Puligny-Montrachet AOC(AOP),Indigenous yeast  /  Fermented in oak barrels and stainless steel tanks,12 months in oak barrels and stainless steel tanks  /  6 months in stainless steel tanks on fine lees  /  No filtration,8~10 ℃,,크리스탈와인,1/5,4/5,3/5,1/5,"시트러스, 꽃, 미네랄, 허브","초밥, 생선회, 해산물, 오일파스타, 식전주, 샐러드",,,"* Burghound: 87(2021), 87-89(2020), 86-89(2019)* 2022 빈티지 - 8,356 병 한정 생산"
"샤를 뒤푸, 꼬또 샹쁘누아 블랑","Charles Dufour, Coteaux Champenois Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=171901&lq=LIST,샴페인 샤를 뒤푸  Champagne Charles Dufour,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 바(Côte des Bar),피노 누아 (Pinot Noir) 60% / 샤르도네 (Chardonnay) 30% / 피노 블랑 (Pinot Blanc) 10%,,야생 효모 사용,알자스산 푸드르 사용,8~10 ℃,,크리스탈와인,1/5,4/5,3/5,1/5,,,,,
"샤를 뒤푸, 비스트로따쥬 로제 엑스트라 브뤼 (프랑수와즈 마티노)","Charles Dufour, Bistrotage Rose Extra Brut (Francoise Martinot)",https://www.wine21.com/13_search/wine_view.html?Idx=171902&lq=LIST,샴페인 샤를 뒤푸  Champagne Charles Dufour,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 바(Côte des Bar),피노 누아 (Pinot Noir) 100%,,야생 효모 사용,"36 months in oak barrel and stainless steel tank  /  No fining, no filtration  /  No SO2 added",14~16 ℃,,크리스탈와인,1/5,3/5,2/5,1/5,,,,,"* 비스트로따쥬 로제는 샤를 뒤푸의 어머니인 프랑수와즈 마르티노로부터 공급받은 피노 누아를 사용했다. 그녀의 포도밭은 샤를 뒤푸가 위치한 Landreville의 바로 윗 동네인 Vallée de l'Arce, Chervey(발레 드 라르크, 셰르베)에 위치하고 있다. 비스트로따쥬 로제의 경우는 Chervey 말고도 Vallée de la Seine(발레 드 라 센) 지역의 포도도 사용하였다.샤를 뒤푸와 마찬가지로 유기농으로 재배된다. 양조, 숙성 모두 샤를 뒤푸가 맡았으나 레이블은 도멘 프랑수와즈 마티노의 이름으로 출시된다.Chervey(셰르베)라고 하는 와인 70%, 리저브 와인 10%를 블렌딩한 후 나머지 20%는 레드와인을 블렌딩했다. 각 와인은 파이닝, 필터링을 거치지 않았으며 데고르주멍 작업 시 이산화황을 첨가하지 않았다."
"엠마뉴엘 브로쉐, 로제 드 쎄니에","Emmanuel Brochet, Rose de Saignee",https://www.wine21.com/13_search/wine_view.html?Idx=171903&lq=LIST,샴페인 엠마뉴엘 브로쉐  Champagne Emmanuel Brochet,프랑스(France) / 샹빠뉴(Champagne) / 몽따뉴 드 랭스(Montagne de Reims),피노 뮈니에 (Pinot Meunier) 100%,,"24시간 스테인리스 탱크에서 마쎄라시옹, 토착 효모 사용",11개월간 오크 배럴에서 숙성 (30% 새 오크),6~8 ℃,,크리스탈와인,1/5,4/5,3/5,1/5,,,French Champagne,,
"엠마뉴엘 브로쉐, 밀레짐 셀렉시온 엑스트라 브뤼","Emmanuel Brochet, Millesime Selectionne Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171904&lq=LIST,샴페인 엠마뉴엘 브로쉐  Champagne Emmanuel Brochet,프랑스(France) / 샹빠뉴(Champagne) / 발레 드 라 마른(Vallee de la Marne),피노 누아 (Pinot Noir) 60% / 피노 뮈니에 (Pinot Meunier) 25% / 샤르도네 (Chardonnay) 15%,,"토착 효모 사용, 스틸 탱크에서 말로락틱 발효",병에서 12년 동안 리 숙성,8~10 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,French Champagne,12~13 %,
"프랭크 코넬리센, 문제벨 로쏘 에프엠","Frank Cornelissen, Munjebel Rosso FM",https://www.wine21.com/13_search/wine_view.html?Idx=171905&lq=LIST,프랭크 코넬리센  Frank Cornelissen,이탈리아(Italy) / 시칠리아(Sicilia),네렐로 마스칼레제 (Nerello Mascalese) 100%,Terre Siciliane IGT(IGP),,"에폭시 탱크에서 18개월간 숙성 후, 병에서 18개월간 숙성",16~18 ℃,,크리스탈와인,1/5,3/5,3/5,3/5,,,,,
"프랭크 코넬리센, 문제벨 로쏘 피에이","Frank Cornelissen, Munjebel Rosso PA",https://www.wine21.com/13_search/wine_view.html?Idx=171906&lq=LIST,프랭크 코넬리센  Frank Cornelissen,이탈리아(Italy) / 시칠리아(Sicilia),네렐로 마스칼레제 (Nerello Mascalese) 100%,Terre Siciliane IGT(IGP),,"에폭시 탱크에서 18개월간 숙성 후, 병에서 18개월간 숙성",16~18 ℃,,크리스탈와인,1/5,3/5,3/5,3/5,,,,,
"프랭크 코넬리센, 문제벨 로쏘 비비","Frank Cornelissen, Munjebel Rosso BB",https://www.wine21.com/13_search/wine_view.html?Idx=171907&lq=LIST,프랭크 코넬리센  Frank Cornelissen,이탈리아(Italy) / 시칠리아(Sicilia),네렐로 마스칼레제 (Nerello Mascalese) 100%,Terre Siciliane IGT(IGP),,"에폭시 탱크에서 18개월간 숙성 후, 병에서 18개월간 숙성",16~18 ℃,,크리스탈와인,1/5,3/5,3/5,3/5,,,,,
"조르쥬 라발, 레 오뜨 셰브르 브뤼 나뚜르","Georges Laval, Les Hautes Chevres Brut Nature",https://www.wine21.com/13_search/wine_view.html?Idx=171908&lq=LIST,조르쥐 라발  Georges Laval,프랑스(France) / 샹빠뉴(Champagne) / 발레 드 라 마른(Vallee de la Marne),피노 뮈니에 (Pinot Meunier) 100%,,토착 효모와 함께 오크 배럴 발효,오크 배럴에서 10개월 이상 숙성,6~8 ℃,,크리스탈와인,1/5,3/5,3/5,3/5,,,French Champagne,,
"앙리 지로, 퓌 드 셴 MV 로제 브뤼","Henri Giraud, Fut de Chene MV Rose Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171909&lq=LIST,샹파뉴 앙리 지로  Champagne Henri Giraud,프랑스(France) / 샹빠뉴(Champagne) / 발레 드 라 마른(Vallee de la Marne),피노 누아 (Pinot Noir) 70% / 샤르도네 (Chardonnay) 30%,,"Alcoholic, malolactic fermentation in oak barrel  /  12 months in Argonne oak barrel with full lees  /  70-80% new oak  /  Min 4 years in bottle with lees",228L Argonne oak  /  Tonnellerie Jérôme Viard,8~10 ℃,,크리스탈와인,1/5,3/5,2/5,1/5,,,,12~13 %,"* Fût de Chêne 은 Henri Giraud의 상위 라인으로 불어로 '오크통'이라는 의미를 가지고 있으며 MV는 Multi Vintage의 약자이다. 베이스는 기존 퓌 드 셴 MV와 동일하며 단지 병입 전에 8%의 피노누아 레드를 블렌딩한 것이다. 이 피노 누아는 Ay 그랑 크뤼에서 자란 것으로 약 64년의 수령에서 자란 것이다. 알맹이는 아주 작지만 즙이 풍부하고 구조가 잘 잡힌 포도가 자란다.아르곤 로제는 오리엔탈의 느낌이 강하다면 퓌 드 셴 MV 로제는 조금 더 프루티한 샴페인으로 잘 익은 만다린 계열의 과일, 스모키함, 짠맛, 요오드의 맛이 복합적으로 느껴진다."
"앙리 지로, 담 잔 로제","Henri Giraud, Dame Jane Rose",https://www.wine21.com/13_search/wine_view.html?Idx=171910&lq=LIST,샹파뉴 앙리 지로  Champagne Henri Giraud,프랑스(France) / 샹빠뉴(Champagne) / 발레 드 라 마른(Vallee de la Marne),피노 누아 (Pinot Noir) 90% / 샤르도네 (Chardonnay) 10%,,Alcoholic and malolactic fermentation in sandstone eggs,9 months aging in sandstone eggs  /  3 years on the lies,8~10 ℃,,크리스탈와인,1/5,3/5,2/5,1/5,,,,12~13 %,
"앙리 지로, 블랑 드 크레 블랑 드 블랑","Henri Giraud, Blanc de Craie Blanc de Blancs",https://www.wine21.com/13_search/wine_view.html?Idx=171911&lq=LIST,샹파뉴 앙리 지로  Champagne Henri Giraud,프랑스(France) / 샹빠뉴(Champagne) / 발레 드 라 마른(Vallee de la Marne),샤르도네 (Chardonnay) 100%,,Alcoholic and malolactic fermentation in small oak barrels,Vinified in oak barrels from 2 to 5 years old  /  2 years on the lees,6~8 ℃,,크리스탈와인,1/5,4/5,3/5,1/5,,,French Champagne,,
"쟈크 셀로스, 밀레짐 엑스트라 브뤼","Jacques Selosse, Millesime Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171912&lq=LIST,쟈크 셀로스  Jacques Selosse,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 블랑(Côte des Blancs),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),,"토착 효모 사용, 자연적인 말로라틱 발효","프렌치 오크에서 1년 숙성 (10~20%, 새 오크), 병에서 6년간 리 숙성",8~10 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,French Champagne,,
"쟈크 셀로스, 라 꼬뜨 파롱 블랑 드 누아 엑스트라 브뤼","Jacques Selosse, La Cote Faron Blanc de Noirs Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171913&lq=LIST,쟈크 셀로스  Jacques Selosse,프랑스(France) / 샹빠뉴(Champagne) / 몽따뉴 드 랭스(Montagne de Reims),피노 누아 (Pinot Noir) 100%,,"토착 효모 사용, 자연적인 말로라틱 발효","프렌치 오크에서 1년 숙성 (10~20%, 새 오크), 병에서 6년간 리 숙성",8~10 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,French Champagne,,
"쟈크 셀로스, 수 르 몽 블랑 드 누아 엑스트라 브뤼","Jacques Selosse, Sous le Mont Blanc de Noirs Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171914&lq=LIST,쟈크 셀로스  Jacques Selosse,프랑스(France) / 샹빠뉴(Champagne) / 몽따뉴 드 랭스(Montagne de Reims),피노 누아 (Pinot Noir) 100%,,"토착 효모 사용, 자연적인 말로라틱 발효","프렌치 오크에서 1년 숙성 (10~20%, 새 오크), 병에서 6년간 리 숙성",8~10 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,French Champagne,,
"쟈크 셀로스, 베르지옹 오리지날 블랑 드 블랑 엑스트라 브뤼","Jacques Selosse, Version Originale Blanc de Blancs Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171915&lq=LIST,쟈크 셀로스  Jacques Selosse,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 블랑(Côte des Blancs),샤르도네 (Chardonnay) 100%,,"토착 효모 사용, 자연적인 말로라틱 발효","프렌치 오크에서 1년 숙성 (10~20%, 새 오크), 병에서 6년간 리 숙성",6~8 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,French Champagne,,
"쟈크 셀로스, 로제 브뤼","Jacques Selosse, Rose Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171916&lq=LIST,쟈크 셀로스  Jacques Selosse,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 블랑(Côte des Blancs),샤르도네 (Chardonnay) 94% / 피노 누아 (Pinot Noir) 6%,,"토착 효모 사용, 자연적인 말로라틱 발효",5~6년간 리 숙성,8~10 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,,,
"쟈크 셀로스, 레 꺄렐 블랑 드 블랑 엑스트라 브뤼","Jacques Selosse, Les Carelles Blanc de Blancs Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171917&lq=LIST,쟈크 셀로스  Jacques Selosse,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 블랑(Côte des Blancs),샤르도네 (Chardonnay) 100%,,"토착 효모 사용, 자연적인 말로라틱 발효","프렌치 오크에서 1년 숙성 (10~20%, 새 오크)",6~8 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,French Champagne,,
"쟈크 셀로스, 레 슈맹 드 샬롱 블랑 드 블랑 엑스트라 브뤼","Jacques Selosse, Les Chemin de Chalons Blanc de Blancs Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171918&lq=LIST,쟈크 셀로스  Jacques Selosse,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 블랑(Côte des Blancs),샤르도네 (Chardonnay) 100%,,"토착 효모 사용, 자연적인 말로라틱 발효","프렌치 오크에서 1년 숙성 (10~20%, 새 오크)",6~8 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,French Champagne,,
"쟈크 셀로스, 레 샹뜨렌 블랑 드 블랑 엑스트라 브뤼","Jacques Selosse, Les Chantereines Blanc de Blancs Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171919&lq=LIST,쟈크 셀로스  Jacques Selosse,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 블랑(Côte des Blancs),샤르도네 (Chardonnay) 100%,,,,6~8 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,French Champagne,,
"도멘 르 까이유 & 앙드레 브루넬, 샤토뇌프 뒤 파프 루즈 '르 까이유'","Domaine Les Cailloux & Andre Brunel, Chateauneuf du Pape Rouge 'Les Caillous'",https://www.wine21.com/13_search/wine_view.html?Idx=171920&lq=LIST,도멘 르 까이유 & 앙드레 브루넬  Domaine Les Cailloux & Andre Brunel,프랑스(France) / 론(Rhone) / 샤또네프 뒤 빠쁘(Chateauneuf du Pape),그르나슈 (Grenache) / 무르베드르 (Mourvedre) / 시라/쉬라즈 (Syrah/Shiraz) / 쌩쏘 (Cinsault),,"콘크리트통에서 그르나슈, 전체 품종을 데스테밍, 5주간 Rack and Return 발효가 끝날 때까지 반복","18개월간 배럴에서 숙성, 시라의 경우, 1~2년까지, 콘크리트에서 숙성",16~18 ℃,,호메오와인갤러리,1/5,3/5,3/5,3/5,가죽,,,,
"도멘 르 까이유 & 앙드레 브루넬, 꼬뜨 드 론 루즈","Domaine Les Cailloux & Andre Brunel, Cotes du Rhone Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=171921&lq=LIST,도멘 르 까이유 & 앙드레 브루넬  Domaine Les Cailloux & Andre Brunel,프랑스(France) / 론(Rhone) / 꼬뜨 뒤 론(Côtes du Rhone),그르나슈 (Grenache) / 쌩쏘 (Cinsault) / 시라/쉬라즈 (Syrah/Shiraz),,"20~30일간 지속되며 Rack and Return, 캡의 펀칭은 알코올 발효 동안 매일 수행","배럴 숙성, 병입 6개월 전에 최종 블렌딩 후 핑크색 토 양에서 여과 후 병입",16~18 ℃,,호메오와인갤러리,1/5,3/5,3/5,3/5,,,,,
"도멘 버나드 그리파, 생 조셉 루즈","Domaine Bernard Gripa, Saint Joseph Rough",https://www.wine21.com/13_search/wine_view.html?Idx=171922&lq=LIST,도멘 버나드 그리파  Domaine Bernard Gripa,프랑스(France) / 론(Rhone) / 생-죠셉(Saint-Joseph),시라/쉬라즈 (Syrah/Shiraz),,수확 후 3일간 찬물에 담가 발효가 시작되면 오픈된 발효조에서 발로 밟아 양조,새 것부터 10 년 이하의 Demi-muids(60%)와 Futs(40%)를 사용하여 숙성하고 25% 포도는 줄기 제거없이 전체 송이를 사용 한다. 오크통에서 1년간 숙성,16~18 ℃,"로스트 비프, 레드 미트, 블랙올리브를 곁들인 오리요리, 바비큐, 치즈등과 잘 어울린다.",호메오와인갤러리,1/5,3/5,4/5,3/5,"체리, 미네랄, 감초","바비큐, 치즈",Northern Rhône Saint-Joseph,,
"장 필립 트루쎄, 안나 T 블랑 퓌르 샤르도네 엑스트라 브뤼","Jean Philippe Trousset, Anna T. Blanc Pur Chardonnay Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171923&lq=LIST,장 필립 트루쎄  Jean Philippe Trousset,프랑스(France) / 샹빠뉴(Champagne) / 몽따뉴 드 랭스(Montagne de Reims),샤르도네 (Chardonnay) 100%,,"토착 효모 사용, 말로라틱 발효","8개월간 리 숙성, 최소 36개월간 병 숙성",6~8 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,,,
"장 필립 트루쎄, 블랑 드 누아 브뤼 나뚜르","Jean Philippe Trousset, Blanc de Noirs Brut Nature",https://www.wine21.com/13_search/wine_view.html?Idx=171924&lq=LIST,장 필립 트루쎄  Jean Philippe Trousset,프랑스(France) / 샹빠뉴(Champagne) / 몽따뉴 드 랭스(Montagne de Reims),피노 누아 (Pinot Noir) 100%,,"토착 효모 사용, 말로라틱 발효","8개월간 리 숙성, 최소 20개월간 병 숙성",6~8 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,,,
"도멘 버나드 그리파, 생 조셉 루즈 '르 베르수'","Domaine Bernard Gripa, Saint Joseph Rouge 'Le Bercaeu'",https://www.wine21.com/13_search/wine_view.html?Idx=171925&lq=LIST,도멘 버나드 그리파  Domaine Bernard Gripa,프랑스(France) / 론(Rhone) / 생-죠셉(Saint-Joseph),시라/쉬라즈 (Syrah/Shiraz),,,,16~18 ℃,"포치니 머쉬룸을 곁들이 라비올리, 육류와 잘 어울린다.",호메오와인갤러리,1/5,3/5,3/5,3/5,"체리, 미네랄",,Northern Rhône Saint-Joseph,,
"도멘 레 우를레, 오헬 블랑","Domaine Les Aurelles, Aurel Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=171926&lq=LIST,도멘 레 우를레  Domaine Les Aurelles,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),루산느 (Roussanne),,,350리터 배럴과 Vats에서 22개월 간 숙성,8~10 ℃,버섯을 곁들인 흰살생선요리와 잘 어울린다.,호메오와인갤러리,1/5,3/5,2/5,1/5,"레몬, 코코넛, 버터","흰살생선, 버섯",,,
"장 필립 트루쎄, 밀레짐 브뤼","Jean Philippe Trousset, Millesime Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171927&lq=LIST,장 필립 트루쎄  Jean Philippe Trousset,프랑스(France) / 샹빠뉴(Champagne) / 몽따뉴 드 랭스(Montagne de Reims),피노 누아 (Pinot Noir) 50% / 샤르도네 (Chardonnay) 50%,,"토착 효모 사용, 말로라틱 발효는 하지 않음","100% 스테인리스 스틸 탱크 숙성, 8개월 리 숙성, 최소 36개월간 병 숙성",14~16 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,,,
"도멘 레 우를레, 페즈나 루즈 '솔렝'","Domaine Les Aurelles, Pezenas Rouge 'Solen'",https://www.wine21.com/13_search/wine_view.html?Idx=171928&lq=LIST,도멘 레 우를레  Domaine Les Aurelles,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),까리냥 (Carignan/Carignane) / 그르나슈 (Grenache),,,오크통에서 44개월 간 숙성 후 병입,16~18 ℃,타프나드를 곁들인 양고기와 잘 어울린다.,호메오와인갤러리,1/5,3/5,4/5,3/5,삼나무,양고기,,,
"장 필립 트루쎄, 로제 엑스트라 브뤼","Jean Philippe Trousset, Rose Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171929&lq=LIST,장 필립 트루쎄  Jean Philippe Trousset,프랑스(France) / 샹빠뉴(Champagne) / 몽따뉴 드 랭스(Montagne de Reims),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier) / 기타 품종 (Other Grapes),,"토착 효모 사용, 말로라틱 발효는 하지 않음","90% 스테인리스 스틸 탱크, 10% 오크 배럴 숙성, 8개월 리 숙성, 최소 15개월간 병 숙성",8~10 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,,,
"장 필립 트루쎄, 엑스트라 브뤼","Jean Philippe Trousset, Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171930&lq=LIST,장 필립 트루쎄  Jean Philippe Trousset,프랑스(France) / 샹빠뉴(Champagne) / 몽따뉴 드 랭스(Montagne de Reims),피노 누아 (Pinot Noir) 50% / 피노 뮈니에 (Pinot Meunier) 31% / 샤르도네 (Chardonnay) 19%,,"토착 효모 사용, 말로라틱 발효는 하지 않음","90% 스테인리스 스틸 탱크, 10% 오크 배럴 숙성, 8개월 리 숙성, 최소 15개월간 병 숙성",8~10 ℃,,크리스탈와인,1/5,3/5,1/5,1/5,,,,,
"도멘 레 우를레, 페즈나 루즈 '오헬'","Domaine Les Aurelles, Pezenas Rouge 'Aurel'",https://www.wine21.com/13_search/wine_view.html?Idx=171931&lq=LIST,도멘 레 우를레  Domaine Les Aurelles,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),무르베드르 (Mourvedre) / 그르나슈 (Grenache),,,오크통에서 44개월 간 숙성 후 병입,16~18 ℃,,호메오와인갤러리,1/5,3/5,4/5,3/5,석류,,,,
