와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,기타정보,당도,산도,바디,타닌,아로마,음식매칭,추천음식,수입사,스타일,등급
"자이언트 스텝스, 애픅잭 빈야드 피노누아","Giant Steps, Applejack Vineyard Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=178100&lq=LIST,자이언트 스텝스   Giant Steps [B2B],호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),피노 누아 (Pinot Noir),손 수확 이후 스틸탱크와 오크에서 발효,프렌치 오크에서 숙성 (20% 뉴오크),13~14 %,14~16 ℃,"*98 Points – Philip Rich, Halliday Wine Companion, August 2024*Pinot Noir of the Year – 2025 Halliday Wine Companion Awards*Gold Medal, 2024 Australian Pinot Noir Challenge*Gold Medal, 2024 Yarra Valley Wine Show",1/5,3/5,3/5,2/5,"딸기, 라스베리, 꽃, 허브","스테이크, 오겹살, 하몽, 프로슈토",,,,
"하디스, 에이치알비 샤르도네","Hardys, HRB Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=178101&lq=LIST,아콜레이드 와인즈  Accolade Wines,호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),샤르도네 (Chardonnay) 100%,,,13~14 %,10~12 ℃,"*2017 빈티지: James Halliday 95점, 2020 Decanter 90점*2016 빈티지: James Halliday 95점 Gold Medal, The Real Review 92점*Decanter World Wine Awards Silver Medal - 90점",1/5,4/5,3/5,1/5,"복숭아, 라임, 캐슈넛, 오크","돼지고기, 닭고기, 해산물, 한식, 복숭아",,,Australian Chardonnay,
"하디스, 에이치알비 쉬라즈","Hardy's, HRB Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178102&lq=LIST,아콜레이드 와인즈  Accolade Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,,,14~15 %,16~18 ℃,*James Halliday 95점*Wine Orbit 93점,1/5,3/5,4/5,4/5,"블랙베리, 자두, 후추, 아니스, 초콜릿","소고기, 양고기, 건육, 한식, 자두",,,Australian Shiraz,
아일린 하디 쉬라즈,Eileen Hardy Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=178103&lq=LIST,아콜레이드 와인즈  Accolade Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,,,14~15 %,16~18 ℃,*Decanter World Wine Awards Gold Medal 96점,1/5,3/5,5/5,5/5,"블랙베리, 자두, 석유, 흙","소고기, 양고기, 건육, 한식, 자두",,,Australian Shiraz,
"그랜트 버지, 5th 제너레이션 쉬라즈","Grant Burge, 5th Generation Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178104&lq=LIST,아콜레이드 와인즈  Accolade Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),,,14~15 %,16~18 ℃,*International Wine & Spirit Hong Kong - Silver Medal,1/5,3/5,4/5,4/5,"블랙체리, 블랙베리, 후추, 정향, 초콜릿","소고기, 양고기, 한식",,롯데칠성음료,Australian Shiraz,
"그랜트 버지, 미암바 쉬라즈","Grant Burge, Miamba Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178105&lq=LIST,아콜레이드 와인즈  Accolade Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,,,14~15 %,16~18 ℃,*Great Australian Shiraz Challenge Gold Medal - 95점,1/5,3/5,4/5,4/5,"블랙베리, 체리, 라스베리, 감초, 모카, 다크초콜릿, 오크","소고기, 양고기, 한식","붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",롯데칠성음료,Australian Shiraz,
"그랜트 버지, 필셀 쉬라즈","Grant Burge, Filsell Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178106&lq=LIST,아콜레이드 와인즈  Accolade Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,,,14~15 %,16~18 ℃,"*2013 Trophy 'World's Greatest Shiraz'*2015 빈티지: James Halliday 95점, Wine Front 94점*2014 빈티지: 2017 Korea Wine Challenge Gold Meda, 2013 Trophy Wolrd's Greatest Shiraz*Wine Advocate 92점",1/5,4/5,5/5,5/5,"정향, 후추",,"소고기 안심 스테이크, 닭가슴살 요리등과 어울린다.",롯데칠성음료,Australian Shiraz,
"티렐, 헌터 밸리 쉬라즈","Tyrrell's, Hunter Valley Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178107&lq=LIST,티렐 와인  Tyrrell's Wines,호주(Australia) / 뉴 사우스 웨일즈(New South Wales) / 헌터 밸리(Hunter Valley),시라/쉬라즈 (Syrah/Shiraz),,,13~14 %,14~16 ℃,*James Suckling 92점,1/5,3/5,4/5,4/5,"라스베리, 체리","소고기, 양고기, 한식",,,Australian Shiraz,
"웨이크필드 와인즈, 이스테이트 메를로","Wakefield Wines, Estate Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=178108&lq=LIST,웨이크필드 와인즈  Wakefield Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 클레어 밸리(Clare Valley),메를로 (Merlot),,9개월에서 12개월간 오래된 프랑스와 아메리칸 오크 배럴에서 숙성,14~15 %,14~16 ℃,,1/5,3/5,4/5,3/5,"블랙베리, 체리, 자두, 모카, 다크초콜릿","소고기, 갈비찜, 중국요리, 자두",,,Australian Merlot,
"웨이크필드 와인즈, 이스테이트 리슬링","Wakefield Wines, Estate Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=178109&lq=LIST,웨이크필드 와인즈  Wakefield Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 클레어 밸리(Clare Valley),리슬링 (Riesling),,,12~13 %,8~10 ℃,,1/5,4/5,2/5,1/5,"감귤, 라임, 레몬, 꽃","해산물, 한식, 아시아요리, 샐러드, 과일",,,Australian Riesling,
"웨이크필드 와인즈, 마스터스트로크 카베르네 쉬라즈","Wakefield Wines, Masterstroke Cabernet Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178110&lq=LIST,웨이크필드 와인즈  Wakefield Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 클레어 밸리(Clare Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 시라/쉬라즈 (Syrah/Shiraz),,,14~15 %,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙체리, 블랙베리, 민트, 타바코, 동물","소고기, 양고기, 건육, 치즈",,,Australian Cabernet - Shiraz,
"웨이크필드 와인즈, 세인트 앤드류 카베르네 소비뇽","Wakefield Wines, St. Andrews Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=178111&lq=LIST,웨이크필드 와인즈  Wakefield Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 클레어 밸리(Clare Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,14~15 %,16~18 ℃,,1/5,3/5,5/5,4/5,"블랙커런트, 블랙베리, 시나몬, 허브, 타바코, 오크","소고기, 양고기, 건육, 견과류",,,Australian Cabernet Sauvignon,
"발렁땅 르플레브, CV 19/30","Valentin Leflaive, CV 19/30",https://www.wine21.com/13_search/wine_view.html?Idx=178112&lq=LIST,발렁땅 르플레브  Valentin Leflaive,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),스테인리스 스틸 탱크에서 양조.,래스(lath)위에서 39개월 숙성.,12~13 %,8~10 ℃,"* 2017 빈티지 - Tim Atkin 90 점* 각 뀌베에는 떼루아를 상징하는 고유한 문자와 함께 샴페인 생산 연도 및 잔당을 나타내는 숫자가 각인되어 있으며, 이를 통해 떼루아 지향적인 샴페인 하우스이자 'NM(네고시앙-마니퓔랑)'으로서의 아이덴티티를 확고히 드러낸다. CV1930은 100% 샤르도네 블랑 드 블랑으로, Cramant (21%), Vertus (52%), Bergeres les Vertus 1er Cru (27%)의 포도를 사용하여 발렁땅 르플레브 하우스의 컨셉을 대변하는 황홀한 아로마를 지닌 아이코닉한 뀌베이다.",1/5,4/5,3/5,1/5,"시트러스, 오렌지, 라임, 레몬, 미네랄, 허브","초밥, 생선회, 농어, 흰살생선, 해산물, 식전주, 샐러드, 치즈",,빈티지코리아,French Champagne,Champagne AOC(AOP)
"래티튜드 32 와인즈, 쉬라즈 피노 누아","Latitude 32 Wines, Shiraz Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=178113&lq=LIST,래티튜드 32 와인즈  Latitude 32 Wines [B2B],호주(Australia) / 뉴 사우스 웨일즈(New South Wales) / 헌터 밸리(Hunter Valley),시라/쉬라즈 (Syrah/Shiraz) / 피노 누아 (Pinot Noir),,,12~13 %,14~16 ℃,,1/5,4/5,3/5,3/5,"라스베리, 체리","소고기, 건육, 한식",,,,
"발렁땅 르플레브, 시그마 20/40","Valentin Leflaive, SIGMA 20/40",https://www.wine21.com/13_search/wine_view.html?Idx=178114&lq=LIST,발렁땅 르플레브  Valentin Leflaive,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),스테인리스 스틸 통과 오크 통에서 양조.,래스(lath)위에서 31개월 숙성.,12~13 %,8~10 ℃,"* 시그마는 블랑 드 블랑 샴페인의 독특함과 백악질 지역을 대표하는 포도들이 조화롭게 블렌딩된 것을 상징하는 이름이다. Cramant, Chouilly, Villeneuve, Grauves, Oger, Mesnil-sur-Oger, Avize 등 여러 지역에서 수확한 포도를 섞어 각 지역의 특성을 잘 살린, 풍미와 우아함이 돋보이는 샴페인이다.",1/5,4/5,3/5,1/5,"백도, 배, 시트러스, 아카시아, 자스민, 미네랄, 꿀","생선구이, 초밥, 생선 까르파치오, 흰살생선, 해산물, 오일파스타, 중국요리, 식전주, 샐러드",,빈티지코리아,French Champagne,Champagne AOC(AOP)
"발렁땅 르플레브, MA 19/60 그랑 크뤼 로제","Valentin Leflaive, MA 19/60 Grand Cru Rose",https://www.wine21.com/13_search/wine_view.html?Idx=178115&lq=LIST,발렁땅 르플레브  Valentin Leflaive,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),스테인리스 스틸 탱크에서 양조.,래스(lath)위에서 40개월 숙성.,12~13 %,8~10 ℃,,1/5,3/5,3/5,1/5,"체리, 딸기, 시트러스, 레몬, 꽃, 미네랄","건육, 후라이드, 치킨, 해산물, 새우, 오일파스타, 탕수육, 아시아요리, 새우튀김, 오징어튀김, 튀김, 식전주, 샐러드, 타르트, 디저트, 케이크",,빈티지코리아,French Champagne,Champagne AOC(AOP)
"발렁땅 르플레브, 아비즈 17/40 그랑 크뤼","Valentin Leflaive, Avize17/40 Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=178116&lq=LIST,발렁땅 르플레브  Valentin Leflaive,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),스테인리스 스틸 탱크에서 양조.,래스(lath)위에서 50개월 숙성.,12~13 %,8~10 ℃,"* 2016 빈티지 - Tim Atkin 92점* 오렌지 제스트와 아카시아 꽃의 복합적인 아로마가 완벽한 조화를 이루는 Avize 1740은 Côte des Blancs의 심장과 같은 아비즈 그랑 크뤼 떼루아에서 섬세한 시트러스 풍미와 짭짤한 미네랄 맛을 극대화한 샴페인이다. 발렁땅 르플레브가 표방하는 섬세함, 순도, 정교함을 압축한 이 샴페인은 많은 호평을 받고 있다",1/5,4/5,3/5,1/5,"시트러스, 오렌지, 라임, 아카시아, 꽃, 미네랄, 분필","건육, 치킨, 생선회, 농어, 참돔, 흰살생선, 해산물, 랍스터, 파스타, 오일파스타, 중국요리, 식전주, 샐러드",,빈티지코리아,French Champagne,Champagne AOC(AOP)
"발렁땅 르플레브, 크라망 20/20 그랑 크뤼","Valentin Leflaive, Cramant 20/20 Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=178117&lq=LIST,발렁땅 르플레브  Valentin Leflaive,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),스테인리스 스틸 탱크에서 양조.,래스(lath)위에서 31개월 숙성.,12~13 %,8~10 ℃,"* 크라망(Cramant)은 Côte des Blancs의 다른 마을들에 비해 다소 “크리미한” 샴페인을 생산하는 것으로 알려져 있다. Avize와 비교할 때 덜 “단단”한 느낌을 주지만, Cuis보다 더 농축된 맛을 지니고 있으며, Chouilly의 샴페인보다 미네랄리티가 더 강한 것이 특징이다.",1/5,4/5,3/5,1/5,"복숭아, 배, 시트러스, 미네랄, 헤이즐넛, 아몬드","스시, 초밥, 생선회, 소라, 해산물, 전복, 전복, 조개구이, 오일파스타, 중국요리, 식전주, 복숭아",,빈티지코리아,French Champagne,Champagne AOC(AOP)
"발렁땅 르플레브, 오제 20/30 그랑 크뤼","Valentin Leflaive, Oger 20/30 Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=178118&lq=LIST,발렁땅 르플레브  Valentin Leflaive,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),스테인리스 스틸 탱크에서 양조. 래스(lath)위에서 31개월 숙성,래스(lath)위에서 31개월 숙성.,,,"* 오제(Oger)에서 재배된 포도로 만든 샴페인은 강한 미네랄 특성을 지니면서도 풍부한 스타일로 잘 알려져 있다. Côte des Blancs의 이웃 마을들이 각각 고유한 스타일을 갖고 있다고 하지만, 아비즈(Avize), 오제(Oger), 그리고 르 메닐 쉬르 오제(Le Mesnil-sur-Oger) 간의 차이는 포도밭의 위치가 비슷한 만큼 그리 크지 않다. 특정 마을보다는 생산자와 빈티지가 샴페인의 스타일에 더 큰 영향을 미치는 경향이 있으며, 개별 포도밭의 위치—마을 주변의 경사에 위치한 포도밭인지, 아니면 평평한 땅에 있는지도 중요한 요소로 작용한다.",1/5,4/5,3/5,1/5,"사과, 시트러스, 감귤, 라임, 미네랄, 페이스트리, 브리오슈","생선회, 연어, 참치, 해산물, 오일파스타, 치즈",,빈티지코리아,French Champagne,Champagne AOC(AOP)
"발렁땅 르플레브, 르 메닐 쒸흐 오제 17/50 그랑 크뤼","Valentin Leflaive, Le Mesnil sur Oger  17/50 Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=178119&lq=LIST,발렁땅 르플레브  Valentin Leflaive,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),스테인리스 스틸 탱크에서 양조.,래스(lath)위에서 50개월 숙성.,12~13 %,8~10 ℃,* 르 메닐 쉬르 오제(Le Mesnil sur Oger) 1750은 Côte des Blancs의 다른 샤르도네 생산지와 비교해 뛰어난 산미와 높은 집중도를 자랑하는 1등급 그랑 크뤼 '르 메닐 쉬르 오제' 떼루아의 혜택을 받은 샴페인이다. 이 떼루아는 에이징 포텐셜에 절대적인 영향을 미치는 완벽한 산미와 샤르도네의 전형적인 풍미를 100% 집대성한 샴페인으로 평가받고 있다.,1/5,4/5,3/5,1/5,"시트러스, 오렌지, 감귤, 흰꽃, 꽃, 미네랄, 헤이즐넛","생선회, 농어, 연어, 해산물, 바닷가재, 식전주",,빈티지코리아,French Champagne,Champagne AOC(AOP)
"발렁땅 르플레브, 베르지 20/40 그랑 크뤼","Valentin Leflaive, Verzy 20/40 Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=178120&lq=LIST,발렁땅 르플레브  Valentin Leflaive,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir),스테인리스 스틸 탱크에서 양조.,래스(lath)위에서 31개월 숙성.,12~13 %,8~10 ℃,"* 베르지(Verzy)의 포도밭은 주로 북향 경사로 이루어져 있으며, 대부분 피노 누아가 재배된다. 북향 경사 덕분에 이 지역에서 생산된 샴페인은 Aÿ, Ambonnay, Bouzy와 같은 남향 경사 마을에서 생산된 샴페인보다 다소 힘이 덜할 수 있지만, 더욱 섬세한 특징을 지닌다. 베르지(Verzy)는 1985년에 Chouilly, Oiry, Oger, Le Mesnil-sur-Oger와 함께 프리미에 크뤼에서 그랑 크뤼로 승격되었다.",1/5,4/5,3/5,1/5,"블랙커런트, 블랙베리, 블루베리, 라스베리, 미네랄","소라, 새우, 오일파스타, 아페리티프",,빈티지코리아,French Champagne,Champagne AOC(AOP)
"발렁땅 르플레브, 베르즈네 20/30 그랑 크뤼","Valentin Leflaive, Verzenay 20/30 Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=178121&lq=LIST,발렁땅 르플레브  Valentin Leflaive,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir),스테인리스 스틸 탱크에서 양조.,래스(lath)위에서 31개월 숙성.,12~13 %,10~12 ℃,"* 베르제네(Verzenay)는 샹파뉴의 가장 북단에 위치한 몽타뉴 드 랭스(Montagne de Reims) 내에 있으며, 전체 샹파뉴 지역 중에서 그랑 크뤼가 가장 많이 분포하고 있다. 이 지역은 백악질 토양으로 이루어져 있어 낮 동안 열을 흡수하고, 해가 진 후에도 뿌리를 따뜻하게 보호해 주기 때문에 바디가 무겁고 미네랄이 풍부한 피노 누아를 주로 생산한다.",1/5,3/5,3/5,1/5,"체리, 라스베리, 시트러스, 미네랄, 헤이즐넛, 아몬드","건육, 닭고기, 치킨, 해산물, 오일파스타, 중국요리, 치즈, 꽁떼",,빈티지코리아,French Champagne,Champagne AOC(AOP)
"수사나 발보, 시그니처 리미티드 에디션 토론테스 나랑호","Susana Balbo, Signature Limited Edition Torrontes Narangjo",https://www.wine21.com/13_search/wine_view.html?Idx=178122&lq=LIST,수사나 발보 와인스  Susana Balbo Wines,아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley),토론테스 (Torrontes) 100%,,,13~14  %,10~12 ℃,,1/5,4/5,3/5,1/5,"백도, 시트러스, 리치, 흰꽃","생선회, 해산물, 한식",,하이트진로,,
"수사나 발보, 시그니처 말벡","Susana Balbo, Signature Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=178123&lq=LIST,수사나 발보 와인스  Susana Balbo Wines,아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley),말벡 (Malbec) 96% / 쁘띠 베르도 (Petit Verdot) 4%,,,14~15 %,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙체리, 블랙베리, 라스베리, 자두, 제비꽃","스테이크, 삼겹살, 양갈비, 한식, 자두","양고기, 양갈비, 소고기, 스테이크, 갈비찜, 양념갈비, 햄버거, 다양한 치즈 등과 잘 어울린다.",하이트진로,,
"수사나 발보, 시그니처 브리오스","Susana Balbo, Signature Brioso",https://www.wine21.com/13_search/wine_view.html?Idx=178124&lq=LIST,수사나 발보 와인스  Susana Balbo Wines,아르헨티나(Argentina) / 멘도사(Mendoza) / 루한 데 쿠요(lujan de cuyo),카베르네 소비뇽 (Cabernet Sauvignon) 50% / 말벡 (Malbec) 23% / 카베르네 프랑 (Cabernet Franc) 18% / 쁘띠 베르도 (Petit Verdot) 9%,,15개월간 새 프렌치 오크통에서 숙성,14~15 %,16~18 ℃,,1/5,3/5,4/5,4/5,,"소고기, 삼겹살, 양고기, 한식, 서양요리","양고기, 양갈비, 소고기, 스테이크, 갈비찜, 양념갈비, 햄버거, 다양한 치즈 등과 잘 어울린다.",하이트진로,,
