와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,알코올
"리니에 미쉘로 픽생, 프리미에 크뤼 레 자르블레","Lignier Michelot, Fixin 1er Cru Les Arvelets",https://www.wine21.com/13_search/wine_view.html?Idx=167429&lq=LIST,도멘 리니에 미쉘로  Domaine Lignier Michelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 픽상(Fixin),피노 누아 (Pinot Noir),,"Fixin 1er Cru AOC(AOP), 'Les Arvelets'",,,14~16 ℃,"오리고기, 치즈 등과 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,3/5,오크,"오리고기, 치즈",,
"리니에 미쉘로, 모레 생 드니 프리미에 크뤼 오 샤름","Lignier Michelot, Morey Saint Denis 1er cru Aux Charmes",https://www.wine21.com/13_search/wine_view.html?Idx=167430&lq=LIST,도멘 리니에 미쉘로  Domaine Lignier Michelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 모레이-생-드니(Morey-St-Denis),피노 누아 (Pinot Noir),,"Morey-Saint-Denis 1er Cru AOC(AOP), 'Aux Charmes'",,,14~16 ℃,"오리고기, 치즈 등과 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,3/5,딸기,"오리고기, 치즈",,
"리니에 미쉘로, 모레 생 드니 프리미에 크뤼 레 파코니에르","Lignier Michelot, Morey Saint Denis 1er cru Les Faconnieres",https://www.wine21.com/13_search/wine_view.html?Idx=167431&lq=LIST,도멘 리니에 미쉘로  Domaine Lignier Michelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 모레이-생-드니(Morey-St-Denis),피노 누아 (Pinot Noir),,"Morey-Saint-Denis 1er Cru AOC(AOP), 'Les Faconnières'",,,14~16 ℃,"오리고기, 치즈 등과 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,3/5,오크,"오리고기, 치즈",,
"리니에 미쉘로, 모레 생 드니 프리미에 크뤼 '레 쉔브리'","Lignier Michelot, Morey Saint Denis 1er Cru 'Les Chenevery'",https://www.wine21.com/13_search/wine_view.html?Idx=167432&lq=LIST,도멘 리니에 미쉘로  Domaine Lignier Michelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 모레이-생-드니(Morey-St-Denis),피노 누아 (Pinot Noir),,,,,14~16 ℃,"오리고기, 치즈 등과 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,3/5,"체리, 오크","오리고기, 치즈",,
"리니에 미쉘로, 모레 생 드니 엉 라 뤼 드 베르지","Lignier Michelot, Morey Saint Denis En La Rue de Vergy",https://www.wine21.com/13_search/wine_view.html?Idx=167433&lq=LIST,도멘 리니에 미쉘로  Domaine Lignier Michelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 모레이-생-드니(Morey-St-Denis),피노 누아 (Pinot Noir),,"Morey-Saint-Denis AOC(AOP), 'En la Rue de Vergy'",,,14~16 ℃,"오리고기, 치즈, 돼지고기 등과 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,3/5,"꽃, 오크","오리고기, 치즈",,
"리니에 미쉘로, 뉘 생 조르쥬 프리미에 크뤼 뮈르제","Lignier Michelot, Nuits Saint Georges 1er Cru Murgers",https://www.wine21.com/13_search/wine_view.html?Idx=167434&lq=LIST,도멘 리니에 미쉘로  Domaine Lignier Michelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 뉘-생-조르쥬(Nuits-St-Georges),피노 누아 (Pinot Noir),,"Nuits-Saint-Georges 1er Cru AOC(AOP), 'Aux Murgers'",,,14~16 ℃,"오리고기, 치즈, 돼지고기 등과 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,3/5,"레드커런트, 오크","오리고기, 치즈",,
"리니에 미쉘로, 쥬브레 샹베르땅 퀴베 베르탕","Lignier Michelot, Gevrey Chambertin Cuvee Bertin",https://www.wine21.com/13_search/wine_view.html?Idx=167435&lq=LIST,도멘 리니에 미쉘로  Domaine Lignier Michelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),,Gevrey-Chambertin AOC(AOP),,,14~16 ℃,"오리고기, 치즈 등과 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,3/5,오크,"오리고기, 치즈",,
"일 보로, 로제 델 보로","Il Borro, Rose del Borro",https://www.wine21.com/13_search/wine_view.html?Idx=167436&lq=LIST,일 보로  Il Borro,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),,Toscana IGT(IGP),,,10~12 ℃,"식전주, 생선, 해산물, 전채 요리 등으로 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,1/5,"체리, 크랜베리, 열대과일, 흰꽃, 미네랄","꼬치구이, 양꼬치, 건육, 닭강정, 후라이드, 치킨, 해산물, 편육, 떡볶이, 오일파스타, 피자, 식전주, 샐러드, 치즈, 크림치즈, 모짜렐라",,13~14 %
"일 보로, 보리지아노","Il Borro, Borrigiano",https://www.wine21.com/13_search/wine_view.html?Idx=167437&lq=LIST,일 보로  Il Borro,이탈리아(Italy) / 토스카나(Toscana),메를로 (Merlot) / 시라/쉬라즈 (Syrah/Shiraz) / 산지오베제 (Sangiovese),,Valdarno di Sopra DOC(DOP),,,16~18 ℃,"스테이크, 파스타, 치즈 등과 잘 어울린다.",에노테카코리아,1/5,4/5,4/5,4/5,오크,"스테이크, 파스타, 치즈",*Robert Parker 92+점,13~14 %
"일 보로, 페트루나","Il Borro, Petruna",https://www.wine21.com/13_search/wine_view.html?Idx=167438&lq=LIST,일 보로  Il Borro,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),,Toscana IGT(IGP),,,16~18 ℃,"스테이크, 양갈비, 치즈 등과 잘 어울린다.",에노테카코리아,1/5,4/5,5/5,4/5,,"스테이크, 양갈비, 치즈",,13~14 %
"예르만, 트라미너","Jermann, Traminer",https://www.wine21.com/13_search/wine_view.html?Idx=167439&lq=LIST,예르만 비냐올리  Jermann Vignaioli,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),트라미너 (Traminer),,delle Venezie IGT(IGP),,,10~12 ℃,"생선, 숙성되지 않은 치즈, 아스파라거스를 곁들인 리조또 등과 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,1/5,,"리조또, 아스파라거스, 치즈",,
"고세, 엑설렁스 엑스트라 브뤼","Gosset, Excellence Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=167440&lq=LIST,샴페인 고세  Gosset [Champagne Gosset],프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay) / 피노 뮈니에 (Pinot Meunier),,Champagne AOC(AOP),,,6~8 ℃,"식전주, 굴, 조개류등과 잘 어울린다.",레뱅,1/5,5/5,3/5,1/5,레몬,식전주,,12~13 %
"라임, 베르멘티노","Ryme, Vermentino Hers",https://www.wine21.com/13_search/wine_view.html?Idx=167441&lq=LIST,라임 셀라스  Ryme Cellars,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 로스 카네로스(Los Carneros),베르멘티노 (Vermentino),,Los Carneros AVA,,,8~10 ℃,"해산물, 치즈, 샐러드 등과 잘 어울린다.",보틀샤크,1/5,4/5,2/5,1/5,"라임, 아몬드","해산물, 샐러드, 치즈",,11~12 %
"페트라, 징가리 로사토","Petra, Zingari Rosato",https://www.wine21.com/13_search/wine_view.html?Idx=167442&lq=LIST,페트라  Petra,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 그르나슈 (Grenache),,Toscana IGT(IGP),,,10~12 ℃,"샐러드, 해산물, 치즈 등과 잘 어울린다.",에노테카코리아,1/5,3/5,2/5,2/5,석류,"해산물, 샐러드, 치즈",,13~14 %
"페트라, 징가리 비앙코",Petra Zingari Bianco,https://www.wine21.com/13_search/wine_view.html?Idx=167443&lq=LIST,페트라  Petra,이탈리아(Italy) / 토스카나(Toscana),샤르도네 (Chardonnay) / 트레비아노 (Trebbiano) / 비오니에 (Viognier),,Toscana IGT(IGP),,,8~10 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",에노테카코리아,1/5,3/5,2/5,1/5,"꽃, 미네랄","해산물, 샐러드, 치즈",,12~13 %
발혼도 까바 브륏,Valhodo Cava Brut,https://www.wine21.com/13_search/wine_view.html?Idx=167444&lq=LIST,마르께스 데 라 꽁꼬르디아  Marques de la Concordia,스페인(Spain),자렐로 (Xarel.lo) / 마카베오 (Macabeo) / 빠레야다 (Parellada),,Cava DO(DOP),,,6~8 ℃,"가벼운 소스를 가미한 닭고기, 신선한 샐러드, 담백한 해산물요리, 토마토소스 파스타, 다양한 종류의 타파스 등과 잘 어울린다.",신세계엘앤비,1/5,3/5,1/5,1/5,"시트러스, 꽃","닭고기, 해산물, 파스타, 샐러드",,11~12 %
샹파뉴 루이 뒤몽,Champagne Louis Dumont,https://www.wine21.com/13_search/wine_view.html?Idx=167445&lq=LIST,G.H. 마르텔  G.H. Martel,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier) / 샤르도네 (Chardonnay),,Champagne AOC(AOP),,,6~8 ℃,"식전주, 흰살코기 요리, 각종 해산물 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,1/5,1/5,"레몬, 미네랄, 브리오슈","해산물, 식전주",,12~13 %
투 보틀 까베르네 소비뇽,Two Bottle Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=167446&lq=LIST,보데가스 이 비녜도스 데  아기레  Bodegas y Vinedos de Aguirre,칠레(Chile) / 센트럴 밸리(Central Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,"오븐에서 로스팅한 소고기, 라구 소스를 곁들인 파스타 등과 잘 어울린다.",신세계엘앤비,1/5,3/5,3/5,3/5,,"소고기, 파스타",,13~14 %
투 보틀 돌체 비앙코,Two Bottle Dolce Bianco,https://www.wine21.com/13_search/wine_view.html?Idx=167447&lq=LIST,프라텔리 마티니  Fratelli Martini,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ),,,,,8~10 ℃,"달콤한 디저트, 다양한 빵, 생크림을 올린 케이크 등과 잘 어울린다.",신세계엘앤비,4/5,2/5,2/5,1/5,꽃,,,5~6 %
샹파뉴 끌로드 바롱 사파이어 브뤼,Champagne Claude Baron Saphir Brut,https://www.wine21.com/13_search/wine_view.html?Idx=167448&lq=LIST,샹파뉴 바롱 알베르트  Champagne Baron Albert,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier),,Champagne AOC(AOP),,,6~8 ℃,"향신료가 많이 사용된 이국적인 요리, 치즈 수플레 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,2/5,1/5,미네랄,치즈,,12~13 %
샹파뉴 끌로드 바롱 페를르 로제,Champagne Claude Baron Perle Rose,https://www.wine21.com/13_search/wine_view.html?Idx=167449&lq=LIST,샹파뉴 바롱 알베르트  Champagne Baron Albert,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 뮈니에 (Pinot Meunier) / 피노 누아 (Pinot Noir),,Champagne AOC(AOP),,,6~8 ℃,"양고기를 이용한 요리, 딸기, 루바브 등을 이용한 요리 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,2/5,1/5,,"양고기, 딸기",,12~13 %
"패시지, 캘리포니아 진판델","Passage, California Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=167450&lq=LIST,패시지  Passage,미국(U.S.A) / 캘리포니아(California),진판델 (Zinfandel),,California AVA,,,16~18 ℃,"향이 강한 붉은 색 육류, 불고기, 갈비찜, 토마토 스튜 등과 잘 어울린다.",신세계엘앤비,1/5,1/5,4/5,3/5,"체리, 장미, 후추, 유칼립투스, 가죽",스튜,,14~15 %
"나파 파라다이스, 까베르네 소비뇽","Napa Paradise, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=167451&lq=LIST,나파 파라다이스  Napa Paradise,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon),,Napa Valley AVA,,,16~18 ℃,"향신료를 사용한 이국적인 육류 요리, 크림을 곁들인 가금류 요리 등과 잘 어울린다.",신세계엘앤비,1/5,1/5,4/5,3/5,코코아,가금류,,14~15 %
"나파 파라다이스, 샤르도네","Napa Paradise, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167452&lq=LIST,나파 파라다이스  Napa Paradise,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay),,Napa Valley AVA,,,10~12 ℃,"크림소스를 곁들인 생선요리, 베리류 소스를 곁들인 가금류, 사과 콩포테를 곁들인 돼지고기 요리 등과 잘 어울린다.",신세계엘앤비,1/5,3/5,2/5,1/5,"멜론, 바닐라, 토스트, 오크, 효모",가금류,,14~15 %
"캠브리아, 줄리아 빈야드 피노 누아","Cambria, Julia's Vineryard Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=167453&lq=LIST,캠브리아 에스테이트 와이너리  Cambria Estate Winery,미국(U.S.A) / 캘리포니아(California) / 산타 바바라 카운티(Santa Barbara County) / 산타 마리아 밸리(Santa Maria Valley),피노 누아 (Pinot Noir),,Santa Maria Valley AVA,,,14~16 ℃,"오리고기, 치즈 등과 잘 어울린다.",하이트진로,1/5,4/5,3/5,3/5,"석류, 오크, 흙","오리고기, 치즈",*2023 대한민국 주류대상 '레드와인 신대륙 부문 대상'*2017 빈티지: Wine Enthusiast 94점*2016 빈티지: Wine & Spirits 93점 Best Buy,14~15 %
"캠브리아, 케서린 빈야드 샤르도네","Cambria, Katherine's Vineryard Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167454&lq=LIST,캠브리아 에스테이트 와이너리  Cambria Estate Winery,미국(U.S.A) / 캘리포니아(California) / 산타 바바라 카운티(Santa Barbara County) / 산타 마리아 밸리(Santa Maria Valley),샤르도네 (Chardonnay),Californian Chardonnay,Santa Maria Valley AVA,"원액의 75%는 배럴 발효 후 8개월 간 앙금과 오크 배럴(20% 새 오크) 숙성, 나머지 원액 25%는 스테인리스 스틸 발효",,10~12 ℃,"해산물, 견과류, 샐러드 등과 잘 어울린다.",하이트진로,1/5,3/5,4/5,1/5,"청사과, 복숭아, 자몽, 파인애플, 젖은자갈, 부싯돌, 바닐라, 오크","해산물, 샐러드, 복숭아, 견과류","* 2023 대한민국 주류대상 '신대륙 화이트 와인부문 대상' 수상* 2019 빈티지 : Wine Enthusiast 93점, 2021 Wine Enthusiast 'Editors' Choice' 수상* 2018 빈티지 : Wine Spectator 92점* 2017 빈티지 : 2019 Wine Spectator 'Top 100' 선정",14~15 %
"캐년 오크, 샤르도네","Canyon Oaks, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167455&lq=LIST,캐년 오크 빈야드  Canyon Oaks Vineyard,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay),,,,,8~10 ℃,"해산물, 샐러드 등과 잘 어울린다.",하이트진로,1/5,3/5,3/5,1/5,"멜론, 바닐라, 오크","해산물, 샐러드",,13~14 %
"캐년 오크, 까베르네 소비뇽","Canyon Oaks, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=167456&lq=LIST,캐년 오크 빈야드  Canyon Oaks Vineyard,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,"스테이크, 파스타, 피자 등과 잘 어울린다.",하이트진로,1/5,3/5,3/5,3/5,"바닐라, 민트",스테이크,,13~14 %
"패러다임, 메를로 나파 밸리","Paradigm, Merlot Napa Valley",https://www.wine21.com/13_search/wine_view.html?Idx=167457&lq=LIST,패러다임  Paradigm,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 오크빌(Oakville),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),,Oakville AVA,,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,4/5,"체리, 오크","스테이크, 치즈",,14~15 %
"패러다임, 카베르네 소비뇽 나파 밸리","Paradigm, Cabernet Sauvignon Napa Valley",https://www.wine21.com/13_search/wine_view.html?Idx=167458&lq=LIST,패러다임  Paradigm,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 오크빌(Oakville),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot) / 카베르네 프랑 (Cabernet Franc),Napa Valley Cabernet Sauvignon,Oakville AVA,,중고와 새 프렌치 오크통에서 20개월간 숙성,14~16 ℃,"스테이크, 바베큐, 숙성된 치즈 등과 잘 어울린다.",에노테카코리아,1/5,3/5,5/5,4/5,"체리, 자두, 오크","스테이크, 치즈",,14~15 %
"와인 스팟스, 소노마 코스트 피노 누아","Wine Spots, Sonoma Coast Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=167459&lq=LIST,와인 스팟스  Wine Spots,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir),,Sonoma Coast AVA,,,16~18 ℃,"오리고기, 치즈 등과 잘 어울린다.",한산더블유앤비,1/5,3/5,3/5,3/5,"체리, 자두, 오크","오리고기, 자두, 치즈","*2019 Critics Challenge 94점, Platinum Medal*2019 Rich Cook, Wine Review Online 93점*2019 Ultimate Wine Challenge 91점",14~15 %
"와인 스팟스, 나파밸리 까베르네 쇼비뇽","Wine Spots, Napa Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=167460&lq=LIST,와인 스팟스  Wine Spots,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon),,Napa Valley AVA,,,16~18 ℃,"스테이크, 숙성된 치즈 등과 잘 어울린다.",한산더블유앤비,1/5,2/5,5/5,4/5,,"스테이크, 치즈","*2019 Beverage Testing Institute 91점, Gold Medal*2019 Sommelier Challenge 90점, Gold Medal",14~15 %
브래스 택스 레드 블렌드,Brass Tacks Red Blend,https://www.wine21.com/13_search/wine_view.html?Idx=167461&lq=LIST,와인 스팟스  Wine Spots,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 시라  (Petite Sirah) / 쁘띠 베르도 (Petit Verdot) / 진판델 (Zinfandel) / 메를로 (Merlot),,California AVA,,,16~18 ℃,"파스타, 치즈, 스테이크 등과 잘 어울린다.",한산더블유앤비,1/5,3/5,4/5,2/5,오크,"스테이크, 파스타, 치즈","*2019 Sommelier Challenge 92점, Gold Medal",15~16 %
브래스 택스 샤도네이,Brass Tacks Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=167462&lq=LIST,와인 스팟스  Wine Spots,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay),,California AVA,,,8~10 ℃,"치즈, 샐러드, 해산물 등과 잘 어울린다.",한산더블유앤비,1/5,3/5,2/5,1/5,"감귤, 오크","해산물, 샐러드, 치즈","*2019 Sommelier Challenge 90점, Gold Medal*2019 Wine Enthusiast 88점, Best Buy",13~14 %
"쥘 데주르네, 플뢰리 레 모리에르","Jules Desjourneys, Fleurie Les Morieres",https://www.wine21.com/13_search/wine_view.html?Idx=167463&lq=LIST,도멘 쥘 데주르네  Domaine Jules Desjourneys,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais) / 플뢰리(Fleurie),가메이 (Gamay),,Fleurie AOC(AOP),Whole cluster  / 2-3 weeks of semi-carbonic maceration in neutral tank  /  No sulfur  /  Wild yeast  /  No chaptalisation,"18 months in 600L French oak and then 4 months in stainless steel tank for stabilization  /  No finning, no filtration",14~16 ℃,"오리고기, 치즈, 전채요리등과 잘 어울린다.",크리스탈와인,1/5,4/5,4/5,3/5,,"오리고기, 전채요리, 치즈",* Bourghound : 91-94(2011)* Fabien이 보자마자 마음을 빼앗긴 Les Moriers 파셀은 꼬뜨 로띠 언덕을 연상시킬 만큼 경사가 급한 언덕에 위치해 있다.,
"쥘 데주르네, 물랭 아 방 샤씨뇰","Jules Desjourneys, Moulin a Vent Chassignol",https://www.wine21.com/13_search/wine_view.html?Idx=167464&lq=LIST,도멘 쥘 데주르네  Domaine Jules Desjourneys,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais) / 물랭-아-방(Moulin-a-Vent),가메이 (Gamay),,Moulin-à-Vent AOC(AOP),Whole cluster  /  2-3 weeks of semi carbonic maceration in neutral tank  /  No sulfur   /  Wild yeast  /  No chaptalisation,"18 months in 600L French oak and then 4 months in stainless steel tank for stabilization  /  No finning, no filtration",14~16 ℃,"치즈, 양갈비 등과 잘 어울린다.",크리스탈와인,1/5,4/5,4/5,4/5,,"양갈비, 치즈","* Bourghound : 92-95(2011)* 그 지역에서는 흔히 물랭 아 방은 왕, 플뢰리는 여왕과 같은 와인을 생산한다고 알려져있다. 그만큼 물랭 아 방은 힘이 있고 타닉하지만 플뢰리의 경우 바이올렛, 아이리스, 로즈와 같은 플라워 아로마가 풍부한 여성스러운 와인이 생산된다. 샤씨뇰 밭은 파비앙이 2010년 매입한 곳으로 Grand Cru에 견줄 만큼 훌륭한 와인이 생산된다.",
