와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,스타일,등급
"미션 에스테이트 와이너리, 미션 시라","Mission Estate Winery, Mission Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=175181&lq=LIST,미션 에스테이트 와이너리  Mission Estate Winery,뉴질랜드(New Zealand) / 노스 아일랜드(North Island) / 혹스 베이(Hawke's Bay),시라/쉬라즈 (Syrah/Shiraz),,,13~14 %,16~18 ℃,"소고기, 스테이크, 갈비찜, 양념갈비, 양갈비, 라자냐, 스튜, 크림파스타, 숙성 치즈 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 블루베리, 자두, 잼, 후추, 정향, 타바코, 가죽","소고기, 스테이크, 양갈비, 건육, 불고기, 양념갈비, 갈비찜, 라자냐, 파스타, 햄버거, 피자, 랑그르, 치즈, 로크포르, 블루치즈, 그뤼에르",,New Zealand Syrah,
"발레피치올라, 모르데세","Vallepicciola, Mordese",https://www.wine21.com/13_search/wine_view.html?Idx=175182&lq=LIST,발레피치올라  Vallepicciola,이탈리아(Italy) / 토스카나(Toscana),카베르네 프랑 (Cabernet Franc),20-25일 동안 콘크리트 통에서 알코올 발효 및 침용. 프렌치 오크 바리크에서의 젖산발효.,바리크에서 12개월 숙성. 8~10개월간 병숙성.,14~15 %,16~18 ℃,,,1/5,3/5,4/5,3/5,"블랙체리, 체리, 라스베리, 자두, 바닐라, 아니스","로스트비프, 소고기, 스테이크, 돼지고기, 건육, 불고기, 족발, 한식, 순대, 파스타, 서양요리, 중국요리, 치즈, 파르미지아노, 그라노파다노",,,
"발레피치올라, 밀리오레 토스카나 로쏘","Vallepicciola, Migliore Toscana Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=175183&lq=LIST,발레피치올라  Vallepicciola,이탈리아(Italy) / 토스카나(Toscana),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot),프렌치 오크에서 젖산 발효.,24개월 간 프렌치 오크에서 숙성 후 3개월 콘크리트 통 숙성. 8개월 간 병 숙성.,14~15 %,16~18 ℃,,,1/5,3/5,4/5,3/5,"블랙커런트, 제비꽃, 바닐라, 타바코, 초콜릿","소고기, 스테이크, 육류요리, 바비큐, 양갈비, 양고기, 건육, 불고기, 양념갈비, 족발, 한식, 파스타, 서양요리, 피자, 치즈, 파르미지아노, 그라노파다노","짙은 루비색을 띄고 있으며, 블랙커런트의 향과 아마레아레 바이올렛, 달콤한 바닐라, 담배, 초콜릿 등의 향을 느껴집니다. 메를로의 부드러움과 우아함, 카베르네 품종의 아름다운 산미가 잘 어우러진 훌륭한 구조와 바디감을 자랑하는 와인입니다. 22°C의 온도에서 23시간 동안 콘크리트 통에서 알코올 발효해 4주간 침연 후 프렌치 오크에서 젖산 발효. 24개월 간 프렌치 오크에서 숙성 후 3개월 콘크리트 통 숙성. 8개월 간 병 숙성",,
"발레피치올라, 피에바시아타 스푸만테 브뤼","Vallepicciola, Pievasciata Spumante Brut",https://www.wine21.com/13_search/wine_view.html?Idx=175184&lq=LIST,발레피치올라  Vallepicciola,이탈리아(Italy) / 토스카나(Toscana),샤르도네 (Chardonnay),,,12~13 %,6~8 ℃,,,1/5,4/5,1/5,1/5,"배, 시트러스, 흰꽃, 꽃, 미네랄","바비큐, 돼지고기, 건육, 닭강정, 닭고기, 초밥, 생선회, 해산물, 잡채, 오일파스타, 중국요리, 아시아요리, 튀김, 과일, 치즈, 모짜렐라","맑은 노란 볏짚이 연상되는 빛을 지니고 있으며, 아로마틱한 흰 꽃과 잘 익은 화이트 계열의 신선한 과일향과 미네랄의 풍미가 산뜻함을 느끼게 해줍니다. 섬세하면서도 미세한 기포가 입안 가득 번져 긴 여운을 남겨주는 와인입니다. 식전주나 피자, 회, 생선요리 등 어떤 요리에든 잘 어울립니다.",,
"발레피치올라, 피에바시아타 비앙코 샤르도네","Vallepicciola, Pievasciata Bianco Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175185&lq=LIST,발레피치올라  Vallepicciola,이탈리아(Italy) / 토스카나(Toscana),샤르도네 (Chardonnay),,,12~13 %,8~10 ℃,,,1/5,3/5,2/5,1/5,"살구, 복숭아, 시트러스, 아몬드","건육, 닭강정, 치킨, 초밥, 생선회, 해산물, 동그랑땡, 잡채, 파스타, 피자, 중국요리, 동남아요리, 아시아요리, 튀김, 견과류, 치즈, 리코타, 모짜렐라","연한 볏짚색을 띄고 있으며 아로마틱한 노란 꽃향기와 달콤하면서도 상큼한 살구, 복숭아 그리고 아몬드 등의 섬세한 향이 후각과 미각 자극시켜줍니다. 약간의 솔티한 느낌이 함께 어우러져 부드러우면서도 밀도 있는 질감이 느껴지는 와인입니다. 각종 치즈와 해산물 리조또 또는 생선 요리 등과 같은 해산물요리와 잘 어울립니다.",,
"발레피치올라, 토스카나 비앙코","Vallepicciola, TOSCANA BIANCO",https://www.wine21.com/13_search/wine_view.html?Idx=175186&lq=LIST,발레피치올라  Vallepicciola,이탈리아(Italy) / 토스카나(Toscana),샤르도네 (Chardonnay),"콘크리트 탱크 50%, 토노 50%에서 10일간 매일 바또나즈. 프렌치 오크에서 12개월간 숙성하며 한 달에 한 번 바토나주 시행.",4개월 간 병 숙성.,13~14 %,8~10 ℃,,,1/5,3/5,2/5,1/5,"살구, 복숭아, 시트러스, 열대과일, 패션프루트, 파인애플","베이컨, 꼬치구이, 건육, 닭강정, 후라이드, 닭고기, 스시, 초밥, 생선회, 사시미, 참치, 해산물, 오일파스타, 피자, 중국요리, 동남아요리, 아시아요리, 견과류, 치즈, 파르미지아노, 그라노파다노",,,
"발레피치올라, 퀘르세그로세","Vallepicciola, Quercegrosse",https://www.wine21.com/13_search/wine_view.html?Idx=175187&lq=LIST,발레피치올라  Vallepicciola,이탈리아(Italy) / 토스카나(Toscana),메를로 (Merlot),20-25일 동안 콘크리트 통에서 알코올 발효 및 침용. 프렌치 오크 바리크에서의 젖산발효.,바리크에서 12-14개월 숙성. 6-8개월간 병숙성.,14~15 %,16~18 ℃,,,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 자두, 정향, 감초, 오크","소고기, 스테이크, 바비큐, 양갈비, 건육, 불고기, 족발, 한식, 수육, 파스타, 피자, 치즈, 파르미지아노, 체다, 그라노파다노",,,
"발레피치올라, 보스코부르노","Vallepicciola, Boscobruno",https://www.wine21.com/13_search/wine_view.html?Idx=175188&lq=LIST,발레피치올라  Vallepicciola,이탈리아(Italy) / 토스카나(Toscana),피노 네로 (Pinot Nero),15일간 콘크리이트 통에서 알코올 발효 및 침용.,프렌치 오크에서 젖산 발효 후 12개월 간 숙성. 8~10개월 간 병 숙성.,13~14 %,16~18 ℃,,,1/5,3/5,3/5,2/5,"딸기, 라스베리, 자두, 석류, 건포도, 붉은꽃, 꽃, 바닐라, 정향","그릴요리, 로스트비프, 소고기, 바비큐, 돼지고기, 양고기, 건육, 닭강정, 후라이드, 초밥, 생선회, 불고기, 족발, 한식, 편육, 수육, 파스타, 피자, 과일, 견과류, 치즈, 파르미지아노, 그라노파다노",,,
"발레피치올라, 피에바시아타 피노 네로","Vallepicciola, Pievasciata Pinot Nero",https://www.wine21.com/13_search/wine_view.html?Idx=175189&lq=LIST,발레피치올라  Vallepicciola,이탈리아(Italy) / 토스카나(Toscana),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,,1/5,3/5,2/5,2/5,"블랙커런트, 블루베리, 라스베리, 석류, 정향","로스트비프, 까르파치오, 소고기, 양꼬치, 건육, 찜닭, 보쌈, 불고기, 족발, 한식, 파스타, 서양요리, 피자, 치즈, 파르미지아노, 그라노파다노",,,
"발레피치올라, 토스카나 로쏘","Vallepicciola, Toscana Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=175190&lq=LIST,발레피치올라  Vallepicciola,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),프렌치 오크에서 젖산 발효.,20개월 간 프렌치 오크에서 숙성 후 3개월 콘크리트 통 숙성. 6개월 간 병 숙성.,14~15 %,16~18 ℃,"짙은 루비색을 띄고 있으며, 체리, 담배를 곁들인 레드커런트, 바이올렛, 다크초콜릿의 향이 입안에서 완벽한 조화를 이루어 줍니다. 탄탄한 구조감과 강렬한 탄닌, 발사믹 노트가 우아한 긴 여운을 남겨줍니다. 22°C의 온도에서 22시간 동안 콘크리트 통에서 알코올 발효해 4주간 침연 후 프렌치 오크에서 젖산 발효. 20개월 간 프렌치 오크에서 숙성 후 3개월 콘크리트 통 숙성. 6개월 간 병 숙성",,1/5,4/5,3/5,3/5,"레드커런트, 블랙체리, 자두, 제비꽃, 붉은꽃, 정향, 커피, 다크초콜릿","소고기, 스테이크, 돼지고기, 양갈비, 양고기, 건육, 불고기, 족발, 한식, 순대, 파스타, 서양요리, 피자, 치즈, 파르미지아노, 그라노파다노, 테트드무안, 콩테",,,
"하디스, 틴타라 쉬라즈","Hardy's, Tintara Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=175191&lq=LIST,하디스  Hardys,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz),,,,,,,0/5,0/5,0/5,0/5,,,,,
"파토리아 데이 바르비, 마렘마 토스카나","Fattoria dei Barbi, Maremma Toscana",https://www.wine21.com/13_search/wine_view.html?Idx=175192&lq=LIST,파토리아 데이 바르비  Fattoria dei Barbi,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),신선한 과일 아로마를 보존하기 위해 파쇄 전 18도  의 온도에서 포도를 보관. 발효는 이주동  안 온도 28도를 넘기지 않으며 길고 느리게 진행.,,14~15 %,16~18 ℃,,동원와인플러스,1/5,1/5,3/5,3/5,"체리, 딸기, 블루베리, 라스베리, 자두, 붉은꽃, 감초","로스트비프, 까르파치오, 소고기, 바비큐, 건육, 찜닭, 보쌈, 동그랑땡, 한식, 파스타, 서양요리, 피자, 치즈, 파르미지아노, 그라노파다노",,Central Italy Red,Maremma Toscana DOC(DOP)
"칼레스케, 엘레너 세미용","Kalleske, Elenore Semilion",https://www.wine21.com/13_search/wine_view.html?Idx=175193&lq=LIST,칼레스케  Kalleske,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),세미용 (Semillon),"Native 이스트로 발효. 프렌치 배럴, 콘크리트 에그 탱크, 스테인리스 탱크와 같이 세 개 의 Vessel를 이용. 말로락틱 발효와 리 컨택 실시.",,12~13 %,8~10 ℃,,동원와인플러스,1/5,3/5,2/5,1/5,"배, 서양배, 시트러스, 레몬, 멜론, 패션프루트, 아몬드, 오크","바비큐, 양꼬치, 건육, 닭강정, 후라이드, 생선구이, 생선찜, 해산물, 새우, 동그랑땡, 수육, 오일파스타, 중국요리, 아시아요리, 튀김, 치즈, 리코타, 모짜렐라",* 비비노 4.0,,
"칼레스케, 플레나리우스 비오니에","Kalleske, Plenarius Viognier",https://www.wine21.com/13_search/wine_view.html?Idx=175194&lq=LIST,칼레스케  Kalleske,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),비오니에 (Viognier),,,13~14 %,8~10 ℃,,동원와인플러스,1/5,1/5,2/5,1/5,"무화과, 살구, 말린무화과, 말린살구","건육, 참치, 장어, 해산물, 조개구이, 만두, 오일파스타, 서양요리, 탕수육, 아시아요리, 과일, 치즈, 리코타, 테트드무안, 콩테",* 비비노 평점 - 4.0,Australian Viognier,
"게리 패럴, 로키올리 알렌 빈야드 샤르도네","Gary Farrell, Rochioli Allen vineyard Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175195&lq=LIST,게리 패럴  Gary Farrell,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),샤르도네 (Chardonnay),,"앙금과 함께 프렌치 오크 베럴(35% 새 오크)에서 발효 후 9개월간 숙성, 2019년 6월 병입 이후 18개월 병 숙성, 2022년 2월 출시",,6~8 ℃,"가금류, 오리로스, 치킨, 장어구이, 해산물, 숙성 치즈, 오일파스타, 만두, 잡채 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"복숭아, 흰꽃, 젖은흙","오리고기, 오리로스, 가금류, 치킨, 장어구이, 해산물, 잡채, 만두, 오일파스타, 크림파스타, 복숭아, 치즈, 에뿌아쓰, 로크포르, 블루치즈",* 2018 빈티지 : Cellar Tracker 94점,Californian Chardonnay,Russian River Valley AVA
"도멘 오즈테르타그, 피노 블랑","Domaine Ostertag, Pinot Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=175196&lq=LIST,도멘 오즈테르타그  Domaine Ostertag,프랑스(France) / 알자스(Alsace),피노 블랑 (Pinot Blanc) / 오쎄후와 (Auxerrois) / 피노 그리 (Pinot Gris),"바이오다이나믹 인증 기법으로 관리된 포도밭. 20년 된 고목의 포도 100% 손 수확. 기존 피노 그리 레 쟈뎅(Pinot Gris les Jardins)에 피노그리 20%, 피노 블랑, 피노 옥세루아를 각각 블렌딩.","228L 부르고뉴 오크 배럴통에서 자연 효모 발효 및 젖산 발효, 이후 같은 배럴통에서 앙금과 함께 8개월간 숙성 후 병입",,6~8 ℃,"생선구이, 해산물, 게, 치즈, 리코타, 크림치즈, 샐러드, 자장면, 튀김, 부각, 나물 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"살구, 복숭아, 미네랄, 헤이즐넛","생선구이, 생선찜, 해산물, 게살, 조개구이, 부각, 나물, 짜장면, 동남아요리, 아시아요리, 새우튀김, 튀김, 샐러드, 복숭아, 리코타, 크림치즈, 모짜렐라",,Alsace Pinot Blanc,Alsace AOC(AOP)
"칼레스케, 파라렉스","Kalleske, Parallax",https://www.wine21.com/13_search/wine_view.html?Idx=175197&lq=LIST,칼레스케  Kalleske,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),그르나슈 (Grenache),줄기와 함께 발효. 자연 효모로 섭씨 26도의 최고 온도에서 자연 발효. 하루에 두 번 펌핑오버 실시.,,12~13 %,16~18 ℃,,동원와인플러스,1/5,2/5,3/5,2/5,"블랙체리, 체리, 라스베리, 감초, 민트, 흑연","소고기, 스테이크, 바비큐, 양갈비, 건육, 불고기, 양념갈비, 리조토, 서양요리, 버섯, 치즈, 파르미지아노, 그라노파다노, 콩테",,,
"칼레스케, 올드바인 그르나슈","Kalleske, Old Vine Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=175198&lq=LIST,칼레스케  Kalleske,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),그르나슈 (Grenache),손수확. 천연 효모 사용.  12일 동안 매일 두 번 펌핑 오버 실시.,12개월 동안 오크 숙성.,14~15 %,16~18 ℃,,동원와인플러스,1/5,1/5,4/5,3/5,"블랙체리, 체리, 라스베리, 자두, 붉은꽃, 꽃, 바닐라, 정향, 민트, 초콜릿, 오크","소고기, 스테이크, 양갈비, 불고기, 양념갈비, 리조토, 서양요리, 견과류, 치즈, 테트드무안, 콩테",,,
"스파이스랙, 소노마 카운티 시라","Spicerack, Sonoma County Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=175199&lq=LIST,스파이스랙  Spicerack,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),시라/쉬라즈 (Syrah/Shiraz) / 비오니에 (Viognier),,,14~15 %,16~18 ℃,"소고기, 스테이크, 갈비찜, 양념갈비, 양갈비, 라자냐, 스튜, 크림파스타, 숙성 치즈 등과 잘 어울린다.",씨에스알와인,1/5,3/5,4/5,4/5,"블랙베리, 블루베리, 라스베리, 자두, 제비꽃, 꽃, 후추, 허브, 민트, 오크","스튜, 소고기, 바비큐, 소시지, 양갈비, 훈제오리, 양념갈비, 갈비찜, 한식, 라자냐, 크림파스타, 랑그르, 치즈, 브리, 스모크",,Californian Syrah,
"이 그레삐, 그레삐깐테","I Greppi, Greppicante",https://www.wine21.com/13_search/wine_view.html?Idx=175200&lq=LIST,이 그레삐  I Greppi,이탈리아(Italy) / 토스카나(Toscana) / 볼게리(Bolgheri),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc),,한번 또는 두번 사용했던 프렌치 오크 배럴에서 12개월간 숙성.,14~15 %,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 바비큐, 훈제오리, 불고기, 갈비찜, 피자, 파스타 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,"블랙커런트, 블랙베리, 붉은꽃, 꽃, 감초, 허브, 로즈마리, 가죽","로스트비프, 소고기, 스테이크, 바비큐, 건육, 훈제오리, 불고기, 갈비찜, 족발, 파스타, 서양요리, 피자, 버섯, 랑그르, 치즈, 브리, 콩테",,Italian Bolgheri,Bolgheri DOC(DOP)
"라 키우바, 아르나 몽죠베 수페리에르","La Kiuva, Arnad Montjovet Superieur",https://www.wine21.com/13_search/wine_view.html?Idx=175201&lq=LIST,라 키우바  La Kiuva,이탈리아(Italy) / 발레 다오스타(Valle d'Aosta),네비올로 (Nebbiolo) / 기타 품종 (Other Grapes),10-15일간 28-30도 사이의 온도에서 전통적인 침용과 발효.,오크 배럴에서 10-12개월간 숙성하고 6개월간 추가 병입 숙성.,14~15 %,16~18 ℃,"양갈비, 스테이크, 스튜, 갈비찜, 양념갈비, 버섯, 트러플, 건육, 라자냐, 리조또, 숙성 치즈 등과 잘 어울린다.",,1/5,4/5,4/5,4/5,"체리, 딸기, 크랜베리, 바닐라, 정향, 시나몬, 가죽","스튜, 스테이크, 양갈비, 건육, 육포, 초리조, 양념갈비, 갈비찜, 편육, 라자냐, 리조또, 피자, 팔보채, 난자완스, 버섯, 트러플, 에뿌아쓰, 로크포르, 블루치즈, 스모크",,Italian Nebbiolo,Valle d'Aosta DOC(DOP)
"이 그레삐, 그레삐까이아","I Greppi, Greppicaia",https://www.wine21.com/13_search/wine_view.html?Idx=175202&lq=LIST,이 그레삐  I Greppi,이탈리아(Italy) / 토스카나(Toscana) / 볼게리(Bolgheri),카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,80% 원액은 새 프렌치 오크 배럴에서 18개월간 숙성. 병입 후 6개월 이상 숙성하여 출시.,14~15 %,16~18 ℃,"로스트비프, 불고기, 오리로스, 훈제오리, 치킨, 찜닭, 수육, 토마토파스타, 피자, 탕수육 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 블루베리, 꽃, 정향, 감초, 오크","로스트비프, 까르파치오, 소고기, 바비큐, 소시지, 양꼬치, 건육, 훈제오리, 찜닭, 치킨, 불고기, 수육, 토마토파스타, 크림파스타, 서양요리, 피자, 견과류, 치즈, 파르미지아노, 그라노파다노, 테트드무안",,Italian Bolgheri,Bolgheri DOC(DOP)
