와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,기타정보,등급
"샤또 시몽, 퀴베 익셉셔널 소테른","Chateau Simon, Cuvee exceptionalle Sauternes",https://www.wine21.com/13_search/wine_view.html?Idx=170538&lq=LIST,샤또 시몽  Chateau Simon,프랑스(France) / 보르도(Bordeaux) / 소테른(Sauternes),소비뇽 블랑 (Sauvignon Blanc) / 세미용 (Semillon) / 뮈스까델 (Muscadelle),Bordeaux Sauternes,,,10~12 ℃,"브리, 블루, 로크포르 등 다양한 치즈, 건육, 과일, 타르트, 케이크, 초콜렛 등 디저트와 잘 어울린다.",,3/5,3/5,1/5,1/5,,"건육, 과일",14~15 %,,
"샤또 시몽, 그라브 블랑","Chateau Simon, Graves Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=170539&lq=LIST,샤또 시몽  Chateau Simon,프랑스(France) / 보르도(Bordeaux),소비뇽 블랑 (Sauvignon Blanc) / 세미용 (Semillon),Bordeaux White,,,16~18 ℃,"바비큐, 꼬치구이, 양념치킨, 생선구이, 튀김, 샐러드, 중국요리, 아시아요리, 순대, 떡볶이 등과 잘 어울린다.",,1/5,3/5,1/5,1/5,,"생선구이, 중국요리, 아시아요리, 튀김, 샐러드",12~13 %,,
"도멘 푸흐레, 샤블리","Domaine Fourrey, Chablis",https://www.wine21.com/13_search/wine_view.html?Idx=170540&lq=LIST,도멘 푸흐레  Domaine Fourrey,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis),샤르도네 (Chardonnay),Burgundy Chablis,,,8~10 ℃,"훈제 연어, 스시, 회, 굴, 조개, 해산물, 다양한 치즈, 아시아요리, 동남아요리, 피자, 파스타 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,"해산물, 치즈",12~13 %,,
도멘 푸흐레 샤블리 프리미에크뤼 - 꼬뜨 드 레세,"Domaine Fourrey, Chablis Premire Cru - Cote de Lechet",https://www.wine21.com/13_search/wine_view.html?Idx=170541&lq=LIST,도멘 푸흐레  Domaine Fourrey,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis) / 샤블리 프리미에 크뤼(Chablis Premier Cru),샤르도네 (Chardonnay) 100%,Burgundy Chablis,,,8~10 ℃,"훈제 연어, 스시, 회, 굴, 조개, 해산물, 다양한 치즈, 아시아요리, 동남아요리, 피자, 파스타 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,"해산물, 치즈",13~14 %,,
"테 마타, 콜레인","Te Mata, Coleraine",https://www.wine21.com/13_search/wine_view.html?Idx=170542&lq=LIST,테 마타  Te Mata,뉴질랜드(New Zealand) / 노스 아일랜드(North Island) / 혹스 베이(Hawke's Bay),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc),New Zealand Cabernet Sauvignon,,프렌치 오크통에서 17개월 간 숙성.,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",에노테카코리아,1/5,2/5,4/5,4/5,"블랙커런트, 블랙베리, 자두, 허브, 삼나무, 초콜릿, 오크","스테이크, 붉은육류, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 파스타, 리조토, 자두, 치즈, 고다, 브리, 파르메산, 그라노파다노, 페타, 블루치즈",,* 2021 빈티지: Robert Parker's Wine Advocate98점,
"테 마타, 아와테아","Te Mata, Awatea",https://www.wine21.com/13_search/wine_view.html?Idx=170543&lq=LIST,테 마타  Te Mata,뉴질랜드(New Zealand) / 노스 아일랜드(North Island) / 혹스 베이(Hawke's Bay),카베르네 소비뇽 (Cabernet Sauvignon) 48% / 메를로 (Merlot) 37% / 카베르네 프랑 (Cabernet Franc) 15%,New Zealand Cabernet Sauvignon,,프렌치 오크통에서 17개월 간 숙성,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",에노테카코리아,1/5,2/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 블루베리, 자두, 바닐라, 허브, 삼나무, 코코아, 크림","소고기, 스테이크, 육류요리, 양갈비, 불고기, 족발, 동그랑땡, 파스타, 피자, 자두, 견과류, 치즈, 파르미지아노, 체다, 그라노파다노, 블루치즈",,,
"테 마타, 알마","Te Mata, Alma",https://www.wine21.com/13_search/wine_view.html?Idx=170544&lq=LIST,테 마타  Te Mata,뉴질랜드(New Zealand) / 노스 아일랜드(North Island) / 혹스 베이(Hawke's Bay),피노 누아 (Pinot Noir) 100%,New Zealand Pinot Noir,,16개월 동안 프렌치 오크(35% New) 숙성,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",에노테카코리아,1/5,4/5,4/5,3/5,"체리, 블루베리, 라스베리, 자두, 라벤더, 붉은꽃, 꽃, 미네랄, 감초, 토스트, 코코아","까르파치오, 오리고기, 닭고기, 연어, 참치, 편육, 수육, 파스타, 버섯, 치즈, 파르미지아노, 그라노파다노, 콩테",,* 2020 빈티지 - Wine Orbit 96 점,
"테 마타, 에스테이트 피노 누아","Te Mata, Estate Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=170545&lq=LIST,테 마타  Te Mata,뉴질랜드(New Zealand) / 노스 아일랜드(North Island) / 혹스 베이(Hawke's Bay),피노 누아 (Pinot Noir),New Zealand Pinot Noir,,11개월 동안 프렌치 오크 숙성,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",에노테카코리아,1/5,3/5,2/5,2/5,"체리, 딸기, 라스베리, 라벤더, 바닐라, 허브, 연기, 코코아, 버섯","로스트비프, 까르파치오, 바비큐, 건육, 훈제오리, 찜닭, 연어, 참치, 파스타, 피자, 버섯, 치즈, 체다, 그라노파다노, 콩테",,,
"테 마타, 케이프 크레스트","Te Mata, Cape Crest",https://www.wine21.com/13_search/wine_view.html?Idx=170548&lq=LIST,테 마타  Te Mata,뉴질랜드(New Zealand) / 노스 아일랜드(North Island) / 혹스 베이(Hawke's Bay),소비뇽 블랑 (Sauvignon Blanc) 88% / 소비뇽 그리 (Sauvignon Gris) 7% / 세미용 (Semillon) 5%,New Zealand Sauvignon Blanc,,프렌치 오크통에서 11개월 간 숙성 후 병입,8~10 ℃,"회, 스시, 연어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",에노테카코리아,1/5,4/5,2/5,1/5,복숭아,복숭아,,"*95 points – Sam Kim, Wine Orbit, February 2021",
"니콜라스 마이야르, 그랑 크뤼 로제","Nicolas Maillart, Grand Cru Rose",https://www.wine21.com/13_search/wine_view.html?Idx=170549&lq=LIST,니콜라스 마이야르  Nicholas Maillart,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 60% / 샤르도네 (Chardonnay) 40%,French Champagne,배럴에 천천히 발효,"vats에서 오랜 기간 숙성,",8~10 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",호메오와인갤러리,1/5,4/5,2/5,2/5,,"스시, 샐러드, 과일, 치즈, 디저트",,"*Le Point: 17점 / 20점 중, Elevage: 별점 3",Champagne AOC(AOP)
"니콜라스 마이야르, 프리미에 크뤼 블랑 드 누아 '몽 마르땅'","Nicolas Maillart, 1er Cru Blanc de Noirs 'Mont Martin'",https://www.wine21.com/13_search/wine_view.html?Idx=170550&lq=LIST,니콜라스 마이야르  Nicholas Maillart,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier) 100%,French Champagne,,리(lies)와 함께 8개월 숙성,8~10 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",호메오와인갤러리,1/5,4/5,2/5,1/5,효모,"스시, 샐러드, 과일, 치즈, 디저트",,,Champagne AOC(AOP)
"니콜라스 마이야르, 프리미에 크뤼 밀레짐","Nicolas Maillart, 1er Cru Millesime",https://www.wine21.com/13_search/wine_view.html?Idx=170551&lq=LIST,니콜라스 마이야르  Nicholas Maillart,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 55% / 샤르도네 (Chardonnay) 45%,French Champagne,배럴에서 천천히 발효,60% 베럴 제조 vats에서 오랜 기간 숙성,8~10 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",호메오와인갤러리,1/5,4/5,2/5,1/5,효모,"스시, 샐러드, 과일, 치즈, 디저트",,,Champagne AOC(AOP)
"니콜라스 마이야르, 프리미에 크뤼 블랑 드 누아 '리 로지'","Nicolas Maillart, 1er Cru Blanc de Noirs 'Les Loges'",https://www.wine21.com/13_search/wine_view.html?Idx=170552&lq=LIST,니콜라스 마이야르  Nicholas Maillart,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 100%,French Champagne,,"100% 오크 베럴(아황산염 무첨가), 10개월 이상 숙성",6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",호메오와인갤러리,1/5,4/5,2/5,1/5,감귤,"스시, 샐러드, 과일, 치즈, 디저트",,*Richard Juhlin: 94/100 point.,Champagne AOC(AOP)
"니콜라스 마이야르, 프리미에 크뤼 발릉 드 누아 '몽쉐노'","Nicolas Maillart, 1er Cru Blanc de Noirs 'Montchenot'",https://www.wine21.com/13_search/wine_view.html?Idx=170553&lq=LIST,니콜라스 마이야르  Nicholas Maillart,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 85% / 피노 뮈니에 (Pinot Meunier) 15%,French Champagne,,,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",호메오와인갤러리,1/5,4/5,1/5,1/5,오크,"스시, 샐러드, 과일, 치즈, 디저트",,,Champagne AOC(AOP)
"니콜라스 마이야르, 프리미에 크뤼 플라틴","Nicolas Maillart, 1er Cru Platine",https://www.wine21.com/13_search/wine_view.html?Idx=170554&lq=LIST,니콜라스 마이야르  Nicholas Maillart,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 78% / 샤르도네 (Chardonnay) 16% / 피노 뮈니에 (Pinot Meunier) 6%,French Champagne,배럴에서 천천히 발효,vats에 오랜 기간 숙성,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",호메오와인갤러리,1/5,4/5,2/5,1/5,"시트러스, 아몬드","스시, 샐러드, 과일, 치즈, 디저트",,*2023 대한민국 주류대상 '스파클링 와인부문 대상' 수상,Champagne AOC(AOP)
"보테가, 핑크 골드 브뤼","Bottega, Pink Gold Brut",https://www.wine21.com/13_search/wine_view.html?Idx=170555&lq=LIST,보테가   Bottega S.P.A.,이탈리아(Italy),글레라 (Glera) / 피노 누아 (Pinot Noir),,글레라 주스와 16시간 가량 껍질과 함께 숙성한 피노누아 주스를 블렌딩,,6~8 ℃,"스시, 회, 해산물, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",더바인컴퍼니,1/5,4/5,2/5,2/5,꽃,"스시, 해산물, 샐러드, 과일, 치즈, 디저트",,"Gold Medal – The Drinks Business, The Prosecco Masters (2021)Gold Medal – Mundus Vini – DE (2021)Silver Medal – Concours Mondial de Bruxelles – BE (2021)",
"보테가, 프로세코 로제","Bottega, Prosecco Rose",https://www.wine21.com/13_search/wine_view.html?Idx=170556&lq=LIST,보테가   Bottega S.P.A.,이탈리아(Italy),글레라 (Glera) / 피노 누아 (Pinot Noir),,,,6~8 ℃,"스시, 회, 해산물, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",더바인컴퍼니,1/5,3/5,2/5,2/5,,"스시, 해산물, 샐러드, 과일, 치즈, 디저트",,,
"보테가, 안체스트랄레 내추럴","Bottega, Ancestrale Natural",https://www.wine21.com/13_search/wine_view.html?Idx=170557&lq=LIST,보테가   Bottega S.P.A.,이탈리아(Italy),글레라 (Glera) / 피노 누아 (Pinot Noir),,,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",더바인컴퍼니,1/5,4/5,1/5,1/5,"사과, 꽃, 효모","스시, 해산물, 식전주, 전채요리, 스낵",,,
"보테가, 스파클링 제로","Bottega, Sparkling Zero",https://www.wine21.com/13_search/wine_view.html?Idx=170558&lq=LIST,보테가   Bottega S.P.A.,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) / 모스카토  (Moscato ),,,,6~8 ℃,"스시, 회, 해산물, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",더바인컴퍼니,1/5,4/5,2/5,2/5,,"스시, 해산물, 샐러드, 과일, 치즈, 디저트",0 %,,
"보테가, 플로렌찌아 로쏘","Bottega, Florenzia Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=170559&lq=LIST,보테가   Bottega S.P.A.,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot),Tuscan Red,,,16~18 ℃,"로스트비프, 포크, 바비큐, 그릴요리, 오리고기, 프로슈토, 라자냐, 파스타, 피자와 잘 어울린다.",더바인컴퍼니,1/5,3/5,4/5,3/5,,"프로슈토, 오리고기",,*Silver  - Mundus Vini  - DE2019) – 2013vin*Gold – Berliner Wine Trophy – DE(2019) – 2013vin,
"보테가, 미야비 피노 네로","Bottega, Miabi Pinot Nero",https://www.wine21.com/13_search/wine_view.html?Idx=170560&lq=LIST,보테가   Bottega S.P.A.,이탈리아(Italy),피노 네로 (Pinot Nero),,,,6~8 ℃,"스시, 회, 해산물, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,1/5,4/5,2/5,2/5,딸기,"스시, 해산물, 샐러드, 과일, 치즈, 디저트",,,
웨이크필드 마스터스트로크 쉬라즈,Wakefield Masterstroke Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=170561&lq=LIST,웨이크필드 와인즈  Wakefield Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,,새 아메리칸 오크통과 기존의 아메리칸 오크통을 함께 사용하여 숙성,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",더바인컴퍼니,1/5,3/5,4/5,3/5,"체리, 바닐라, 오크",,,*2021 Sommelier Challenge International Wine & Spirits CompetitionPlatinum*2021 Gilbert & Gaillard International -Guides Des VinGreat Gold*2021 New York International Wine CompetitionDouble Gold*2021Vinus International Wine & Spirit CompetitionDouble Gold*2021Michelangelo International Wine & Spirits AwardsDouble Gold,
"도멘 마샹 그리오, 부르고뉴 파스키에 데 센","Domaine Marchant Grillot, Bourgogne Pasquier des Chenes",https://www.wine21.com/13_search/wine_view.html?Idx=170562&lq=LIST,도멘 마샹 그리오  Domaine Marchant Grillot,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir),Burgundy Red,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,3/5,3/5,2/5,,"파스타, 버섯, 치즈",13~14 %,,
"도멘 마샹 그리오, 쥬브레 샹베르땅","Domaine Marchant Grillot, Gevrey Chambertin",https://www.wine21.com/13_search/wine_view.html?Idx=170563&lq=LIST,도멘 마샹 그리오  Domaine Marchant Grillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),Burgundy Côte de Nuits Red,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,3/5,3/5,2/5,,"파스타, 버섯, 치즈",13~14 %,,
"도멘 마샹 그리오, 샹볼 뮈지니","Domaine Marchant Grillot, Chambolle Musigny",https://www.wine21.com/13_search/wine_view.html?Idx=170564&lq=LIST,도멘 마샹 그리오  Domaine Marchant Grillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir),Burgundy Côte de Nuits Red,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,3/5,2/5,2/5,,"파스타, 버섯, 치즈",13~14 %,,
"폴 로누아, 샴페인 퀴베 컴포지션","Paul Launois, Champagne Cuvee Composition",https://www.wine21.com/13_search/wine_view.html?Idx=170565&lq=LIST,폴 로누아  Paul Launois,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),French Champagne,,,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,1/5,4/5,1/5,1/5,,"스시, 샐러드, 과일, 치즈, 디저트",12~13 %,,
"폴 로누아, 샴페인 퀴베 모노크롬","Paul Launois, Champagne Cuvee Monochrome",https://www.wine21.com/13_search/wine_view.html?Idx=170566&lq=LIST,폴 로누아  Paul Launois,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),French Champagne,,,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,"스시, 샐러드, 과일, 치즈, 디저트",12~13 %,,
"뱅상 바슐래, 마랑쥐 프리미에 크뤼 라 퓌씨에르 비에이 비뉴",Vincent Bachelet Maragnes 1er Cru La Fussiere Vieilles Vignes,https://www.wine21.com/13_search/wine_view.html?Idx=170567&lq=LIST,뱅상 바슐래  Vincent Bachelet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 마랑쥬(Maranges),피노 누아 (Pinot Noir),Burgundy Côte de Beaune Red,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,3/5,3/5,2/5,"체리, 라스베리, 제비꽃, 꽃, 육두구","까르파치오, 소고기, 오리고기, 훈제오리, 오리로스, 불고기, 한식, 수육, 파스타, 버섯, 치즈, 테트드무안, 콩테",13~14 %,,
"도멘 아르노 쇼팽, 코트 드 뉘 빌라주","Domaine A. Choupin, Cote de Nuits Villages Vielles Vigne",https://www.wine21.com/13_search/wine_view.html?Idx=170568&lq=LIST,도멘 아르노 쇼팽  Domaine A.Choupin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Nuits Red,,,,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,3/5,2/5,2/5,,"파스타, 버섯, 치즈",13~14 %,,
