와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,등급
"도멘 구펜스 하이넨, 뿌이이 휘세 크루 엣 쁘띠 끄루","Domaine Guffens Heynen, Pouilly Fuisse Croux Et Petits Croux",https://www.wine21.com/13_search/wine_view.html?Idx=169499&lq=LIST,도멘 구펜스 하이넨  Domaine Guffens Heynen,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais),샤르도네 (Chardonnay) 100%,Burgundy Macônnais White,,,14~15 %,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,"배, 감귤, 부싯돌, 오크","해산물, 수육, 탕수육, 치즈",,
"도멘 쟝 포이야드, 모르공 뀌베 엘레","Domaine Jean Foillard, Morgon Cuvee Elles",https://www.wine21.com/13_search/wine_view.html?Idx=169500&lq=LIST,도멘 장 포이야드  Domaine Jean Foillard,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais) / 모르공(Morgon),가메이 (Gamay) 100%,Beaujolais Red,,,,14~16 ℃,"연어, 참치, 초밥, 로스트 치킨, 로스트비프, 돼지고기, 삼겹살, 베이컨, 크림치즈, 수육, 만두, 물냉면 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,2/5,배,치킨,,
"도멘 쟝 포이야드, 모르공 에포님","Domaine Jean Foillard, Morgon Eponym",https://www.wine21.com/13_search/wine_view.html?Idx=169502&lq=LIST,도멘 장 포이야드  Domaine Jean Foillard,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais),가메이 (Gamay) 100%,Beaujolais Red,,"펌핑 과정과 전체 여과 없이 6~9개월 숙성하며, 사용된 오크통을 이용",,8~10 ℃,"연어, 참치, 초밥, 로스트 치킨, 로스트비프, 돼지고기, 삼겹살, 베이컨, 크림치즈, 수육, 만두, 물냉면 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,2/5,,치킨,,
"도멘 쟝 포이야드, 퀴베 3.14","Domaine Jean Foillard, Cuvee 3.14",https://www.wine21.com/13_search/wine_view.html?Idx=169503&lq=LIST,도멘 장 포이야드  Domaine Jean Foillard,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais),가메이 (Gamay) 100%,Beaujolais Red,,"펌핑 과정과 전체 여과 없이 6~9개월 숙성하며, 사용된 오크통을 이용",,14~16 ℃,"연어, 참치, 초밥, 로스트 치킨, 로스트비프, 돼지고기, 삼겹살, 베이컨, 크림치즈, 수육, 만두, 물냉면 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,2/5,,치킨,,
"도멘 스테판 오지에, 쌩 죠셈 '리 파사지' 루지","Domaine Stephane Ogier, Saint Joseph 'Le Passage' Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=169504&lq=LIST,도멘 스테판 오지에  Domaine Stephane Ogier,프랑스(France) / 론(Rhone) / 생-죠셉(Saint-Joseph),시라/쉬라즈 (Syrah/Shiraz) 100%,Northern Rhône Saint-Joseph,,,,16~18 ℃,"붉은육류, 스테이크, 양고기, 불고기, 토마토파스타, 리조또 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,"양고기, 불고기",,
"앙드레 페레, 꽁드리외 '끌로 샹송'","Andre Perret, Condrieu 'Clos Chanson'",https://www.wine21.com/13_search/wine_view.html?Idx=169505&lq=LIST,앙드레 페레  Andre Perret,프랑스(France) / 론(Rhone),비오니에 (Viognier) 100%,Northern Rhône Condrieu,Chanson 언덕의 화강암 토양에서 자라난 비오니에로 양조,18~20도의 온도에서 발효하고 오크통에서 1년간 숙성,,8~10 ℃,"돼지고기, 바비큐, 참치, 연어, 치킨, 다양한 치즈, 하몽, 프로슈토, 살라미, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,"배, 바나나, 미네랄, 오크","치킨, 파스타, 치즈",,
"앙드레 페레, 뱅 드 페이스 데 콜린 호다니엔","Andre Perret, Vin De Pays des Collines Rhodaniennes",https://www.wine21.com/13_search/wine_view.html?Idx=169506&lq=LIST,앙드레 페레  Andre Perret,프랑스(France) / 론(Rhone),시라/쉬라즈 (Syrah/Shiraz) 40% / 메를로 (Merlot) 60%,Northern Rhône Red,"메를로는 모래 토양의 평야에서 자랐으며, 평균 수령은 20년이다. 그리고 시라는 화강암의 언덕 상방에서 자랐으며 평균 수령 40년",스테인레스 스틸 탱크에서 발효하고 오크통에서 12개월 동안 숙성,13~14 %,16~18 ℃,느 요리에나 잘 어울릴 듯한 맛이지만 특히 구운 고기와 잘 어울린다.,루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,"블랙베리, 미네랄",,,
"도멘 어거스트 클레프, 꼬르나스 르네상스","Domaine Auguste Clape, Cornas Renaissance",https://www.wine21.com/13_search/wine_view.html?Idx=169507&lq=LIST,도멘 어거스트 클레프  Domaine Auguste Clape,프랑스(France) / 론(Rhone),시라/쉬라즈 (Syrah/Shiraz),Northern Rhône Cornas,,,,16~18 ℃,"붉은육류, 스테이크, 양고기, 불고기, 토마토파스타, 리조또 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,"양고기, 불고기",,
"도멘 어거스트 클레프, 쌩 페레 블랑","Domaine Auguste Clape, St Peray Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=169508&lq=LIST,도멘 어거스트 클레프  Domaine Auguste Clape,프랑스(France) / 론(Rhone),마르산느 (Marsanne) 80% / 루산느 (Roussanne) 20%,Northern Rhône Saint-Péray,Cornas에서 남쪽으로 5km 떨어진 곳에 위치한 포도원에서 포도를 손으로 수확,콘크리트 탱크와 오크통 10개월 이상 숙성,14~15 %,8~10 ℃,"돼지고기, 바비큐, 참치, 연어, 치킨, 다양한 치즈, 하몽, 프로슈토, 살라미, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,,"치킨, 파스타, 치즈",,
"도멘 헤르미지에레, 콜린 호다니엔","Domaine Remizieres, Collines Rhodaniennes",https://www.wine21.com/13_search/wine_view.html?Idx=169509&lq=LIST,도멘 헤르미지에레  Domaine Remizieres,프랑스(France) / 론(Rhone),시라/쉬라즈 (Syrah/Shiraz) 100%,Northern Rhône Red,"Crozes-Hermitage Appellation 가장자리에 위치한 점토, 석회암 토양에서 자란 시라로 양조",,13~14 %,16~18 ℃,"스테이크, 흰살 고기와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,"블랙베리, 후추, 삼나무, 가죽",스테이크,,
"군터록, 빌라 군터록 리슬링 프류티","Gunderloch, Villa Gunderloch Riesling fruity",https://www.wine21.com/13_search/wine_view.html?Idx=169511&lq=LIST,군터록  Gunderloch,독일(Germany) / 라인헤센(Rheinhessen),리슬링 (Riesling),German Riesling,,,,,"돼지고기, 삼겹살, 항정살, 장어구이, 해산물, 샐러드, 야채, 불고기, 갈비찜, 수육, 동남아요리, 아시아요리 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,5/5,2/5,1/5,,해산물,,
"도멘 산타 듀, 코트 두 론 비에이 빈","Domaine Santa Due, Cotes du Rhone Vielles Vigne",https://www.wine21.com/13_search/wine_view.html?Idx=169512&lq=LIST,도멘 산타 듀  Domaine Santa Due,프랑스(France) / 론(Rhone),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 무르베드르 (Mourvedre) / 쌩쏘 (Cinsault) / 쿠누아즈 (Counoise) / 까리냥 (Carignan/Carignane),Southern Rhône Red,,,,16~18 ℃,"소고기, 스튜, 스테이크, 양갈비, 버섯, 하몽, 견과류 와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,"양갈비, 하몽, 버섯, 견과류",,
"도멘 산타 듀, 뱅 드 페이 보클루즈","Domaine Santa Due, Vin de Pays Vaucluse",https://www.wine21.com/13_search/wine_view.html?Idx=169513&lq=LIST,도멘 산타 듀  Domaine Santa Due,프랑스(France) / 론(Rhone),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),Southern Rhône Red,,,,16~18 ℃,"붉은육류, 스테이크, 양고기, 불고기, 토마토파스타, 리조또 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,,"양고기, 불고기",,
"도멘 산타 듀, 코트 두 론 블랑 레 그랑 켈케어","Domaine Santa Due, Cotes du Rhone Blanc Les Grands Calcaires",https://www.wine21.com/13_search/wine_view.html?Idx=169514&lq=LIST,도멘 산타 듀  Domaine Santa Due,프랑스(France) / 론(Rhone),그르나슈 블랑 (Grenache Blanc) 40% / 클레렛  (Clairette) 20% / 우니 블랑 (Ugni Blanc) 15% / 부블랑 (Bourboulenc) 15% / 픽풀 (Picpoul) 5% / 비오니에 (Viognier) 5%,Southern Rhône White,,,,8~10 ℃,"돼지고기, 바비큐, 참치, 연어, 치킨, 다양한 치즈, 하몽, 프로슈토, 살라미, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,,"치킨, 파스타, 치즈",,
"도멘 가씨에르, 노스트레 빠에","Domaine Gassier, Nostre Pais",https://www.wine21.com/13_search/wine_view.html?Idx=169515&lq=LIST,도멘 가씨에르  Domaine Gassier,프랑스(France) / 론(Rhone),루산느 (Roussanne) / 그르나슈 블랑 (Grenache Blanc),Southern Rhône Red,,,,16~18 ℃,"닭고기, 광어, 해산물, 샐러드, 새우, 새우튀김 과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,"닭고기, 광어, 샐러드",,
"도멘 가씨에르, 루 쿠 까르디 루지","Domaine Gassier, Lou Coucardie Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=169516&lq=LIST,도멘 가씨에르  Domaine Gassier,프랑스(France) / 론(Rhone),,Southern Rhône Red,,,,16~18 ℃,"붉은육류, 스테이크, 양고기, 불고기, 토마토파스타, 리조또 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,"양고기, 불고기",,
"도멘 가씨에르, 코트 두 론","Domaine Gassier, Cotes du Rhone",https://www.wine21.com/13_search/wine_view.html?Idx=169517&lq=LIST,도멘 가씨에르  Domaine Gassier,프랑스(France) / 론(Rhone),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache) / 무르베드르 (Mourvedre),Southern Rhône Red,,,,16~18 ℃,"붉은육류, 스테이크, 양고기, 불고기, 토마토파스타, 리조또 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,"양고기, 불고기",,
"도멘 가씨에르, 루 쿠 까르디 블랑","Domaine Gassier, Lou Coucardie Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=169518&lq=LIST,도멘 가씨에르  Domaine Gassier,프랑스(France) / 론(Rhone),비오니에 (Viognier) / 루산느 (Roussanne) / 가르나차 블랑카  (Garnacha Blanca),Southern Rhône White,,,,8~10 ℃,"돼지고기, 바비큐, 참치, 연어, 치킨, 다양한 치즈, 하몽, 프로슈토, 살라미, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,,"치킨, 파스타, 치즈",,
"도멘 피에르 위세글리오, 리락","Domaine Pierre Usseglio, Lirac",https://www.wine21.com/13_search/wine_view.html?Idx=169519&lq=LIST,도멘 피에르 위세글리오  Domaine Pierre Usseglio,프랑스(France) / 론(Rhone),그르나슈 (Grenache) 60% / 시라/쉬라즈 (Syrah/Shiraz) 15% / 쌩쏘 (Cinsault) 10% / 무르베드르 (Mourvedre) 15%,Southern Rhône Red,포도는 손으로 수확하고 가지는 완전히 제거,"혼합 및 발효의 과정은 온도를 조절하여 이루어지며 약 20~30일 동안 지속, 12개월 동안 콘크리트와 오크통에서 숙성",,16~18 ℃,"소고기, 스튜, 스테이크, 양갈비, 버섯, 하몽, 견과류 와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,"잼, 감초","양갈비, 하몽, 버섯, 견과류",,
"도멘 피에르 우세글리오, 샤토 네프 드 파프 두 페레","Domaine Pierre Usseglio, Chateauneuf du Pape Reserve deux Freres",https://www.wine21.com/13_search/wine_view.html?Idx=169520&lq=LIST,도멘 피에르 위세글리오  Domaine Pierre Usseglio,프랑스(France) / 론(Rhone) / 샤또네프 뒤 빠쁘(Chateauneuf du Pape),그르나슈 (Grenache),Southern Rhône Châteauneuf-du-Pape Red,,,,16~18 ℃,"소고기, 스튜, 스테이크, 양갈비, 버섯, 하몽, 견과류 와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,"양갈비, 하몽, 버섯, 견과류",,
"도멘 피에르 우세글리오, 유니크","Domaine Pierre Usseglio, VDF l'Unique",https://www.wine21.com/13_search/wine_view.html?Idx=169521&lq=LIST,도멘 피에르 위세글리오  Domaine Pierre Usseglio,프랑스(France) / 론(Rhone) / 샤또네프 뒤 빠쁘(Chateauneuf du Pape),그르나슈 (Grenache) 40% / 시라/쉬라즈 (Syrah/Shiraz) 20% / 무르베드르 (Mourvedre) 20% / 마르셀란 (Marselan) 15% / 메를로 (Merlot) 5%,Southern Rhône Red,"토양은 모래와 자갈로 덮여 있는 암석이며, 포도나무 수령이 75-90년 정도 된 세개의 포도밭에서(La Crau, les Bedines, Les Serres) 선별","콘크리트 통에서 25일 동안 발효 되고, 이후 콘크리트 탱크에서 6개월간 숙성후 병입",,16~18 ℃,"소고기, 양고기, 숙성치즈와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,"라벤더, 미네랄","소고기, 양고기, 치즈",,
"군터록, 나켄하임 로텐베르그 리슬링 트로켄 비엘엔 아우스레제","Gunderloch, Nackenheim Rothenberg Riesling TBA",https://www.wine21.com/13_search/wine_view.html?Idx=169522&lq=LIST,군터록  Gunderloch,독일(Germany) / 라인헤센(Rheinhessen),리슬링 (Riesling),German Riesling,,,,10~12 ℃,"베이컨, 꼬치구이,해산물, 양념치킨, 하몽, 살라미, 아시아요리, 매운음식, 동남아요리등과 잘 어울린다.",루벵코리아 (루뱅쿱),5/5,3/5,5/5,1/5,,해산물,,Trockenbeerenauslese(QmP)
"슐로스 리저, 니더베르그 헬덴 리슬링 까비넷","Schloss Lieser, Niederberg Helden Riesling Kabinett",https://www.wine21.com/13_search/wine_view.html?Idx=169523&lq=LIST,슐로스 리저  Schloss Lieser,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),German Riesling,,,,10~12 ℃,"돼지고기, 해산물, 샐러드, 야채, 자장면, 탕수육, 동남아요리, 아시아요리 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,5/5,2/5,1/5,,"해산물, 수육",,Kabinett(QmP)
"슐로스 리저, 니더베르그 헬덴 리슬링 아우스레제","Schloss Lieser, Niederberg Helden Riesling Auslese",https://www.wine21.com/13_search/wine_view.html?Idx=169524&lq=LIST,슐로스 리저  Schloss Lieser,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),German Riesling,,,,10~12 ℃,"베이컨, 꼬치구이,해산물, 양념치킨, 하몽, 살라미, 아시아요리, 매운음식, 동남아요리등과 잘 어울린다.",루벵코리아 (루뱅쿱),4/5,4/5,3/5,1/5,,해산물,,Auslese(QmP)
"슐로스 리저, 베르너 존넨누어 리슬링 아우스레제 골드 캡슐","Schloss Lieser, Wehlener Sonnenuhr Riesling Auslese Gold Capsule",https://www.wine21.com/13_search/wine_view.html?Idx=169525&lq=LIST,슐로스 리저  Schloss Lieser,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),German Riesling,,,,10~12 ℃,"베이컨, 꼬치구이,해산물, 양념치킨, 하몽, 살라미, 아시아요리, 매운음식, 동남아요리등과 잘 어울린다.",루벵코리아 (루뱅쿱),4/5,3/5,4/5,1/5,,해산물,*Hugh Johnson 죽기전에 마셔야 할 1001 와인,Auslese(QmP)
"아소르스, 뷸카니코 블랑코","Azores, Vulcanico Branco",https://www.wine21.com/13_search/wine_view.html?Idx=169526&lq=LIST,아소르스 와인 컴퍼니  Azores Wine Company,포르투갈(Portugal) / 아소르스(Azores),아린토 (Arinto) 85% / 베르데호 (Verdejo) 15%,,"바구니에 손 수확, 전송이 압착, 소형(600~1,000L) 스테인리스 탱크 발효",,12~13 %,10~12 ℃,"굴이나 조개류와의 매칭이 훌륭하며, 생선구이나 각종 해산물, 샐러드 등과 잘 어울린다.",나라셀라,1/5,4/5,2/5,1/5,미네랄,"생선구이, 해산물, 샐러드",,
"도멘 카스텔누, 레 론스 샤도네이","Domaine Castelnau, Les Ronces Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=169527&lq=LIST,도멘 카스텔누  Domaine Castelnau,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬또 뒤 랑그독(Côteaux du Languedoc),샤르도네 (Chardonnay) 100%,Languedoc-Roussillon White,밤에 기계로 수확,아황산염의 첨가는 일정량으로 제한하여 최소화,13~14 %,8~10 ℃,"오리로스, 치킨, 훈제연어, 해산물, 숙성 치즈, 건육, 피자, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,파인애플,"건육, 연어, 해산물, 치즈",,
"도멘 카스텔누, 르 부스케 소비뇽","Domaine Castelnau, Le Bosquet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=169528&lq=LIST,도멘 카스텔누  Domaine Castelnau,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬또 뒤 랑그독(Côteaux du Languedoc),소비뇽 블랑 (Sauvignon Blanc),Languedoc-Roussillon White,밤에 기계로 수확,아황산염의 첨가는 일정량으로 제한하여 최소화,13~14 %,8~10 ℃,"회, 스시, 연어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,파인애플,,,
"도멘 카스텔누, 레끌로 메를로 카베르네","Domaine Castenau, l'Enclos Merlot Cabernet",https://www.wine21.com/13_search/wine_view.html?Idx=169529&lq=LIST,도멘 카스텔누  Domaine Castelnau,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬또 뒤 랑그독(Côteaux du Languedoc),메를로 (Merlot) 50% / 카베르네 소비뇽 (Cabernet Sauvignon) 50%,Languedoc-Roussillon Red,밤에 기계로 수확,아황산염의 첨가는 일정량으로 제한하여 최소화,13~14 %,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,바닐라,치즈,,
"도멘 카스텔누, 레 뮤리에 피노 누아","Domaine Castelnau, Les Muriers Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=169530&lq=LIST,도멘 카스텔누  Domaine Castelnau,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬또 뒤 랑그독(Côteaux du Languedoc),피노 누아 (Pinot Noir),Languedoc-Roussillon Red,밤에 기계로 수확,아황산염의 첨가는 일정량으로 제한하여 최소화,13~14 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,2/5,,"파스타, 버섯, 치즈",,
"도멘 카스텔누, 카이엔 시라","Domaine Castenau, Cayenne Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=169531&lq=LIST,도멘 카스텔누  Domaine Castelnau,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬또 뒤 랑그독(Côteaux du Languedoc),시라/쉬라즈 (Syrah/Shiraz),Languedoc-Roussillon Red,밤에 기계로 수확,아황산염의 첨가는 일정량으로 제한하여 최소화,13~14 %,16~18 ℃,"붉은육류, 스테이크, 양고기, 불고기, 토마토파스타, 리조또 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,블랙베리,"양고기, 불고기",,
