포도품종,설명,당도,산도,바디,타닌,아로마,추천 음식
베르멘티노Vermentino,"베르멘티노(Vermentino)는 이탈리아 리구리아(Liguria)와 사르데냐(Sardinia) 화이트 품종이다. 이 품종은 스페인에서 기원했는데 말바시아 계열이라고 알려져 있다. 이 품종은 유전적 변이가 잘 일어나 약 40종의 변종이 있다. 와인은 레몬과 견과류, 풀 잎 향을 지니며, 무게감이 좀 느껴진다.",2/5,4/5,1/5,1/5,"라임, 자몽, 풋사과, 아몬드, 수선화","해산물 새우 요리, 토마토 베이스 소스의 기름진 음식, 돼지고기 소시지, 굴이나 조개 요리"
칸노나우Cannonau,칸노나우(Cannonau)는 그르나슈(Grenache) 레드품종의 동의어. 이탈리아의 사르네냐(Sardegna)지역에서는 그르나슈를 칸노나우라 부른다. 대표적으로 칸노나우 디 사르네냐 (Cannonau di Sardegna)가 사르네냐 섬에서 생산되는 레드와인이다.,3/5,3/5,4/5,3/5,"말린 딸기, 구운 자두, 루비 레드 자몽, 가죽, 감초","아시아 음식, 스파이시한 향신료가 들어간 구운 치킨, 라타투유"
피노 그리지오Pinot Grigio,"피노 그리(Pinot Gris)는 프랑스 알자스(Alsace), 이탈리아의 화이트 품종이다. 피노 그리는 프랑스 부르고뉴(Bourgogne)에서 유래했지만, 대부분 이탈리아에서 재배되고 있다. 이탈리아에서는 이 품종을 피노 그리지오(pinot Grigio)라고 부른다. 피노 그리는 분홍빛을 띠는 껍질을 가지고 있으며, 피노 누아와 같은 계열 포도다. 피노 그리는 대부분 단일 품종 와인으로 양조되며, 지역과 와인생산자에 따라 스타일 차이가",2/5,3/5,2/5,1/5,"열대 과일, 멜론, 망고, 초록 사과, 라임","틸라피아, 가리비, 송어, 그라나 파다노와 뮌스터 치즈"
알바리뇨Albarino(Alvarinho),알바리뇨(Albarino)는 스페인 화이트 품종이다. 이 품종은 스페인 갈리시아(Galicia)와 리아스 바익사스(Rias Baixas) 지방에서 주로 재배된다. 와인은 비오니에(Viognier)와 게뷔르츠트라미너(Gewürztraminer)를 섞은 듯한 향을 낸다.,2/5,5/5,1/5,1/5,"린덴, 오렌지, 아카시아, 레몬그래스, 인동","세비체, 해산물 리조또, 굴이나 연어 요리"
레불라Rebula,"레불라(Rebula)는 리볼라(Ribolla)라고 알려진 이탈리안 화이트 품종이며, 슬로베니아, 크로아티아 등지에서 찾아 볼 수 있다. 높은 산도와 복숭아, 사과, 은은한 꽃향기가 특징인 품종이다. * 리볼라 지알라(Ribolla Gialla) 참고",1/5,5/5,3/5,1/5,"복숭아, 사과, 꽃향기, 헤이즐넛, 비스킷","블루 치즈, 인도 음식, 스파이시한 요리, 애플 파이, 바닐라 아이스크림"
슈냉 블랑Chenin Blanc,"슈냉 블랑(Chenin Blanc)은 프랑스를 대표하는 화이트 와인 품종 중 하나로, 주로 루아르 밸리(Loire Valley)에서 많이 재배된다. 이 품종은 뛰어난 적응력을 가지고 있어 다양한 스타일의 와인을 만들어내는 것이 특징이다. 드라이한 와인부터 달콤한 디저트 와인, 스파클링 와인까지 모두 생산될 수 있다.",1/5,4/5,3/5,1/5,"레몬, 노란 사과, 배, 꿀, 카모마일","칠면조 요리, 돼지 갈비, 브리 치즈"
기타 품종Other Grapes,,,,,,,
콜롱바르Colombard,"콜롱바르(Colombard)는 프랑스 화이트 품종이다. 이 품종은 구애 블랑(Gouais Blanc)과 슈냉 블랑(Chenin Blanc)의 접합종이다. 이 품종은 보르도 샤랑테(Charente)지역에서 유래해 꼬냑(Cognac)지방에서 증류주에 사용되었다. 콜롱바르는 복숭아와 자몽 풍미를 지니며, 산미가 높다. 프랑스 외에 호주에서 재배되며 일상적인 화이트 와인 블렌딩에 사용된다. 라이트 바디 와 신선한 아로마를 지님",2/5,4/5,2/5,1/5,"복숭아, 자몽","스시, 세비체, 라비지올로나 스쿠아쿠아로네 치즈, 주키니 찜"
루비 카베르네Ruby Cabernet,"루비 카베르네(Ruby Cabernet)는 미국 캘리포니아 레드 품종이다. 루비 카베르네는 까리냥(Carignan)과 카베르네 소비뇽(Cabernet Sauvignon)의 접합종이다. 루비 카베르네는 더운 기후에 잘 자라며, 우아함과 복합성을 지닌다. 색상이 좋고 기분좋은 체리 아로마를 지님. 대부분 벌크 와인을 만드는데 블랜딩 용으로 사용",3/5,4/5,4/5,3/5,"블랙 베리, 체리","양고기 케밥, 햄버거, 사슴고기, 비프 립, 샤르퀴트리"
가르나차Garnatxa,가르나차(Garnatxa)는 스페인어로 그르나슈 (Grenache) 동의어이다.,,,,,"말린 딸기, 구운 자두, 루비 레드 자몽, 가죽, 감초","아시아 음식, 스파이시한 향신료가 들어간 구운 치킨, 라타투유"
바르베라Barbera,"바르베라(Barbera)는 이탈리아 피에몬테에서 2번째로 중요한 레드 품종이다. 바르베라는 굉장히 직접적인 체리향과 포도 자체 맛을 지닌다. 신선하고, 산미가 좋다. 오크 숙성된 경우엔 생동감있는 향에 바디가 더욱 좋으며, 부드럽다. 짙은 색깔, 낮은 타닌, 높은 산미, 자두 와 향신료, 체리 아로마를 지닌다. Sangiovese 와 Montepulciano 품종에 이어 이탈리아에서 세번째로 많이 재배되는 품종이다",1/5,5/5,4/5,2/5,"신 버찌, 감초, 블랙베리, 건초, 타르","토마토 소스의 피자, 라자냐, 브루스케타, 미트볼 스파게티"
알리아니코Aglianico,"알리아니코(Aglianico)는 이탈리아 품종이다. 호주와 미국에서도 생산된다. 이탈리아 남부에서 주로 자라며, 깜빠니아, 바실리카타, 뿔리아 등지에서도 재배된다. 알리아니코의 어원은 영어의 헬레닉(Hellenic)이 엘레니코(Ellenico)로 변화하며 알리아니코가 됐다. 화산 토양에서 주로 자라며, 생산량이 좋은 편이다. 와인은 무게감이 있고, 농축된 열매, 스모키 함을 띤다. 풀바디, 견고한 타닌, 진한 벽돌색, 초콜렛과 자두의 향, 장기숙성용으로 좋음, 산미가 높은 편이다.",5/5,5/5,5/5,5/5,"백 후추, 블랙 체리, 스모크, 동물, 자두","구운 양고기, 피자, 페코리노 치즈, 그라나 파다노 치즈, 가지 요리"
실바너Silvaner,"실바너(Silvaner)는 프랑스 알자스(Alsace)와 독일 화이트 품종이다. 실바너의 공식적인 이름은 그뤼너 실바너(Grüner Silvaner)이다. 유전자 분석에 따르면, 실바너는 트라미너(Traminer)와 오스트리아 화이트로 알려진 후닉(Hunnic)의 접합종이다. 이 후닉 품종이 오스트리아 제국, 트랜실바니아(Transylvania)에서 유래해서 실바너가 되었다. 실바너는 1970년대 독일에서 리브프라우밀히(Liebfraumilch)라는 오프-드라이 와인에 많이 사용되었으나, 이 와인은 독일 와인 이미지 전체에 부정적인 영향을 끼쳤다. 최근 알자스를 중심으로 양질의 실바너가 만들어지고 있는데, 2006년 죄첸베르크(Zotzenberg)포도원에서 알자스 그랑 크뤼(Alsace Grand Cru)와인을 만드는 고급 품종에 실바너가 허용됐다. 실바너는 프랑스 알자스와 독일 외에, 오스트리아, 호주, 루마니아, 크로아티아, 스위스, 미국, 슬로바키아 등에서 재배된다. 와인은 산미가 높고, 그 풍미는 중성적이며, 주로 리슬링 혹은 엘플링과 블렌딩되며, 달콤한 디저트 와인으로 양조된다. 떼루아마다 각각의 개성을 드러낼 수 있는 빈 도화지 같은 품종. 훌륭한 생산자와 떼루아를 만나면 우아한 와인을 생산함",2/5,5/5,3/5,1/5,"배, 살구, 흰복숭아, 타임(허브)","타파스, 샐러드, 갑각류 음식"
무르베드르Mourvedre,"무르베드르(Mourvèdre)는 프랑스 레드 품종이다. 프랑스 남부 특히 론 밸리(Rhône Valley), 프로방스(Provence), 랑그독-루시용(Laguedoc-Roussillon)과 스페인, 미국, 호주, 남아공에서 재배된다. 무르베드르는 프랑스 남부 샤또네프-뒤-빠쁘(Châteauneuf-du Pape)지역에서 조금만 북쪽으로 이동해도 잘 익지 않을 정도로 더운 기후를 선호하는 품종이다. 하지만, 반대로 너무 더운 지중해 연안에서 자란다면, 산미가 너무 낮고 섬세함이라곤 찾아볼 수 없는 와인이 되고 만다. 따라서, 포도재배자들은 따뜻하고, 남향인 곳에 무르베드르를 재배한다. 출시 빅후 무르베드르 와인은 산악 지역 허브, 블랙베리와 빌베리(Bilberries)등의 향을 내며, 알코올 도수가 높고 강한 탄닌을 지닌다. 대부분의 무르베드르는 그르나슈 및 시라에 블렌딩되는데, 이 블렌딩에서 무르베드르는 허브 풍미와 산미, 강한 탄닌을 더해준다. 몇 년간 숙성된 와인에서는 가죽, 생강과자와 가금류 풍미를 느낄 수 있다.",1/5,4/5,3/5,4/5,"블랙베리, 블랙 후추, 코코아, 담배, 구운 고기","스튜, 그릴에 구운 고기, 돼지고기 소시지"
코르비노네Corvinone,"​코르비노네(Corvinone)는 북부 이탈리아 베네토 지역에서 재배되는 레드 품종이다. 이 지역에서는 코르비나(Corvina), 론디넬라(Rondinella) 와 몰리나라(Molinara)와 함께 재배되며 발폴리첼라(Valpolicella) 와인이 대표적이다. 코르비노네는 코르비나의 클론으로 블랜딩할때 매우 드믈게 발견된다. 코르비나와 크르비노네는 둘 다 두꺼운 껍질로 반건조 시켜서 살짝 달콤한 느낌의 아마로네(Amarone) 혹은 아주 달콤한 레",1/5,2/5,4/5,3/5,"체리, 라즈베리, 블랙베리, 코코아","쇠고기와 버섯 캐서롤, 블랙커런트 소스를 곁들인 사슴, 볶은 돼지의 간"
론디넬라Rondinella,"론디넬라(Rondinella)는 이탈리아 레드 품종이다. 론디넬라는 이탈리아 베네토 지역에서 코르비나(Corvina), 몰리나라(Molinara)품종과 블렌딩되어 발폴리첼라(Valpolicella) 혹은 바르돌리노(Bardolino)와인을 만드는 데 쓰인다. 론디넬라의 풍미는 다소 중성적이며, 포도를 건조시켜 레쵸토(Recioto)와인을 만드는 데 쓰인다.",2/5,3/5,1/5,1/5,"체리, 블랙베리, 후추, 아몬드","아시아고, 몬타시오, 피아베 치즈, 라디키오 리조또, 폴렌타 요리"
모작Mauzac,"모작(Mauzac)은 프랑스 남서부 화이트 품종이다. 모작은 가이약(Gaillac)과 리무(Limoux)지역에서 주로 재배되며 와인은 청사과 향을 내며, 다소 거친 면이 있다. 리무 지역에서 모작은 샤르도네나 슈냉 블랑과 혼합되며, 가이약 지방에서는 렌 데 렐(Len de L'El)품종과 혼합된다. 가이약 지방의 모작은 드라이한 일반 화이트 와인부터 스파클링 와인까지 다양한 스타일로 만들어진다. 모작은 만생종으로 일찍 수확할 경우 산미가 높아 스파클링 와인 생산에 쓰이기 좋다. 높은 산미 그리고 꿀과 녹색사과의 풍미를 지님",0/5,4/5,0/5,1/5,"꿀, 녹색 사과, 버터, 밀크, 레몬","해산물 요리, 소 우유 치즈, 굴, 담치류, 새우, 배스 생선"
진판델Zinfandel,"진판델(Zinfandel)은 미국 캘리포니아에서 자라는 레드 품종이다. 과거 진판델은 이탈리아의 프리미티보(Primitivo)품종과 같다고 여겨졌으나, 유전자 분석에 따라 비슷하지만 서로 다른 품종이라고 밝혀졌다. 1820년대 조지 깁스(George Gibbs)가 오스트리아 비엔나에서 미국 롱 아일랜드(Long Island)로 가져와 1840년대 프레데릭 마콘드레이(Frederick Macondray)가 캘리포니아로 가져왔다고 알려져 있다. 진판델이라는 이름은 오스트리아 품종인 치어판들러(Zierfandler)와 혼동하며 붙여졌는데, 이 치어판들러 품종은 크로아티아에서 유래했으며 유전적으로는 진판델과 매우 비슷하나 같은 종은 아니라는 사실이 밝혀졌다. 진판델은 열기를 좋아하는 품종으로 알코올 도수가 14% 이상일 때, 포도가 지닌 풍미를 극대로 풍긴다. 진판델로 만든 와인은 심한 경우 알코올 도수 17%에 이르기도 한다. 진판델은 배수가 잘 되며, 미네랄이 풍부한 토양에서 잘 자라며, 계곡보다는 평지쪽에서 잘 자란다. 진판델 와인은 흑후추, 클로브, 계피, 오레가노, 꽃, 크랜베리와 딸기 향을 지닌다. 포도가 더 잘 익은 경우, 블랙커런트, 블랙 체리, 자두, 검포도 풍미를 낸다. 서늘한 기후에 진판델이 덜 익은 경우, 그린빈스, 아티초크, 피망, 민트, 유칼립투스 향을 낸다. 입에서는 진판델 와인은 견과류와 초콜릿 풍미를 지닌다. 진판델은 매우 다재다능한 와인으로 바베큐한 닭고기, 토마토 소스를 곁들인 피자 혹은 파스타, 햄버거 등과 잘 어울린다.",3/5,2/5,5/5,4/5,"블랙베리, 딸기, 복숭아 잼, 담배","미국 바베큐, 칠면조 요리, 고기가 곁들여진 피자, 만체고 치즈"
프리미티보Primitivo,"프리미티보(Primitivo)는 이탈리아 남부 레드 품종이다. 유전자 분석에 따르면, 프리미티보는 진판델(Zinfandel)과 같은 품종이다. 어떻게 이 품종이 미국에서 이탈리아로 전해졌는지는 파악되지 못했다. 프리미티보라는 이름은 '이른 것(Early one)'이라는 데서 유래했다는 설이 있다. 프리미티보는 껍질 색이 매우 진해서 잉크 같은 색을 띠며, 탄닌이 강하고, 알코올이 높은 와인을 만든다.",,,,,"딸기, 체리, 블랙베리","구운 채소의 파스타, 볼로네제 스파게티, 푸타네스카, 햄버거, 양고기 카레"
사과Apple,,,,,,,
배Pear,,,,,,,
피노 그리Pinot Gris,"피노 그리(Pinot Gris)는 프랑스 알자스(Alsace), 이탈리아의 화이트 품종이다. 피노 그리는 프랑스 부르고뉴(Bourgogne)에서 유래했지만, 대부분 이탈리아에서 재배되고 있다. 이탈리아에서는 이 품종을 피노 그리지오(Pinot Grigio)라고 부른다. 피노 그리는 분홍빛을 띠는 껍질을 가지고 있으며, 피노누아와 같은 계열 포도다.",2/5,3/5,2/5,1/5,"레몬, 노란 사과, 멜론, 복숭아, 배","가벼운 생선 요리, 게, 크림 치즈와 같이 부드러운 우유 치즈"
템프라니요Tempranillo,"템프라니요(Tempranillo)는 스페인 리오하(Rioja)지역에서 유래한 레드 품종이다. 과거 부르고뉴의 수도사가 산티아고 순례길에 오르며, 스페인에 전해졌다고 알려져 있다. 템프라니요는 숙성된 경우 피노 누아와 상당히 비슷한 모습을 보인다. 템프라노(Temprano)는 일찍(early)라는 스페인어로 조생종인 이 품종의 특징을 따른 이름이다. 템프라니요는 서늘한 기후에서 자란 경우, 우아함과 산미가 좋다.",1/5,4/5,4/5,4/5,"체리, 말린 무화과, 삼나무, 담배, 딜","토마토 소스 베이스의 라자냐, 피자, 바베큐 그릴에 구운 고기, 폴렌타(옥수수 스프의 일종), 타코와 나초 등 멕시코 음식"
모나스트렐Monastrell,"모나스트렐(Monastrell)은 스페인어로 프랑스의 무르베드르(Mourvèdre)와 동일한 품종명을 뜻한다. 모나스트렐(Monastrell)은 스페인의 중부 지역인 후밀리아(Jumilla) 등지에서 생산되는 레드 품종이다. 더운 지역에서 잘 자라며 검은 과실의 향미와 스파이스, 가죽향이 잘 표현된다. 풍분히 익지 않은 포도인 경우 허브향이 살짝 느껴지기도 한다.",5/5,4/5,5/5,5/5,"담배, 블랙베리, 검은 후추, 코코아, 검은 과일, 가죽, 스파이스","훈연한 고기 혹은 바베큐, 소꼬리 스튜, 파마산이나 에담 치즈"
