와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,숙성,양조
"아라, 제로 소비뇽 블랑","Ara, Zero Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=168469&lq=LIST,아라 와인즈  Ara Wines,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc),,,0 %,8~10 ℃,"닭고기, 파스타, 부드러운 치즈 등과 잘 어울린다.",*무알콜 와인,더블유앤비트레이딩,1/5,4/5,2/5,1/5,배,"닭고기, 파스타, 치즈",,
"아포틱, 카버네 소비뇽","Apothic, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168470&lq=LIST,갤로 패밀리 빈야드  Gallo Family Vineyard - E&J Gallo Winery,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 진판델 (Zinfandel) / 피노 누아 (Pinot Noir) / 기타 품종 (Other Grapes),,,13~14 %,16~18 ℃,"소고기(스테이크), 돼지고기, 피자 등과 잘 어울린다.",,롯데칠성음료,1/5,3/5,3/5,3/5,오크,피자,,
"베츠 패밀리, 더 언톨드 스토리","Betz Family, The Untold Story",https://www.wine21.com/13_search/wine_view.html?Idx=168471&lq=LIST,베츠 패밀리 와이너리  Betz Family Winery,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 시라/쉬라즈 (Syrah/Shiraz) / 메를로 (Merlot),Washington State Red Blend,Columbia Valley AVA,13~14 %,16~18 ℃,"소고기 안심, 스테이크, 양갈비, 양고기스튜, 크리미한 버섯 리조또, 바비큐, 불고기, 족발, 보쌈, 파스타, 다양한 치즈, 햄버거, 초콜릿 무스 등과 잘 어울린다.",* International Wine Report 92점* SEAN P. SULLIVAN 92점,비니더스코리아,1/5,2/5,4/5,4/5,"블랙체리, 블랙베리, 체리, 딸기, 블루베리, 자두, 후추, 허브","안심, 소고기, 스테이크, 붉은육류, 바비큐, 돼지고기, 양갈비, 보쌈, 불고기, 족발, 파스타, 크림파스타, 햄버거, 리조또, 자두, 치즈, 에뿌아쓰, 로크포르, 블루치즈, 초콜릿",,
"웨스트마운트, 샤도네이","Westmount, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168472&lq=LIST,웨스트마운트  Westmount,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),샤르도네 (Chardonnay),Oregon Chardonnay,Willamette Valley AVA,13~14 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",* James Suckling 91Point,비니더스코리아,1/5,3/5,3/5,1/5,"서양배, 시트러스, 레몬, 리치, 꽃, 미네랄, 바닐라, 페이스트리, 삼나무, 버터","바비큐, 훈제오리, 오리로스, 치킨, 연어, 참치, 장어구이, 해산물, 새우, 어묵, 수육, 탕수육, 랑그르, 치즈, 그라노파다노",,9월 말 수확 시작. 프렌치 오크 배럴과 스테인리스 스틸 탱크에서 9개월 동안 발효 및 숙성 진행.
"캔드 오레곤, 로제 버블","Canned Oregon, Rose Bubble",https://www.wine21.com/13_search/wine_view.html?Idx=168473&lq=LIST,캔드 오레곤  Canned Oregon,미국(U.S.A) / 오리건(Oregon),피노 누아 (Pinot Noir),,,12~13 %,10~12 ℃,"식전주, 스시, 치킨, 양념치킨, 햄버거, 피자, 떡볶이, 스낵 등과 잘 어울린다.","*Judges Pick - Sparkling Wine Category, Sip Northwest Magazine",비니더스코리아,1/5,3/5,2/5,1/5,"체리, 딸기, 사과, 열대과일","햄, 건육, 닭강정, 치킨, 스시, 떡볶이, 햄버거, 피자, 식전주, 스낵",,
"크리스톰, 이올라 아미티 힐즈 샤르도네","Cristom, Eola Amity Hills Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168474&lq=LIST,크리스톰 빈야드  Cristom Vineyards,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),샤르도네 (Chardonnay) 100%,,,13~14 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.","*2016 빈티지: Wine Enthusiast 93점, Robert Parker 91점",비티스,1/5,4/5,3/5,1/5,"배, 레몬, 오크","바비큐, 수육, 탕수육, 치즈",,
"파이크 로드, 피노누아","Pike Road Vineyards, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=168475&lq=LIST,파이크 로드  Pike Road Vineyards,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),피노 누아 (Pinot Noir),,Willamette Valley AVA,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",*Robert Parker's Wine Advocate 89점,비티스,1/5,4/5,3/5,3/5,"꽃, 가죽","파스타, 버섯, 치즈",,
"도멘 서린, 이븐스테드 리져브 샤르도네","Domaine Serene, Evenstad Reserve Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168476&lq=LIST,도멘 서린  Domaine Serene,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley) / 던디 힐(Dundee Hills),샤르도네 (Chardonnay),,Dundee Hills AVA,13~14 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.","*Robert Parker 93점, Wine Spectator 91점",비티스,1/5,4/5,3/5,1/5,"레몬, 파인애플, 미네랄, 바닐라","바비큐, 수육, 탕수육, 치즈",,
"라몬 빌바오, 베르데호","Ramon Bilbao, Verdejo",https://www.wine21.com/13_search/wine_view.html?Idx=168477&lq=LIST,라몬 빌바오  Ramon Bilbao,스페인(Spain) / 루에다(Rueda),베르데호 (Verdejo),,Rueda DO(DOP),13~14 %,8~10 ℃,"식전주로서도 훌륭하고 차가운 전채 요리, 수프, 데친 야채 요리, 샐러드, 크리미한 치즈나 (닭고기, 돼지고기 같은) 흰 살 고기 등과 잘 어울린다.",,베리타스비노,1/5,4/5,2/5,1/5,허브,"닭고기, 식전주, 치즈",,
"라몬 빌바오, 라롬바 핀카 라린데","Ramon Bilbao, Lalomba Finca Lalinde",https://www.wine21.com/13_search/wine_view.html?Idx=168478&lq=LIST,라몬 빌바오  Ramon Bilbao,스페인(Spain) / 리오하(Rioja),비우라 (Viura) / 가르나차  (Garnacha),,,13~14 %,10~12 ℃,"에피타이저, 채소 요리, 기름기 많은 생선, 스시, 홍합과 잘 어울린다.",*Atkin 2020 93점*Best Young Rioja Rosado in the Guía Peñin 2020 93점*Best Rioja Rosado in the Guía Gourmets 2020 93점*Best Rioja Rosado in the Guía Proensa 2020 95점,베리타스비노,1/5,4/5,2/5,1/5,"리치, 허브","스시, 채소",,
"마르 데 프라데스, 핀카 발리냐스","Mar de Frades, Finca Valinas",https://www.wine21.com/13_search/wine_view.html?Idx=168479&lq=LIST,마르 데 프라데스  Mar de Frades,스페인(Spain) / 리아스 바이사스(Rias Baixas),알바리뇨 (Albarino(Alvarinho)),,,13~14 %,10~12 ℃,"흰살 고기, 생선 요리 그리고 회, 사시미와 같은 아시안 퀴진과도 잘 어울린다.",*Decanter World Wine Awards Silver*Bacchus Silver*Proensa 97점,베리타스비노,1/5,4/5,2/5,1/5,"자두, 살구, 배, 리치, 미네랄, 삼나무, 연기","베이컨, 바비큐, 생선구이, 사시미, 해산물, 씨푸드, 자두, 치즈, 파르미지아노, 리코타, 크림치즈, 꽁떼",,
"말도나도, 로스 올리보스 빈야드 샤도네이","Maldonado, Los Olivos VIneyard Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168480&lq=LIST,말도나도 빈야즈  Maldonado Vineyards,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay),Californian Chardonnay,Napa Valley AVA,14~15 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",*2023 대한민국 주류대상 '신대륙 화이트 와인부문 대상' 수상,와인투유코리아,1/5,3/5,4/5,1/5,"살구, 사과, 시트러스, 구아바, 멜론, 꽃, 미네랄, 바닐라, 오크","바비큐, 건육, 오리로스, 참치, 장어구이, 해산물, 조개구이, 만두, 물냉면, 수육, 중국요리, 탕수육, 견과류",,
"오비드, 익스페리먼트 레드","Ovid, Experiment",https://www.wine21.com/13_search/wine_view.html?Idx=168481&lq=LIST,오비드  OVID,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot) / 카베르네 프랑 (Cabernet Franc),,Napa Valley AVA,,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,하이트진로,1/5,3/5,4/5,4/5,"블랙베리, 배, 감초","양갈비, 치즈",,
"오비드, 익스페리먼트 화이트","OVID, Experiment W5.8",https://www.wine21.com/13_search/wine_view.html?Idx=168482&lq=LIST,오비드  OVID,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),소비뇽 블랑 (Sauvignon Blanc) / 비오니에 (Viognier) / 알바리뇨 (Albarino(Alvarinho)) / 루산느 (Roussanne),,,14~15 %,10~12 ℃,"베이컨, 꼬치구이, 해산물, 양념치킨, 하몽, 살라미, 아시아요리, 매운음식, 동남아요리등과 잘 어울린다.",,,1/5,4/5,3/5,1/5,"자스민, 아몬드, 오크, 효모",해산물,,
"샤또 라 끄로아 생 뱅상, 뽀므롤","Chateau La Croix St.-Vincent, Pomerol",https://www.wine21.com/13_search/wine_view.html?Idx=168483&lq=LIST,비노블 레이데  Vignoble Leydet,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) 80% / 카베르네 프랑 (Cabernet Franc) 20%,,Pomerol AOC(AOP),13~14 %,16~18 ℃,"등심이나 안심 스테이크, 야생 사냥고기, 오리 가슴살 구이 등과 잘 어울린다.",,(주)와이넬,1/5,4/5,4/5,4/5,"딸기, 미네랄, 바닐라, 허브, 토스트, 오크",,,
"캔우드, 멘도치노 소노마 카운티 카베르네 소비뇽","Kenwood, Mendocino Sonoma County Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168484&lq=LIST,캔우드  Kenwood,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 멘도치노(Mendocino),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc),,,14~15 %,16~18 ℃,"신선한 허브를 곁들인 구운 스테이크, 무화과, 로즈마리를 곁들인 구운 닭고기 요리, 프랜치 딥 샌드위치 등과 잘 어울린다.",*Decanter Magazine : 91 points*Critics Challenge IWSC: Gold,,1/5,3/5,4/5,4/5,"후추, 월계수","스테이크, 닭고기",30% 새 오크에서 숙성,
"캔우드, 산 호아퀸 소노마 카운티 진판델","Kenwood, San Joaquin Sonoma County Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=168485&lq=LIST,캔우드  Kenwood,미국(U.S.A) / 캘리포니아(California) / 샌 호아퀸 카운티(San Joaquin County),진판델 (Zinfandel) / 쁘띠 시라  (Petite Sirah) / 메를로 (Merlot),,,14~15 %,16~18 ℃,"구운 스테이크, 케밥, 구운 가지요리, 토마토 파스타, 구운 치즈와 소시지 샌드위치 등과 잘 어울린다.",*Los Angeles IWC: Silver,,1/5,3/5,4/5,4/5,"블랙커런트, 잼, 후추, 오크","스테이크, 소시지, 파스타, 치즈",,
"캔우드, 식스 릿지 카베르네 소비뇽","Kenwood, Alexander Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168486&lq=LIST,캔우드  Kenwood,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 알렉산더 밸리(Alexander Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 말벡 (Malbec),,,14~15 %,16~18 ℃,"구운 소고기 안심요리, 블랙, 블루 스테이크 샐러드, 라이스를 곁들인  볶은 닭요리 등과 잘 어울린다.",*USA North Coast Wine Challenge: Gold*Critics Challenge IWSC: Silver,,1/5,3/5,4/5,4/5,"블랙베리, 배, 시나몬",샐러드,"65% 프렌치 , 20% 미국 , 15% 헝가리안 오크에서 19 개월동안 숙성과정을",
"캔우드, 식스 릿지 러시안 리버 밸리 샤도네이","Kenwood, Russian River Valley Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168487&lq=LIST,캔우드  Kenwood,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,"해산물 샐러드 , 연어 , 참치와 같은 지방산 생선 요리 및 닭고기 ,칠면조와 같은 가금류 요리와 자 어울린다.",*Critics Challenge IWSC: Gold*Los Angeles IWC: Gold,,1/5,3/5,3/5,1/5,"배, 감귤, 멜론, 바닐라, 오크","해산물, 샐러드","프렌치 오크에서 숙성하였으며 , 쉬르 리 방식으로 10 개월동안 숙성",프렌치 오크에서 발효 후 일부 2차 유산 발효 거침
"캔우드, 더 반 피노누아","Kenwood, The Barn Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=168488&lq=LIST,캔우드  Kenwood,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir),,,15~16 %,14~16 ℃,"송아지를 포함한 소고기 요리 , 사슴 , 돼지 , 닭 , 오리 , 거위 요리와 잘 어울린다.",*2016 빈티지: 2019 International Wine & spirits Competition Critics Challenge 97점,,1/5,4/5,3/5,3/5,"체리, 자두, 코코아","돼지, 자두",62% 새로운 프랑스산 오크에서 17 개월간 숙성,
"더 아톰, 카베르네 소비뇽","The Atom, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168489&lq=LIST,더 아톰  The Atom,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon),,,,16~18 ℃,"립아이 스테이크, 양고기 스테이크, 칠면조 요리 등과 잘 어울린다.",,씨에스알와인,1/5,3/5,4/5,3/5,"블랙커런트, 블랙베리, 체리, 바닐라, 초콜릿","스테이크, 양고기, 칠면조",,
"더 아톰, 샤도네이","The Atom, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168490&lq=LIST,더 아톰  The Atom,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay),,,,10~12 ℃,"이베리코 소시지, 연어 스테이크, 아보카도 샐러드, 버섯 요리 등과 잘 어울린다.",,씨에스알와인,1/5,3/5,2/5,1/5,"사과, 오렌지, 라임, 바닐라, 코코넛","소시지, 돼지고기, 건육, 닭강정, 후라이드, 닭고기, 오리로스, 치킨, 연어, 해산물, 오일파스타, 서양요리, 리조또, 중국요리, 치즈",,
"보데가스 빌라노, 빌라노 로블레","Bodegas Vilano, Vilano Roble",https://www.wine21.com/13_search/wine_view.html?Idx=168491&lq=LIST,보데가스 빌라노  Bodegas Vilano,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),틴토피노  (Tinto Fino ),,,14~15 %,16~18 ℃,"양념갈비, 불고기, 하몽, 말린과일, 견과류, 크림 치즈, 한국음식 과 잘 어울린다.","*2018 James Suckling 90점*2017 James Suckling 90점*2016 Decanter 90점, Bronze",,1/5,2/5,3/5,3/5,,"하몽, 견과류, 치즈",,
"보데가스 빌라노, 빌라노 블랙","Bodegas Vilano, Vilano Black",https://www.wine21.com/13_search/wine_view.html?Idx=168492&lq=LIST,보데가스 빌라노  Bodegas Vilano,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),틴토피노  (Tinto Fino ),,,14~15 %,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 불고기, 갈비찜, 양갈비, 한국음식과 잘 어울린다.",*2018 Wine & Spirits 91점*2017 Mundus Vini 금상*2016 International wine Contest 금상,,1/5,3/5,4/5,4/5,,양갈비,,
"보데가스 빌라노, 빌라노 크리안자","Bodegas Vilano, Vilano Crianza",https://www.wine21.com/13_search/wine_view.html?Idx=168493&lq=LIST,보데가스 빌라노  Bodegas Vilano,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),틴토피노  (Tinto Fino ),,,14~15 %,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 불고기, 갈비찜, 양갈비, 한국음식과 잘 어울린다.","*2018 Wine Enthusiast 93점*2017 James Suckling 90점*2016 James Suckling 90점, Wine Spectator 91점*2015 Wine Spectator 90점*2014 Wine Spectator 90점*2013 Wine Spectator 91점",,1/5,3/5,4/5,4/5,,양갈비,,
"보데가스 빌라노, 빌라노 리세르바","Bodegas Vilano, Vilano Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=168494&lq=LIST,보데가스 빌라노  Bodegas Vilano,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),틴토피노  (Tinto Fino ),,,14~15 %,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 불고기, 갈비찜, 양갈비, 한국음식과 잘 어울린다.",*2014 WIne Spectator 92점*2012 Decanter 93점*2011 Wine Enthusiast 92점,,1/5,3/5,4/5,4/5,"바닐라, 초콜릿",양갈비,,
"보데가스 빌라노, 테라 인코그니타","Bodegas Vilano, Terra Incognita",https://www.wine21.com/13_search/wine_view.html?Idx=168495&lq=LIST,보데가스 빌라노  Bodegas Vilano,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),틴토피노  (Tinto Fino ),,,14~15 %,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 불고기, 갈비찜, 양갈비, 한국음식과 잘 어울린다.","*2015 James Suckling 92점*2014 Wine Enthusiast 92점, Decanter 91점*2004 Robert Parker 92점",,1/5,3/5,5/5,4/5,"딸기, 바닐라, 토스트, 흙",양갈비,,
"보데가스 산 발레로, 돈멘도 리세르바","Bodegas San Valero, Don Mendo Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=168496&lq=LIST,보데가스 산 발레로  Bodegas San Valero,스페인(Spain) / 까리네냐(Carinena),가르나차  (Garnacha) / 템프라니요 (Tempranillo) / 카베르네 소비뇽 (Cabernet Sauvignon),,Cariñena DO(DOP),13~14 %,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 불고기, 갈비찜, 양갈비, 치킨, 순대, 한국음식과 잘 어울린다.",*2015 Mundus Vini 금상*2014 Mundus Vini 금상,,1/5,3/5,3/5,2/5,"배, 꽃, 오크","양갈비, 치킨",,
"보데가스 산 발레로, 돈멘도 그란 리세르바","Bodegas San Valero, Don Mendo Gran Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=168497&lq=LIST,보데가스 산 발레로  Bodegas San Valero,스페인(Spain) / 까리네냐(Carinena),템프라니요 (Tempranillo) / 카베르네 소비뇽 (Cabernet Sauvignon) / 가르나차  (Garnacha),,Cariñena DO(DOP),13~14 %,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 불고기, 갈비찜, 양갈비, 치킨, 순대, 한국음식과 잘 어울린다.","*2017, 2015 Mundus Vini 금상*2014 Decanter World Wine Award 동상",,1/5,3/5,3/5,2/5,"배, 바닐라","양갈비, 치킨",,
"보데가스 산 발레로, 카스틸로 두카이 틴토","Bodegas San Valero, Castillo Ducay Tinto",https://www.wine21.com/13_search/wine_view.html?Idx=168498&lq=LIST,보데가스 산 발레로  Bodegas San Valero,스페인(Spain) / 까리네냐(Carinena),가르나차  (Garnacha) / 템프라니요 (Tempranillo) / 카베르네 소비뇽 (Cabernet Sauvignon),,Cariñena DO(DOP),13~14 %,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 불고기, 갈비찜, 양갈비, 치킨, 순대, 한국음식과 잘 어울린다.","*Mundus Vini 2016 그랜드 골드, 2017은상*International Wine Challenge 2014 동상",,1/5,2/5,3/5,2/5,체리,"양갈비, 치킨",,
