와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,숙성,양조,스타일
"쥬세뻬 코르테제, 바르베라 달바","Giuseppe Cortese, Barbera d'Alba",https://www.wine21.com/13_search/wine_view.html?Idx=166397&lq=LIST,쥬세뻬 코르테제  Giuseppe Cortese,이탈리아(Italy) / 피에몬테(Piemonte) / 알바(Alba),바르베라 (Barbera) 100%,14~14.5 %,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",*2018 빈티지: : Robert Parker 88점,에노테카코리아,1/5,4/5,3/5,3/5,"리치, 에스프레소",족발,Barbera d'Alba DOC(DOP),,,
"예르만, 레드 엔젤","Jermann, Red Angel",https://www.wine21.com/13_search/wine_view.html?Idx=166398&lq=LIST,예르만 비냐올리  Jermann Vignaioli,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),피노 네로 (Pinot Nero) 100%,13 %,15~17 ℃,"구운 생선요리, 화이트 트러플 등과 잘 어울린다.",*2016 빈티지: James Suckling 90점,에노테카코리아,1/5,3/5,4/5,3/5,"미네랄, 오크",트러플,,,,
"시카모어 레인, 피노 누아","Sycamore Lane, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=166399&lq=LIST,트린체로 패밀리 이스테이트  Trinchero Family Estate,미국(U.S.A) / 캘리포니아(California),피노 누아 (Pinot Noir) 100%,13~14 %,15~17 ℃,"샐러드, 토마토 파스타, 해산물 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,오크,"해산물, 파스타, 샐러드",California AVA,,,
"예르만, 론스블라우","Jermann, Lonsblau",https://www.wine21.com/13_search/wine_view.html?Idx=166400&lq=LIST,예르만 비냐올리  Jermann Vignaioli,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),피노 네로 (Pinot Nero) 100%,13~14 %,15~17 ℃,"육류, 구운 생선류, 치즈 등과 잘 어울린다.",,에노테카코리아,1/5,3/5,4/5,3/5,"체리, 꽃, 미네랄, 오크",치즈,Venezia Giulia IGT(IGP),,,
"파라스코스, 파이 리볼라 지알라","Paraschos, π Ribolla Gialla",https://www.wine21.com/13_search/wine_view.html?Idx=166401&lq=LIST,파라스코스  Paraschos,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),리볼라 지알라 (Ribolla Gialla) 100%,,10~12 ℃,"매콤한 음식, 훈연한 음식, 기름진 음식들과 잘 어울린다.",*오렌지 와인*내추럴 와인,에노테카코리아,1/5,4/5,4/5,2/5,"오렌지, 오크",,,,,
"도멘 루 페레 에 피스, 본 로마네","Domaine Roux Pere & Fils, Vosne Romanee",https://www.wine21.com/13_search/wine_view.html?Idx=166402&lq=LIST,도멘 루 페레 에 피스  Domaine Roux Pere & Fils,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir) 100%,13~14 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,에노테카코리아,1/5,4/5,3/5,3/5,"자두, 바닐라, 아몬드, 초콜릿, 흙",,,,,
"도멘 루 페레 에 피스, 부르고뉴 알리고떼","Domaine Roux Pere & Fils, Bourgogne Aligote",https://www.wine21.com/13_search/wine_view.html?Idx=166403&lq=LIST,도멘 루 페레 에 피스  Domaine Roux Pere & Fils,프랑스(France) / 부르고뉴(Bourgogne),알리고테 (Aligote) 100%,13~14 %,6~8 ℃,"참치, 연어, 새우, 해산물, 하몽, 프로슈토, 다양한 치즈, 파스타 등과 잘 어울린다.",,에노테카코리아,1/5,2/5,3/5,1/5,"배, 시트러스","파스타, 치즈",,,,
"도멘 루 페레 에 피스, 생-토뱅 자디","Domaine Roux Pere & Fils, Saint-Aubin Jadis",https://www.wine21.com/13_search/wine_view.html?Idx=166404&lq=LIST,도멘 루 페레 에 피스  Domaine Roux Pere & Fils,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 생-오방(Saint-Aubin),샤르도네 (Chardonnay) 100%,13~14 %,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,에노테카코리아,1/5,3/5,3/5,1/5,"배, 미네랄, 오크","해산물, 수육, 탕수육, 치즈",,,,
"도멘 루 페레 에 피스, 크레망 드 부르고뉴 블랑","Domaine Roux Pere & Fils, Cremant de Bourgogne Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=166405&lq=LIST,도멘 루 페레 에 피스  Domaine Roux Pere & Fils,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,11~12 %,6~8 ℃,"식전주, 생선, 조개류 등과 잘 어울린다.",,에노테카코리아,1/5,3/5,2/5,1/5,"꽃, 토스트, 헤이즐넛",식전주,,,,
"도멘 루 페레 에 피스, 퓔리니 몽라셰","Domaine Roux Pere & Fils, Puligny Montrachet",https://www.wine21.com/13_search/wine_view.html?Idx=166406&lq=LIST,도멘 루 페레 에 피스  Domaine Roux Pere & Fils,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay) 100%,12~13 %,12~14 ℃,"소스를 곁들인 가금류 요리, 송아지 요리, 카레, 볶음요리, 연어 요리 등과 잘 어울린다.",,에노테카코리아,1/5,2/5,3/5,1/5,"배, 미네랄, 토스트, 헤이즐넛, 버터, 꿀","송아지, 가금류, 연어",,,,
"도멘 샤를로팽, 쥬브레 샹베르땅 '레 에보셀'","Domaine Charlopin, Gevrey Chambertin 'Les Evocelles'",https://www.wine21.com/13_search/wine_view.html?Idx=166407&lq=LIST,도멘 필립 샤를로팽 빠리죠  Domaine Philippe Charlopin Parizot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,에노테카코리아,1/5,3/5,4/5,3/5,오크,,,,,
"샤펠 드 블라니, 블라 프리미에 크뤼 수르도잔","Chapelle de Blagny, Blagny 1er cru Sous le Dos d'Ane",https://www.wine21.com/13_search/wine_view.html?Idx=166408&lq=LIST,샤펠 드 블라니  Chapelle de Blagny,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 블라니(Blagny),피노 누아 (Pinot Noir) 100%,13~14 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,에노테카코리아,1/5,3/5,4/5,3/5,,,,,,
"샤펠 드 블라니, 퓔리니 몽라셰 프리미에 크뤼 하모 드 블라니","Chapelle de Blagny, Puligny 1er Cru Hameau de Blagny",https://www.wine21.com/13_search/wine_view.html?Idx=166409&lq=LIST,샤펠 드 블라니  Chapelle de Blagny,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay) 100%,13~14 %,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 생선구이, 장어구이, 해산물, 숙성 치즈, 피자, 파스타 등과 잘 어울린다.",,에노테카코리아,1/5,2/5,3/5,1/5,토스트,"해산물, 치즈",,,,
"쟝테 팡시오, 오트 코트 드 뉘 블랑","Geantet Pansiot, Hautes Cotes de Nuits Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=166410&lq=LIST,쟝테 팡시오  Geantet-Pansiot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 부르고뉴 오뜨 꼬뜨 드 뉘(Bourgogne Hautes Côtes de Nuits),샤르도네 (Chardonnay),,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,에노테카코리아,1/5,2/5,2/5,1/5,,"해산물, 수육, 탕수육, 치즈",,,,
"레 제르티에르 뒤 콤트 라퐁, 마콩 빌라쥬","Les Heritiers du Comte Lafon, Macon Villages",https://www.wine21.com/13_search/wine_view.html?Idx=166411&lq=LIST,에리티에 뒤 콤트 라퐁  Heritiers du Comte Lafon,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 마꽁(Macon),샤르도네 (Chardonnay) 100%,12~13 %,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,에노테카코리아,1/5,2/5,2/5,1/5,복숭아,"해산물, 수육, 탕수육, 치즈",,,,
"파라스코스, 파이 암포라 말바시아","Paraschos, π Amphoreus Malbasia",https://www.wine21.com/13_search/wine_view.html?Idx=166412&lq=LIST,파라스코스  Paraschos,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),말바시아 이스트리아나  (Malvasia Istriana ) 100%,,11~13 ℃,"돼지고기, 삼겹살, 치킨, 초밥, 다양한 치즈, 리조또, 프로슈토, 살라미, 아시아요리, 잡채, 전, 피자, 파스타 등과 잘 어울린다.",*오렌지 와인*내추럴 와인,에노테카코리아,1/5,4/5,4/5,2/5,"오렌지, 효모","치킨, 초밥, 잡채, 아시아요리, 치즈",,,,
"파라스코스, 파이 오렌지 원","Paraschos, π Orange One",https://www.wine21.com/13_search/wine_view.html?Idx=166413&lq=LIST,파라스코스  Paraschos,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),리볼라 지알라 (Ribolla Gialla) / 말바시아 (Malvasia) / 프리울라노 (Friulano),,11~13 ℃,"연어, 초밥, 다양한 치즈, 아시아요리, 동남아요리, 잡채, 전, 동그랑땡, 떡볶이, 피자, 파스타 등과 잘 어울린다.",*오렌지 와인*내추럴 와인,에노테카코리아,1/5,4/5,4/5,2/5,"오렌지, 오크, 효모",치즈,,,,
"파라스코스, 파이 누아","Paraschos, π Noir",https://www.wine21.com/13_search/wine_view.html?Idx=166414&lq=LIST,파라스코스  Paraschos,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),피노 누아 (Pinot Noir) 100%,,14~16 ℃,그릴에 구운 고기 또는 생선과 잘 어울린다.,*내추럴 와인,에노테카코리아,1/5,4/5,3/5,2/5,"미네랄, 후추, 오크, 효모",,,,,
"파라스코스, 파이 메를로","Paraschos, π Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=166415&lq=LIST,파라스코스  Paraschos,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),메를로 (Merlot) 100%,,16~18 ℃,토마토 소스를 베이스로한 음식들과 잘 어울린다.,*내추럴 와인,에노테카코리아,1/5,3/5,4/5,3/5,"배, 미네랄, 오크",,,,,
"도멘 안느 에르베 시고, 부르고뉴","Domaine Anne & Herve Sigaut, Bourgogne",https://www.wine21.com/13_search/wine_view.html?Idx=166416&lq=LIST,도멘 안느 에르베 시고  Domaine Anne et Herve Sigaut,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) 100%,13~14 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,에노테카코리아,1/5,2/5,2/5,2/5,"딸기, 배, 토마토, 오크","파스타, 버섯, 치즈",,,,
"도멘 안느 에르베 시고, 샹볼 뮈지니 프리미에르 크뤼 레 정티에르 V.V","Domaine Anne & Herve Sigaut, Chambolle 1er cru Les Sentiers V.V",https://www.wine21.com/13_search/wine_view.html?Idx=166417&lq=LIST,도멘 안느 에르베 시고  Domaine Anne et Herve Sigaut,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir) 100%,13~14 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,에노테카코리아,1/5,2/5,4/5,3/5,배,,,,,
"도멘 안느 에르베 시고, 샹볼 뮈지니 프리미에르 크뤼 레 누아로","Domaine Anne et Herve Sigaut, Chambolle Musigny 1er cru Les Noirots",https://www.wine21.com/13_search/wine_view.html?Idx=166418&lq=LIST,도멘 안느 에르베 시고  Domaine Anne et Herve Sigaut,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir) 100%,13~14 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,에노테카코리아,1/5,3/5,4/5,4/5,"체리, 배, 자몽, 꽃, 오크",,,,,
"도멘 안느 에르베 시고, 샹볼 뮈지니 프리미에르 크뤼 레 샤틀로","Domaine Anne & Herve Sigaut, Chambolle Musigny 1er cru Les Chatelots",https://www.wine21.com/13_search/wine_view.html?Idx=166419&lq=LIST,도멘 안느 에르베 시고  Domaine Anne et Herve Sigaut,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir) 100%,13~14 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,에노테카코리아,1/5,3/5,3/5,4/5,"체리, 배, 미네랄",,,,,
"도멘 안느 에르베 시고, 풀리니 몽라셰 레 정시니에르","Domaine Anne & Herve Sigaut, Puligny Montrachet Les Enseignieres",https://www.wine21.com/13_search/wine_view.html?Idx=166421&lq=LIST,도멘 안느 에르베 시고  Domaine Anne et Herve Sigaut,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay) 100%,11~12 %,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,에노테카코리아,1/5,3/5,4/5,1/5,"배, 바닐라, 오크","해산물, 수육, 탕수육, 치즈",,,,
"도멘 카스타니에, 샤름 샹베르땅","Domaine Castagnier, Charme Chambertin",https://www.wine21.com/13_search/wine_view.html?Idx=166422&lq=LIST,도멘 카스타니에  Domaine Castagnier,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,13~14 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,에노테카코리아,1/5,3/5,4/5,4/5,"체리, 배, 오크","파스타, 버섯, 치즈",,,,
"도멘 카스타니에, 샹볼 뮈지니","Domaine Castagnier, Chambolle Musigny",https://www.wine21.com/13_search/wine_view.html?Idx=166423&lq=LIST,도멘 카스타니에  Domaine Castagnier,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir) 100%,13~14 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,에노테카코리아,1/5,2/5,3/5,4/5,"배, 꽃, 후추, 오크",,,,,
"도멘 카스타니에, 코토 부르기뇽 피노 누아","Domaine Castagnier, Coteaux Bourguignons Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=166424&lq=LIST,도멘 카스타니에  Domaine Castagnier,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) 100%,13~14 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,에노테카코리아,1/5,4/5,3/5,4/5,"딸기, 배, 바닐라, 오크","파스타, 버섯, 치즈",Côteaux Bourguignons AOC(AOP),,,
"도멘 카스타니에, 클로 드 라 로슈","Domaine Castagnier, Clos de la Roche",https://www.wine21.com/13_search/wine_view.html?Idx=166425&lq=LIST,도멘 카스타니에  Domaine Castagnier,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir) 100%,13~14 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,에노테카코리아,1/5,3/5,4/5,4/5,"배, 오크","파스타, 버섯, 치즈",Clos de La Roche Grand Cru AOC(AOP),,,
"도멘 카스타니에, 클로 드 부죠","Domaine Castagnier, Clos de Vougeot",https://www.wine21.com/13_search/wine_view.html?Idx=166426&lq=LIST,도멘 카스타니에  Domaine Castagnier,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 부조(Vougeot),피노 누아 (Pinot Noir) 100%,13~14 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,에노테카코리아,1/5,3/5,3/5,3/5,"배, 미네랄, 오크",,Clos de Vougeot Grand Cru AOC(AOP),,,
"도멘 카스타니에, 클로 생 드니","Domaine Castagnier, Clos Saint Denis",https://www.wine21.com/13_search/wine_view.html?Idx=166427&lq=LIST,도멘 카스타니에  Domaine Castagnier,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir) 100%,13~14 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,에노테카코리아,1/5,2/5,3/5,3/5,"체리, 배, 오크","파스타, 버섯, 치즈",Clos Saint-Denis Grand Cru AOC(AOP),,,
알렉산드린 비오니에,Les Alexandrins Viognier,https://www.wine21.com/13_search/wine_view.html?Idx=166428&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone),비오니에 (Viognier) 100%,12~13 %,8~10 ℃,"식전주, 해산물 등과 잘 어울린다.",*2018 빈티지: Wine Spectator 89점,에노테카코리아,1/5,2/5,2/5,1/5,,"해산물, 식전주",,,,
"도멘 쿠드레 비조, 에세죠 그랑 크뤼 엉 오르보","Domaine Coudray Bizot, Echezeax Grand Cru En Orveaux",https://www.wine21.com/13_search/wine_view.html?Idx=166429&lq=LIST,도멘 쿠드레 비조  Domaine Coudray Bizot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir) 100%,,15~17 ℃,"후추가 가미된 스테이크, 구운 야채요리 등과 잘 어울린다.",,에노테카코리아,1/5,2/5,3/5,3/5,미네랄,"스테이크, 야채",,,,
"도멘 쿠드레 비조, 풀리니 몽라셰 프리미에 크뤼 레 꽁베뜨","Domaine Coudray Bizot, Puligny Montrachet 1e Cru Les Combette",https://www.wine21.com/13_search/wine_view.html?Idx=166430&lq=LIST,도멘 쿠드레 비조  Domaine Coudray Bizot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay) 100%,,10~12 ℃,"푸아그라, 랍스타, 생선 스테이크, 송아지 고기, 버섯볶음 등과 잘 어울린다.",,에노테카코리아,1/5,3/5,4/5,1/5,"레몬, 꽃, 미네랄, 헤이즐넛","푸아그라, 버섯",,,,
"비르투소, 카베르네 소비뇽","Virtuoso, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=166432&lq=LIST,나누메아 콜른드  Nanumea COLNED,스페인(Spain),카베르네 소비뇽 (Cabernet Sauvignon) 100%,10~11 %,15~17 ℃,"소고기, 양고기, 모든 종류의 치즈 등과 잘 어울린다.",,에노테카코리아,1/5,2/5,4/5,4/5,체리,"소고기, 양고기, 치즈",,,,
"비르투소, 템프라니요","Virtuoso, Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=166433&lq=LIST,나누메아 콜른드  Nanumea COLNED,스페인(Spain),템프라니요 (Tempranillo) 100%,10~11 %,15~17 ℃,"양념갈비, 불고기, 하몽, 말린과일, 견과류, 크림 치즈, 한국음식 과 잘 어울린다.",,에노테카코리아,1/5,3/5,4/5,3/5,,"하몽, 견과류, 치즈",,,,
