와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,알코올,기타정보,숙성,양조
"무릴라, 뮤즈 샤르도네","Moorilla, Muse Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162184&lq=LIST,무릴라  Moorilla,호주(Australia) / 태즈매니아(Tasmania),샤르도네 (Chardonnay) 100%,Australian Chardonnay,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,1/5,"사과, 라임, 꽃, 미네랄, 바닐라, 오크","바비큐, 수육, 탕수육, 치즈",,13~14 %,*2015 빈티지: Wine Front 95점,,
"엘비오 코뇨, 랑게 아나스 세따","Elvio Cogno, Langhe Anas Cetta",https://www.wine21.com/13_search/wine_view.html?Idx=162185&lq=LIST,엘비오 코뇨  Elvio Cogno,이탈리아(Italy) / 피에몬테(Piemonte) / 랑게(Langhe),나세타  (Nascetta),Northern Italy White,10~12 ℃,"야채요리나, 흰육류, 생선이나 부드럽고 신선한 치즈 등과 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,1/5,"시트러스, 꽃, 허브, 오크","야채, 치즈",Piemonte DOC(DOP),13~14 %,"*2015 빈티지: Wine Spectator 90점, Wine&Spirits 90점",,
"코르테 지아라, 메를로 코르비나","Corte Giara, Merlot Corvina",https://www.wine21.com/13_search/wine_view.html?Idx=162186&lq=LIST,코르테 지아라   Corte Giara,이탈리아(Italy) / 베네토(Veneto),메를로 (Merlot) 60% / 코르비나 (Corvina) 40%,Northern Italy Red,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈 등과 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,2/5,"체리, 자두, 허브","바비큐, 양갈비, 불고기, 파스타, 치즈",,12~13 %,,,
"까디 라오, 엡실론 핑크 골드","Ca'di Rajo, Epsilon Pink Gold",https://www.wine21.com/13_search/wine_view.html?Idx=162187&lq=LIST,까디라오  Ca’di Rajo Wines,이탈리아(Italy) / 베네토(Veneto),라보소 (Raboso) 70% / 글레라 (Glera) 30%,,6~8 ℃,"식전주, 파스타(토마토소스), 피자, 밥류, 생선류, 가금류, 치즈 등과 잘 어울린다.",에노테카코리아,2/5,3/5,3/5,1/5,"오렌지, 장미","가금류, 식전주, 치즈",,11 %,*잔당: 15g(Extra Dry),,
"카스텔로 반피, 폰타넬레 샤르도네","Castello Banfi, Fontanelle Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162188&lq=LIST,반피  Banfi,이탈리아(Italy) / 토스카나(Toscana),샤르도네 (Chardonnay) 100%,,10~12 ℃,"생선, 하얀 육류, 전채요리",,1/5,3/5,3/5,1/5,바닐라,전채요리,Toscana IGT(IGP),14~15 %,*1982년 첫 출시*2011년 제임스서클링 90점 수상,,
"카스텔로 반피, 아르티지아노 키안티 클라시코","Castello Banfi, Artigiano Chianti Classico",https://www.wine21.com/13_search/wine_view.html?Idx=162189&lq=LIST,반피  Banfi,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese),,16~18 ℃,"파스타, 피자 등 거의 모든 이태리 요리, 다양한 육류",롯데칠성음료,1/5,3/5,3/5,3/5,"체리, 자두",자두,Chianti Classico DOCG(DOP),13~14 %,,,
"카스텔로 반피, 아르티지아노 로쏘 디 몬탈치노","Castello Banfi, Artigiano Rosso di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=162190&lq=LIST,반피  Banfi,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese) 100%,,16~18 ℃,"숙성된 치즈, 파스타 및 피자",롯데칠성음료,1/5,3/5,3/5,3/5,"체리, 자두","자두, 치즈",Rosso di Montalcino DOC(DOP),13~14 %,,,
엑스트라 리브르,Extra Libre,https://www.wine21.com/13_search/wine_view.html?Idx=162191&lq=LIST,샤또 뒤 세드르  Chateau du Cedre,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 까오르(Cahors),말벡 (Malbec) 90% / 메를로 (Merlot) 10%,Southwest France Malbec,16~18 ℃,"와인 자체로 즐기거나 푸아그라, 치즈, 가금류나 육류요리 등 다양한 음식과 매칭 가능",신세계엘앤비,1/5,3/5,4/5,3/5,"배, 오크, 효모","육류요리, 치즈",,,*2015: La Revue du Vin de France 15.5/20점,,
샤또 뒤 세드르,Chateau du Cedre,https://www.wine21.com/13_search/wine_view.html?Idx=162192&lq=LIST,샤또 뒤 세드르  Chateau du Cedre,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 까오르(Cahors),말벡 (Malbec) 90% / 메를로 (Merlot) 5% / 따나 (Tannat) 5%,Southwest France Malbec,16~18 ℃,"오리고기, 소고기 스튜 등 풍미가 진한 음식",신세계엘앤비,1/5,3/5,4/5,4/5,"배, 허브, 오크",오리고기,,,"*2014: Wine Enthusiast 92점*2012: Wine Enthusiast 91점, La Revue du Vin de France 15/20점",,
르 세드르,Le Cedre,https://www.wine21.com/13_search/wine_view.html?Idx=162193&lq=LIST,샤또 뒤 세드르  Chateau du Cedre,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 까오르(Cahors),말벡 (Malbec) 100%,Southwest France Malbec,17~19 ℃,"그릴에 구운 소고기, 부드럽게 조리한 고기 스튜, 오리고기, 담백하게 구운 가금류, 치즈",신세계엘앤비,1/5,3/5,5/5,4/5,"배, 미네랄",치즈,,,"*2012: Wine Enthusiast 95점, La Revue du Vin de France 16/20점, Bettane & Desseauve 16/20점, 2016 Challenge Millesime Bio 금메달, Guide Hachette ★",,
지씨,GC,https://www.wine21.com/13_search/wine_view.html?Idx=162194&lq=LIST,샤또 뒤 세드르  Chateau du Cedre,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 까오르(Cahors),말벡 (Malbec) 100%,Southwest France Malbec,17~19 ℃,"그릴에 구운 소고기, 송아지고기 스튜, 오랫동안 졸여 만든 소고기 찜요리, 오리고기, 푸아그라, 염소치즈",신세계엘앤비,1/5,3/5,5/5,4/5,"미네랄, 후추, 오크, 효모",치즈,,,"*2011: Wine Enthusiast 95점, Wine Spectator 92점, La Revue du Vin de France 17/20점, Bettane & Desseauve 16.5/20점, Guide Hachette ★★",,
"시부미 놀, 부에나 티에라 빈야드 샤르도네","Shibumi Knoll, Buena Tierra Vineyard Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162195&lq=LIST,시부미 놀 빈야드  Shibumi Knoll Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),샤르도네 (Chardonnay) 100%,Californian Chardonnay,10~12 ℃,"신선한 샐러드, 스시, 소스가 진하지 않은 해물요리, 담백하게 요리한 닭고기 요리",신세계엘앤비,1/5,3/5,4/5,1/5,"꽃, 바닐라","닭고기, 스시, 샐러드",Russian River Valley AVA,,*2013년 빈티지 WS 94점*2012년 빈티지 WS 96점*2010년 빈티지 WS 93점,,
"시부미 놀, 부에나 티에라 빈야드 피노누아","Shibumi Knoll, Buena Tierra Vineyard Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=162196&lq=LIST,시부미 놀 빈야드  Shibumi Knoll Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,15~17 ℃,"오리구이, 부드러운 소스의 닭가슴살 요리, 스테이크, 양갈비구이",신세계엘앤비,1/5,3/5,4/5,3/5,"블랙베리, 배, 장미","스테이크, 양갈비",Russian River Valley AVA,,*2013년 빈티지 WS 91점,,
"시부미 놀, 나파 밸리 까베르네 소비뇽","Shibumi Knoll, Napa Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162197&lq=LIST,시부미 놀 빈야드  Shibumi Knoll Vineyards,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Californian Cabernet Sauvignon,16~18 ℃,"양갈비구이, 바비큐 구이 육류요리, 미트볼, 버섯소스의 베이비백 폭 립",신세계엘앤비,1/5,3/5,5/5,4/5,"블랙커런트, 자몽","바비큐, 양갈비, 버섯",Napa Valley AVA,,*2013년 빈티지 WS 92점*2008년 빈티지 WS 92점,,
"바로크, 버블리 모스카토","Barokes, Bubbly Moscato",https://www.wine21.com/13_search/wine_view.html?Idx=162198&lq=LIST,바로크  Barokes,호주(Australia) / 사우스 오스트레일리아(South Australia),모스카토  (Moscato ),,6~8 ℃,"사과 디저트, 신선한 딸기, 레몬 케이크, 신선한 치즈, 샤퀴테리",신세계엘앤비,4/5,2/5,2/5,1/5,"딸기, 꽃, 치즈","딸기, 치즈",,,,,
"브루노 미셸, '뀌베 폴린' 블랑 드 블랑","Bruno Michel, 'Cuvee Pauline' Blanc de Blancs",https://www.wine21.com/13_search/wine_view.html?Idx=162199&lq=LIST,바로크  Barokes,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,French Champagne,6~8 ℃,"버섯요리, 신선한 치즈, 은은한 풍미의 해산물 요리",신세계엘앤비,1/5,5/5,3/5,1/5,"배, 꽃, 오크, 효모","해산물, 버섯, 치즈",Champagne AOC(AOP),,,,
"브루노 미셸, '레 로제'","Bruno Michel, 'Les Roses'",https://www.wine21.com/13_search/wine_view.html?Idx=162200&lq=LIST,바로크  Barokes,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier) 100%,French Champagne,6~8 ℃,"딸기 디저트와 함께 가볍게 즐겨도 좋고, 붉은 육류요리나 풍미가 진한 음식과도 잘 맞는다.",신세계엘앤비,1/5,5/5,4/5,1/5,잼,"육류요리, 딸기, 디저트",Champagne AOC(AOP),,,,
"브루노 미셸, 레 브루스 프르미에 크뤼 브뤼","Bruno Michel, Les Brousses Premier Cru Brut",https://www.wine21.com/13_search/wine_view.html?Idx=162201&lq=LIST,바로크  Barokes,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,French Champagne,6~8 ℃,"버섯요리, 신선한 치즈, 은은한 풍미의 해산물 요리",신세계엘앤비,1/5,5/5,3/5,1/5,"장미, 미네랄","해산물, 버섯, 치즈",Champagne AOC(AOP),,*2016 Gault & Millau Champagne Guide 'Coup de Coeur'(=눈 여겨 볼 만한 추천 품목)*2015 Concours International des Vins Biologiques 금메달,,
"브루노 미셸, 라 드미 륀 브뤼","Bruno Michel, La Demi Lune Brut",https://www.wine21.com/13_search/wine_view.html?Idx=162202&lq=LIST,바로크  Barokes,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier) 100%,French Champagne,6~8 ℃,"버섯요리, 신선한 치즈, 은은한 풍미의 해산물 요리",신세계엘앤비,1/5,5/5,3/5,1/5,"오렌지, 꽃, 고수","해산물, 버섯, 치즈",Champagne AOC(AOP),,,,
"브루노 미셸, 뀌베 블랑쉬 브뤼","Bruno Michel, Cuvee Blanche Brut",https://www.wine21.com/13_search/wine_view.html?Idx=162203&lq=LIST,바로크  Barokes,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 50% / 피노 뮈니에 (Pinot Meunier) 50%,French Champagne,6~8 ℃,"버섯요리, 신선한 치즈, 은은한 풍미의 해산물 요리",신세계엘앤비,1/5,5/5,3/5,1/5,,"해산물, 버섯, 치즈",Champagne AOC(AOP),,*2016 Gault & Millau Champagne Guide 'Coup de Coeur'(=눈 여겨 볼 만한 추천 품목)*2016 Guide Hachette des Vins two stars ★★*2015 Challenge Millesime BIO 은메달,,
"그롱네, 까르페 디엠 브뤼","Grongnet, Carpe Diem Brut",https://www.wine21.com/13_search/wine_view.html?Idx=162204&lq=LIST,바로크  Barokes,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 60% / 피노 누아 (Pinot Noir) 20% / 피노 뮈니에 (Pinot Meunier) 20%,French Champagne,6~8 ℃,"붉은 육류요리, 풍미가 진한 음식",신세계엘앤비,1/5,5/5,3/5,1/5,"배, 오크",육류요리,Champagne AOC(AOP),,,,
"그롱네, 까르페 디엠 엑스트라 브뤼","Grongnet, Carpe Diem Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=162205&lq=LIST,바로크  Barokes,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 70% / 피노 뮈니에 (Pinot Meunier) 20% / 피노 누아 (Pinot Noir) 10%,French Champagne,6~8 ℃,"신선한 치즈, 담백한 해산물 요리",신세계엘앤비,1/5,5/5,3/5,1/5,"배, 열대과일, 오크","해산물, 치즈",Champagne AOC(AOP),,,,
"그롱네, 블랑 드 누아","Grongnet, Blanc de Noirs",https://www.wine21.com/13_search/wine_view.html?Idx=162206&lq=LIST,바로크  Barokes,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 50% / 피노 뮈니에 (Pinot Meunier) 50%,French Champagne,6~8 ℃,"신선한 치즈, 파테",신세계엘앤비,1/5,5/5,3/5,1/5,,치즈,Champagne AOC(AOP),,*Le Guide Hachette des Vins 2003 ★ 1star,,
"그롱네, 블랑 드 블랑","Grongnet, Blanc de Blancs",https://www.wine21.com/13_search/wine_view.html?Idx=162207&lq=LIST,바로크  Barokes,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,French Champagne,6~8 ℃,"신선한 치즈, 담백한 해산물 요리",신세계엘앤비,1/5,5/5,3/5,1/5,,"해산물, 치즈",Champagne AOC(AOP),,*Le Guide Hachette des Vins 2004 ★ 1star*Le Guide Hachette des Vins 2010 ★ 1star,,
"지디 바이라, 랑게 네비올로 클라레 J.C.","GD Vajra, Langhe Nebbiolo Clare J.C.",https://www.wine21.com/13_search/wine_view.html?Idx=162208&lq=LIST,지디 바이라  GD Vijra,이탈리아(Italy) / 피에몬테(Piemonte) / 랑게(Langhe),네비올로 (Nebbiolo) 100%,Italian Nebbiolo,16~18 ℃,"콜드컷, 튀김 요리",신세계엘앤비,1/5,4/5,3/5,3/5,,튀김,Langhe DOC(DOP),,,,
"지디 바이라, N.S. 델라 네베 로제","GD Vajra, N.S. Della Neve Rosato",https://www.wine21.com/13_search/wine_view.html?Idx=162209&lq=LIST,지디 바이라  GD Vijra,이탈리아(Italy) / 피에몬테(Piemonte),네비올로 (Nebbiolo) 50% / 피노 누아 (Pinot Noir) 50%,,6~8 ℃,"생선회, 신선한 해산물 요리, 콜드컷",신세계엘앤비,1/5,3/5,3/5,1/5,"배, 효모","생선회, 해산물",,,,,
"로저 뿌이용, 솔레라","Roger Pouillon, Solera",https://www.wine21.com/13_search/wine_view.html?Idx=162210&lq=LIST,로저 뿌이용  Roger Pouillon,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 50% / 샤르도네 (Chardonnay) 50%,French Champagne,6~8 ℃,"버섯요리, 신선한 치즈, 은은한 풍미의 해산물 요리",신세계엘앤비,1/5,5/5,3/5,1/5,꽃,"해산물, 버섯, 치즈",Champagne AOC(AOP),,*Wine Spectator 91점*Gault & Millau 17/20점,,
"로저 뿌이용, 브뤼 리저브","Roger Pouillon, Brut Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=162211&lq=LIST,로저 뿌이용  Roger Pouillon,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 65% / 피노 뮈니에 (Pinot Meunier) 20% / 샤르도네 (Chardonnay) 15%,French Champagne,6~8 ℃,"버섯요리, 신선한 치즈, 은은한 풍미의 해산물 요리",신세계엘앤비,1/5,5/5,3/5,1/5,"잼, 아카시아, 아몬드, 오크, 꿀","해산물, 버섯, 치즈",Champagne AOC(AOP),,*Wine Spectator 92점*Gault & Millau 17/20점*Jancis Robinson 17/20점,,
"브루노 지아코사, 바롤로 팔레토 비냐 레 로케 리제르바","Bruno Giacosa, Barolo Riserva Falleto Vigna Le Rocche",https://www.wine21.com/13_search/wine_view.html?Idx=162212&lq=LIST,부르노 지아코사  Bruno Giacosa,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo) 100%,Italian Barolo,15~17 ℃,"소고기 스테이크, 칠면조 구이, 브레이징한 오리고기, 라구, 치즈, 프로슈토 등과 잘 어울린다.",에노테카코리아,1/5,4/5,5/5,4/5,오렌지,"프로슈토, 치즈",Barolo DOCG(DOP),14.5 %,"*2009 빈티지: Wine Spectator 95점, Wine Advocate 95점*2011 빈티지: Robert Parker 97점, Wine Spectator 97점*2012 빈티지: Robert Parker 96점, Wine Spectator 97점",,
"브루노 지아코사, 바롤로 팔레토 비냐 레 로케","Bruno Giacosa, Barolo Falleto Vigna Le Rocche",https://www.wine21.com/13_search/wine_view.html?Idx=162213&lq=LIST,부르노 지아코사  Bruno Giacosa,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo) 100%,Italian Barolo,15~17 ℃,"소고기 스테이크, 칠면조 구이, 브레이징한 오리고기, 라구, 치즈, 프로슈토",신세계엘앤비,1/5,4/5,4/5,4/5,"배, 오렌지","프로슈토, 치즈",Barolo DOCG(DOP),,"*2013: Wine Spectator 95점, James Suckling 97점",,
"로리앙, 카츠누마 코슈","L'Orient, Katsunuma Koshu",https://www.wine21.com/13_search/wine_view.html?Idx=162214&lq=LIST,시라유리 와이너리  Shirayuri Winery,일본(Japan),코슈 (Koshu) 100%,Japanese Koshu,8~10 ℃,"코스 요리의 애피타이저 메뉴, 신선한 해산물 요리, 생선회 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"복숭아, 시트러스, 꽃, 효모","생선회, 해산물",,,*Best Wine 2015 드라이 화이트 와인 애호가 부문 은메달,,
"로리앙, 셀러 마스터 코슈","L'Orient, Cellar Master Koshu",https://www.wine21.com/13_search/wine_view.html?Idx=162215&lq=LIST,시라유리 와이너리  Shirayuri Winery,일본(Japan),코슈 (Koshu) 100%,Japanese Koshu,8~10 ℃,"담백한 일본 가정식, 스시, 회, 신선한 해산물 요리, 가벼운 샐러드",,1/5,4/5,2/5,1/5,"복숭아, 시트러스","스시, 해산물, 샐러드",,,*2015 Best Wine '베스트 코슈' 선정*2015 Best Wine 화이트 드라이 와인 전문가 부문 및 애호가 부문 금메달,,
"로리앙, 셀러 마스터 뮈스까 베일리 A","L'Orient, Cellar Master Muscat Bailey A",https://www.wine21.com/13_search/wine_view.html?Idx=162216&lq=LIST,시라유리 와이너리  Shirayuri Winery,일본(Japan),"뮈스까 베일리 에이, 엠비에이 (Muscat Bailey A , MBAa) 100%",,15~17 ℃,"일본식 구이 요리인 야끼니꾸, 혹은 짭짤한 맛의 쇼유 소스의 꼬치요리 등과 잘 어울린다.",,2/5,2/5,3/5,3/5,"체리, 배",,,,,,
"쏜 클락, 샷파이어 까베르네 소비뇽 쉬라즈","Thorn Clarke, Shotfire Cabernet Sauvignon Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=162217&lq=LIST,쏜 클락  Thorn Clarke,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 55.1% / 시라/쉬라즈 (Syrah/Shiraz) 44.9%,,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",하이트진로,1/5,3/5,4/5,4/5,"자두, 유칼립투스","양갈비, 치즈",,14~15 %,,,
오리온,Orion,https://www.wine21.com/13_search/wine_view.html?Idx=162218&lq=LIST,비네티 자냐타  Vigneti Zanatta,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",베르멘티노 (Vermentino) 100%,Southern Italy White,10~12 ℃,"참치, 연어, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,치즈,Vermentino di Sardegna DOC(DOP),12~13 %,,,
살라나,Salana,https://www.wine21.com/13_search/wine_view.html?Idx=162219&lq=LIST,비네티 자냐타  Vigneti Zanatta,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",칸노나우 (Cannonau) 100%,Sardinian Cannonau,16~18 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈, 탕수육 과 잘 어울린다.",,1/5,3/5,3/5,3/5,오크,"바비큐, 탕수육, 치즈",Cannonau di Sardegna DOC(DOP),,,,
레 살리네,Le Saline,https://www.wine21.com/13_search/wine_view.html?Idx=162220&lq=LIST,비네티 자냐타  Vigneti Zanatta,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",베르멘티노 (Vermentino) 100%,Southern Italy White,10~12 ℃,"참치, 연어, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"배, 레몬, 열대과일, 꽃, 미네랄, 바닐라, 오크",치즈,Vermentino di Sardegna DOC(DOP),,,,
