와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,추천음식
"안톨리니, 아마로네 델라 발폴리첼라 클라시코 '카 코아토'","Antolini, Amarone della Valpolicella Classico 'Ca Coato'",https://www.wine21.com/13_search/wine_view.html?Idx=173982&lq=LIST,안톨리니  Antolini,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella),Italian Amarone,Amarone della Valpolicella DOCG(DOP),"90~120일 건조시켜 3~40% 농축된 포도를 7~10일 동안 저온에서 침용 과정을 거친 후, 스테인리스 통에서 20일간 숙성.","오크, 체리, 밤, 뽕나무 배럴에서 24개월 숙성하고 병입 및 추가 6~12개월 숙성 후 출시.",16~18 ℃,"* 발폴리첼라 마라노 마을 언덕에 위치한 '카 코아토' 이름의 싱글 빈야드에서 손 수확한 포도로 생산되는 퀄리티 높은 와인으로 연간 5,000~6,000병 한정 생산.",비노에이치,1/5,3/5,4/5,3/5,"블랙베리, 크랜베리, 자두, 잼, 건포도, 말린자두, 장미, 후추, 감초, 타바코, 모카, 커피, 오크","스테이크, 붉은육류, 양갈비, 양념갈비, 갈비찜, 족발, 한식, 라자냐, 리조토, 자두, 치즈, 파르미지아노, 브리, 그라노파다노, 블루치즈, 콩테",,
"모리스팜, 산타 키아라 마렘마 토스카나","Morisfarm, Santa Chiara Maremma Toscana",https://www.wine21.com/13_search/wine_view.html?Idx=173983&lq=LIST,모리스팜  MorisFarms,이탈리아(Italy) / 토스카나(Toscana) / 마렘마(Maremma),트레비아노 (Trebbiano) / 안소니카 (Ansonica),Central Italy White,Maremma Toscana DOC(DOP),"9월 첫째주와 둘째주 시기에 포도 수확하며 약 2주간 18도, 적정 온도에서 발효.",10일 간 효모 컨택 후 병입.,8~10 ℃,* 포제띠 에스테이트는 토스카나 마렘마 북부의 티레니아 해에서 불과 7km 떨어진 구불구불한 언덕 사이에 위치. 전체 423헥타르 중 약 37헥타르에 포도를 재배.* 낮에는 뜨거운 태양 아래에서 밤에는 시원한 바닷 바람을 맞으며 자라며 바다와 인접해 있어 특히 높은 염도와 미네랄리티를 느낄 수 특징이 있음.,비노에이치,1/5,4/5,2/5,1/5,"살구, 백도, 복숭아, 아카시아, 흰꽃, 허브","꼬치구이, 건육, 스시, 생선회, 해산물, 새우, 나물, 비빔밥, 볶음밥, 오일파스타, 중국요리, 짜장면, 아시아요리, 튀김, 전채요리, 채소, 야채, 복숭아, 과일, 리코타, 크림치즈, 모짜렐라, 크로아상",,
"모리스팜, 베르멘티노 마렘마 토스카나","Morisfarm, Vermentino Maremma Toscana",https://www.wine21.com/13_search/wine_view.html?Idx=173984&lq=LIST,모리스팜  MorisFarms,이탈리아(Italy) / 토스카나(Toscana) / 마렘마(Maremma),베르멘티노 (Vermentino) / 비오니에 (Viognier),Central Italy White,,"8월 말 비오니에를, 9월 둘째 주 베르멘티노를 수확합니다. 저온에서 세척 후 21일동안 1차 발효.  추가 15일 간 효모 컨택 후 병입.",,8~10 ℃,* 포제띠 에스테이트는 토스카나 마렘마 북부의 티레니아 해에서 불과7km 떨어진 구불구불한 언덕 사이에 위치. 전체 423헥타르 중 약 37헥타르에 포도를 재배.* 낮에는 뜨거운 태양 아래에서 밤에는 시원한 바닷 바람을 맞으며 자라며 바다와 인접해 있어 특히 높은 염도와 미네랄리티를 느낄 수 특징이 있음.,비노에이치,1/5,3/5,1/5,1/5,"청사과, 서양배, 라임, 레몬, 꽃, 미네랄, 허브","해산물, 문어숙회, 조개구이, 튀김, 아스파라거스, 야채, 샐러드",,
"모리스팜, 만드리올로 마렘마 토스카나","Morisfarm, Mandriolo Maremma Toscana",https://www.wine21.com/13_search/wine_view.html?Idx=173985&lq=LIST,모리스팜  MorisFarms,이탈리아(Italy) / 토스카나(Toscana) / 마렘마(Maremma),산지오베제 (Sangiovese) / 카베르네 소비뇽 (Cabernet Sauvignon) / 시라/쉬라즈 (Syrah/Shiraz) / 쁘띠 베르도 (Petit Verdot),Central Italy Red,,9월 둘째주와 셋째주 시기에 포도 수확하며 세심한 온도의 시멘트 탱크에서 15일 간 1차 발효.,3개월 추가 병 숙성 후 출시.,16~18 ℃,* 2008년에 처음 생산된 만드리올로 로쏘는 산제오베제 기반의 국제품종과 블랜딩된 와인이며 신선하고 개성 넘치는 와인.,비노에이치,1/5,4/5,3/5,3/5,"레드커런트, 블랙체리, 체리, 라스베리, 자두, 시나몬, 허브","소고기, 돼지고기, 양고기, 건육, 불고기, 파스타, 피자, 자두, 치즈, 파르미지아노, 그라노파다노",,
"모리스팜, 바르바스피노사 마렘마 토스카나","Morisfarm, Barbaspinosa Maremma Toscana",https://www.wine21.com/13_search/wine_view.html?Idx=173986&lq=LIST,모리스팜  MorisFarms,이탈리아(Italy) / 토스카나(Toscana) / 마렘마(Maremma),산지오베제 (Sangiovese) / 카베르네 소비뇽 (Cabernet Sauvignon),Central Italy Red,,9월 둘째주와 넷째주 시기에 포도 수확하며 세심한 온도의 시멘트 탱크에서 18일 간 1차 발효.,"12개월 (플래그 쉽 아볼테로 와인 숙성에 사용했던) 오크 숙성, 추가 4개월 병 숙성 후 출시.",16~18 ℃,* 2015년부터 마렘마 토스카나 로쏘 DOC 등급으로 생산된 바르바스피노사는 견고하면서도 마시기 쉬운 와인으로 모리스팜의 주력와인이며 생산자 아돌포 파렌티니(Adolfo Parentini)의 자부심이 담긴 와인임.* 모리스팜 플래그쉽 와인인 아볼테로(Avoltore)와 같은 포도원에서 생산되는 세컨드 라벨 와인.* '바르바스피노사'는 증조 할아버지 쥬세페 레오 모리스(Giuseppe Leo Moris)가 자녀들을 위해 쓴 단편 소설 모음집의 등장 인물으로 와인 이름은 여기에서 유래.,비노에이치,1/5,4/5,3/5,3/5,"블랙체리, 블랙베리, 블루베리, 자두, 붉은꽃, 바닐라, 정향, 허브, 삼나무, 오크","로스트비프, 돼지고기, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 파스타, 피자, 자두, 치즈, 파르미지아노, 체다, 그라노파다노",,
"모리스팜, 모렐리노 디 스칸사노 리제르바","Morisfarm, Morellino di Scansano Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=173987&lq=LIST,모리스팜  MorisFarms,이탈리아(Italy) / 토스카나(Toscana) / 마렘마(Maremma),산지오베제 (Sangiovese) / 메를로 (Merlot) / 시라/쉬라즈 (Syrah/Shiraz),Central Italy Red,Morellino di Scansano DOCG(DOP),"9월 마지막 2주, 10월 첫째주까지 포도 수확하며 15일간 하루 두 번씩 침용 과정을 거치며 세심한 온도의 스테인리스 탱크에서 4개월간 발효.",추가 2개월 병 숙성 후 출시.,16~18 ℃,"* 1978년 모렐리노 디 스칸사노 DOCG 등급이 생겨난 지 불과 몇 년 후인 1981년, 모리스팜의 모렐리노 디 사칸사노 첫 빈티지 와인을 출시.* 포지오 라 모짜(Poggio la Mozza) 에스테이트는 그로세토(Grosseto) 꼬뮌과 티레니아 해 사이의 전형적인 마렘마의 완만한 언덕에 55헥타르 걸쳐 위치. 이 중 35헥타르는 해발 약 100m 모래 토양 성분이 지배적인데, 이곳에서 부드럽고 우아한 타닌을 지닌 레드와인을 생산.",비노에이치,1/5,4/5,3/5,3/5,"레드커런트, 블랙체리, 자두, 바닐라, 정향, 허브, 가죽, 흙","스테이크, 붉은육류, 돼지고기, 양고기, 불고기, 양념갈비, 갈비찜, 파스타, 피자, 자두, 치즈, 파르미지아노, 그라노파다노",,
"아우구스트 케셀러, 파이브 어클락 리슬링","August Kesseler, Five o'clock Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=173988&lq=LIST,아우구스트 케셀러  August Kesseler,독일(Germany) / 라인가우(Rheingau),리슬링 (Riesling),German Riesling,,,,10~12 ℃,"* 아우구스트 케셀러의 'five o' clock' (파이브 어 클럭) 리슬링 품종은 뤼데스하임, 가이젠하임과 에르바흐에 위치한 포도밭에서 재배. 토양은 편암, 백색 규암, 옥토와 황토로 구성.* 각 구역의 포도는 분리되어 양조되며 병에 담기 직전에 뀌베 혼합. 2021년 빈티지는 1792년부터 이중 저장된 셀러에서 제조.",(주)와이넬,2/5,4/5,3/5,1/5,"청사과, 백도, 복숭아, 흰꽃, 꽃, 미네랄, 허브","삼계탕, 후라이드, 오리고기, 훈제오리, 찜닭, 닭고기, 가금류, 치킨, 생선구이, 생선찜, 생선 까르파치오, 해산물, 랍스터, 문어숙회, 조개구이, 만두, 나물, 어묵, 오일파스타, 햄버거, 피자, 아시아요리, 튀김, 식전주, 샐러드, 복숭아, 과일, 치즈, 리코타, 크림치즈",,"샐러드, 가금류, 생선류, 해산물과 잘 어울린다."
"아우구스트 케셀러, 더 데일리 아우구스트 리슬링 트로켄","August Kesseler, The Daily August Riesling trocken",https://www.wine21.com/13_search/wine_view.html?Idx=173989&lq=LIST,아우구스트 케셀러  August Kesseler,독일(Germany) / 라인가우(Rheingau),리슬링 (Riesling),German Riesling,,각 구역에 따라 분리되어 양조되며 병입 직전에 블렌딩. 2021년 빈티지는 1792년부터 이중 저장된 셀러에서 제조.,,10~12 ℃,"* 라인가우에 위치한 아우구스트 케셀러의 최고급 포도밭에서 선별하여 생산. 하텐하임 뷔셀부르넨, 에어바흐 시에겔스버그, 로허 숄스버그에 위치한 빈야드에서 생산.",(주)와이넬,1/5,4/5,2/5,1/5,"복숭아, 사과, 시트러스, 레몬, 꽃","항정살, 삼겹살, 돼지고기, 양꼬치, 건육, 양념치킨, 닭강정, 후라이드, 생선구이, 생선 까르파치오, 장어구이, 해산물, 편육, 수육, 파스타, 중국음식, 동남아요리, 아시아요리, 튀김, 식전주, 야채, 샐러드, 복숭아, 과일",,
"아우구스트 케셀러, 비숍스베르그 리슬링 트로켄 에르스테 라게","August Kesseler, Bischofsberg Riesling trocken Erste Lage",https://www.wine21.com/13_search/wine_view.html?Idx=173990&lq=LIST,아우구스트 케셀러  August Kesseler,독일(Germany) / 라인가우(Rheingau),리슬링 (Riesling),German Riesling,,,,10~12 ℃,,(주)와이넬,1/5,5/5,2/5,1/5,"복숭아, 서양배, 자몽, 레몬, 흰꽃, 미네랄, 허브","베이컨, 꼬치구이, 오겹살, 삼겹살, 돼지고기, 양꼬치, 건육, 닭강정, 치킨, 생선구이, 흰살생선, 해산물, 조개구이, 새우, 보쌈, 불고기, 수육, 중국요리, 중국음식, 동남아요리, 아시아요리, 튀김, 식전주, 채소, 샐러드, 복숭아",,
"아우구스트 케셀러, 셀리히마허 리슬링 GG 그로쎄 라게","August Kesseler, Seligmacher Riesling GG Grosse Lage",https://www.wine21.com/13_search/wine_view.html?Idx=173991&lq=LIST,아우구스트 케셀러  August Kesseler,독일(Germany) / 라인가우(Rheingau),리슬링 (Riesling),German Riesling,,"손으로 포도를 선별 한 후, 또 다시 세부 선별 실시. 각 구역은 별도로 양조되며, 병입 바로 전, 블렌딩하여 뀌베 스타일을 결정.",,10~12 ℃,* 2019 빈티지 - Jancis Robinson 18/20 점* 2019 빈티지 - Schweizerische Weinzeitung 19/20점* 2020년 빈티지는 1792년 만들어진 이중 저장고의 스테인리스 스틸에서 제조.* 로히하우젠 주변 언덕에 위치한 50년 이상 수령의 나무에서 재배된 포도로 생산. 이 포도밭은 라인가우에서 미세기후가 가장 좋은 곳 중 하나. 빈야드는 남서쪽 향이고 100% 편암으로 구성.,(주)와이넬,1/5,5/5,3/5,1/5,"청사과, 복숭아, 오렌지, 레몬껍질, 레몬, 패션프루트, 흰꽃, 미네랄, 허브, 석유","오겹살, 삼겹살, 돼지고기, 양꼬치, 건육, 양념치킨, 닭강정, 후라이드, 생선구이, 생선회, 장어구이, 해산물, 조개구이, 새우, 불고기, 편육, 수육, 파스타, 피자, 중국요리, 중국음식, 동남아요리, 아시아요리, 튀김, 식전주, 야채, 샐러드, 복숭아",,
"마뉴엘 코스타 & 필료스, 플로르 데 베라오 로제","Manuel Costa & Filhos, Flor de Verao Rose",https://www.wine21.com/13_search/wine_view.html?Idx=173992&lq=LIST,마뉴엘 코스타 & 필료스  Manuel Costa & Filhos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),블렌드 (Blend ),,,,,12~14 ℃,,,1/5,3/5,2/5,2/5,"체리, 시트러스, 장미","해산물, 한식, 샐러드",9~10 %,
"마뉴엘 코스타 & 필료스, 플로르 데 베라오 화이트","Manuel Costa & Filhos, Flor de Verao white",https://www.wine21.com/13_search/wine_view.html?Idx=173993&lq=LIST,마뉴엘 코스타 & 필료스  Manuel Costa & Filhos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),블렌드 (Blend ),,,,,8~10 ℃,,,1/5,4/5,2/5,1/5,"배, 시트러스, 열대과일, 미네랄","닭고기, 생선회, 해산물, 샐러드",9~10 %,
"마뉴엘 코스타 & 필료스, 매그네이트 알바리뇨","Manuel Costa & Filhos, Magnate Alvarinho",https://www.wine21.com/13_search/wine_view.html?Idx=173994&lq=LIST,마뉴엘 코스타 & 필료스  Manuel Costa & Filhos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,,,8~10 ℃,,,1/5,3/5,1/5,1/5,"백도, 복숭아, 시트러스, 백합","돼지고기, 생선회, 아시아요리, 샐러드, 복숭아",12~13 %,
"마뉴엘 코스타 & 필료스, 매그네이트 아베쏘","Manuel Costa & Filhos,  Magnate Avesso",https://www.wine21.com/13_search/wine_view.html?Idx=173995&lq=LIST,마뉴엘 코스타 & 필료스  Manuel Costa & Filhos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아베수 (Avesso),,,,,8~10 ℃,,,1/5,3/5,2/5,1/5,"백도, 복숭아, 시트러스, 꽃, 미네랄","생선회, 해산물, 서양요리, 샐러드, 복숭아",12~13 %,
"마뉴엘 코스타 & 필료스, 마리아 도 카잘","Manuel Costa & Filhos, Maria do Casal",https://www.wine21.com/13_search/wine_view.html?Idx=173996&lq=LIST,마뉴엘 코스타 & 필료스  Manuel Costa & Filhos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)) / 아베수 (Avesso) / 로우레이루 (Loureiro),,,,,,,,1/5,4/5,2/5,1/5,"백도, 복숭아, 시트러스, 꽃","해산물, 전복, 전복, 아시아요리, 샐러드, 복숭아, 치즈",11~12 %,
"마뉴엘 코스타 & 필료스, 멜로디아 로제","Manuel Costa & Filhos, Melodia Rose",https://www.wine21.com/13_search/wine_view.html?Idx=173997&lq=LIST,마뉴엘 코스타 & 필료스  Manuel Costa & Filhos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),에스파데이루 (Espadeiro) / 투리가 나시오날 (Touriga Nacional),,,,,12~14 ℃,,,1/5,3/5,2/5,2/5,"구즈베리, 석류, 시트러스, 장미","해산물, 서양요리, 샐러드",12~13 %,
"마뉴엘 코스타 & 필료스, 멜로디아 화이트","Manuel Costa & Filhos, Melodia White",https://www.wine21.com/13_search/wine_view.html?Idx=173998&lq=LIST,마뉴엘 코스타 & 필료스  Manuel Costa & Filhos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)) / 아베수 (Avesso) / 로우레이루 (Loureiro),,,,,8~10 ℃,,,1/5,3/5,2/5,1/5,"백도, 시트러스, 열대과일, 꽃","닭고기, 해산물, 한식, 아시아요리",11~12 %,
"마뉴엘 코스타 & 필료스, 미냐데가","Manuel Costa & Filhos, Minhadega",https://www.wine21.com/13_search/wine_view.html?Idx=173999&lq=LIST,마뉴엘 코스타 & 필료스  Manuel Costa & Filhos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),블렌드 (Blend ),,,,,8~10 ℃,,,1/5,3/5,2/5,1/5,"배, 시트러스, 미네랄","한식, 서양요리, 샐러드",10~11 %,
"마뉴엘 코스타 & 필료스, 린냐 알바리뇨","Manuel Costa & Filhos, Rinha Alvarinho",https://www.wine21.com/13_search/wine_view.html?Idx=174000&lq=LIST,마뉴엘 코스타 & 필료스  Manuel Costa & Filhos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,,,8~10 ℃,,,1/5,3/5,1/5,1/5,"복숭아, 배, 열대과일, 꽃","해산물, 한식, 아시아요리, 샐러드, 복숭아",12~13 %,
"마뉴엘 코스타 & 필료스, 린냐 아베소","Manuel Costa & Filhos, Rinha Avesso",https://www.wine21.com/13_search/wine_view.html?Idx=174001&lq=LIST,마뉴엘 코스타 & 필료스  Manuel Costa & Filhos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아베수 (Avesso),,,,,8~10 ℃,,,1/5,3/5,2/5,1/5,"배, 시트러스, 열대과일","해산물, 한식, 아시아요리, 식전주",12~13 %,
"카브스 캄펠로, 캄펠로 아린토","Caves Campelo, Campelo Arinto",https://www.wine21.com/13_search/wine_view.html?Idx=174002&lq=LIST,카브스 캄펠로  Caves Campelo [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아린토 (Arinto),Portuguese Vinho Verde White,Vinho Verde DOC(DOP),,,8~10 ℃,,,1/5,3/5,1/5,1/5,"라임, 시트러스, 레몬, 열대과일, 파인애플, 허브",,12~13 %,
"카브스 캄펠로, 캄펠로 루레로","Caves Campelo, Campelo Loureiro",https://www.wine21.com/13_search/wine_view.html?Idx=174003&lq=LIST,카브스 캄펠로  Caves Campelo [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro),Portuguese Vinho Verde White,Vinho Verde DOC(DOP),,,8~10 ℃,,,1/5,3/5,2/5,1/5,"레몬, 라임, 시트러스, 열대과일, 꽃, 흰꽃, 허브",,11~12 %,
"카브스 캄펠로, 캄펠로 알바리뇨","Caves Campelo, Campelo Alvarinho",https://www.wine21.com/13_search/wine_view.html?Idx=174004&lq=LIST,카브스 캄펠로  Caves Campelo [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),Portuguese Vinho Verde White,Vinho Verde Alvarinho DOC(DOP),,,8~10 ℃,,,1/5,3/5,1/5,1/5,"배, 레몬껍질, 레몬, 시트러스, 패션프루트, 꽃",,12~13 %,
"카브스 캄펠로, 몬텔로우루 도우루 브랑코","Caves Campelo, Montelouro Douro Brangco",https://www.wine21.com/13_search/wine_view.html?Idx=174005&lq=LIST,카브스 캄펠로  Caves Campelo [B2B],포르투갈(Portugal) / 도우루(Douro),말바시아 피나 (Malvasia Fina) / 비오시뉴 (Viosinho) / 고바이오 (Gouveio) / 라비가토 (Rabigato),,Douro DOC(DOP),,,8~10 ℃,,,1/5,3/5,3/5,1/5,"시트러스, 오렌지, 열대과일, 리치, 패션프루트, 파인애플, 꽃, 허브",,13~14 %,
"카브스 캄펠로, 몬텔로우루 도우루 틴토","Caves Campelo, Montelouro Douro Tinto",https://www.wine21.com/13_search/wine_view.html?Idx=174006&lq=LIST,카브스 캄펠로  Caves Campelo [B2B],포르투갈(Portugal) / 도우루(Douro),틴타 로리즈 (Tinta Roriz) / 투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca),Portuguese Douro Red,Douro DOC(DOP),,,16~18 ℃,,,2/5,2/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 크랜베리, 자두, 잼, 말린자두",자두,14~15 %,
"카브스 캄펠로, 몬텔로우루 도우루 틴토 레제르바","Caves Campelo, Montelouro Douro Tinto Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=174007&lq=LIST,카브스 캄펠로  Caves Campelo [B2B],포르투갈(Portugal) / 도우루(Douro),틴타 로리즈 (Tinta Roriz) / 투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca),Portuguese Douro Red,Douro DOC(DOP),,,16~18 ℃,,,1/5,3/5,4/5,3/5,"레드커런트, 블랙베리, 자두, 잼, 정향, 감초, 커피",자두,14~15 %,
