와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,등급,알코올,숙성,양조
"프리시전, 네비게이터 진판델","Precision, Navigator Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=165343&lq=LIST,프리시전 와인  Precision Wine,미국(U.S.A) / 캘리포니아(California),진판델 (Zinfandel) 100%,Californian Zinfandel,15~17 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",에노테카코리아,1/5,2/5,4/5,4/5,"리치, 오크","살라미, 견과류, 치즈",,California AVA,14~15 %,15개월동안 60% New American Oak 숙성,
"크로스반 바이 폴 홉스, 카베르네 소비뇽 나파 밸리","Crossbarn by Paul Hobbs, Cabernet Sauvignon Napa Valley",https://www.wine21.com/13_search/wine_view.html?Idx=165344&lq=LIST,폴 홉스  Paul Hobbs,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 87% / 메를로 (Merlot) 6% / 카베르네 프랑 (Cabernet Franc) 3% / 쁘띠 베르도 (Petit Verdot) 2% / 말벡 (Malbec) 2%,Californian Cabernet Sauvignon,15~17 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,4/5,"건포도, 미네랄","양갈비, 치즈",*2015 빈티지: Robert Parker 91점,Napa Valley AVA,14~15 %,,
"크로스반 바이 폴 홉스, 피노 누아 소노마 코스트","Crossbarn by Paul Hobbs, Pinot Noir Sonoma Coast",https://www.wine21.com/13_search/wine_view.html?Idx=165345&lq=LIST,폴 홉스  Paul Hobbs,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,13~15 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,3/5,"체리, 오크","파스타, 버섯, 치즈","*2016 빈티지: Robert Parker 91점, James Suckling 92점",Sonoma Coast AVA,14~15 %,,
"폴 홉스, 샤르도네 에드워드 제임스 에스테이트","Paul Hobbs, Chardonnay Edward James Estate",https://www.wine21.com/13_search/wine_view.html?Idx=165346&lq=LIST,폴 홉스  Paul Hobbs,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),샤르도네 (Chardonnay) 100%,Californian Chardonnay,8~10 ℃,"신선한 제철 샐러드, 염소 치즈, 넙치 등과 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,1/5,"시트러스, 꽃, 미네랄, 생강, 효모","샐러드, 치즈",*2015 빈티지: Robert Parker 93+점,Russian River Valley AVA,14~15 %,,
"폴 홉스, 카베르네 소비뇽 나단 쿰스 에스테이트","Paul Hobbs, Cabernet Sauvignon Nathan Coombs Estates",https://www.wine21.com/13_search/wine_view.html?Idx=165347&lq=LIST,폴 홉스  Paul Hobbs,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 98% / 쁘띠 베르도 (Petit Verdot) 1% / 카베르네 프랑 (Cabernet Franc) 1%,Californian Cabernet Sauvignon,15~17 ℃,"스테이크, 갈비, 불고기, 양갈비, 버섯, 하몽, 살라미, 한국음식 과 잘 어울린다.",에노테카코리아,1/5,4/5,5/5,5/5,허브,"스테이크, 양갈비, 버섯",*2015 빈티지: Robert Parker 96점,Napa Valley AVA,14~15 %,,
"폴 홉스, 카베르네 소비뇽 닥터 크레인 빈야드","Paul Hobbs, Cabernet Sauvignon Dr. Crane Vineyard",https://www.wine21.com/13_search/wine_view.html?Idx=165348&lq=LIST,폴 홉스  Paul Hobbs,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 세인트 헬레나(St. Helena),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Californian Cabernet Sauvignon,10~12 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,4/5,"블루베리, 허브","양갈비, 치즈",*2015 빈티지: Robert Parker 99점,St. Helena AVA,14~15 %,,
"폴 홉스, 카베르네 소비뇽 벡스토퍼 투 카론 빈야드","Paul Hobbs, Cabernet Sauvignon Beckstoffer To Kalon Vineyard",https://www.wine21.com/13_search/wine_view.html?Idx=165349&lq=LIST,폴 홉스  Paul Hobbs,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 세인트 헬레나(St. Helena),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Californian Cabernet Sauvignon,10~12 ℃,"스테이크, 갈비, 불고기, 양갈비, 버섯, 하몽, 살라미, 한국음식 과 잘 어울린다.",에노테카코리아,1/5,4/5,5/5,5/5,"블랙베리, 건포도, 아니스, 타임, 효모","스테이크, 양갈비, 버섯",*2015 빈티지: Robert Parker 98점,St. Helena AVA,14~15 %,,
"도멘 드누아, 끌로에","Domaine Denois, Chole",https://www.wine21.com/13_search/wine_view.html?Idx=165350&lq=LIST,도멘 드누아  Domaine Denois,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),메를로 (Merlot) 50% / 카베르네 프랑 (Cabernet Franc) 50%,Languedoc-Roussillon Red,15~17 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",,1/5,3/5,3/5,3/5,오크,"붉은육류, 파스타, 치즈",,,,,
샤또 라마르살,Chateau Lamarsalle,https://www.wine21.com/13_search/wine_view.html?Idx=165351&lq=LIST,샤또 라마르살  Chateau Lamarsalle,프랑스(France) / 보르도(Bordeaux) / 몽따뉴-생-떼밀리옹(Montagne-Saint-Emilion),카베르네 프랑 (Cabernet Franc) 55% / 메를로 (Merlot) 45%,Bordeaux Saint-Émilion,15~17 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",,1/5,3/5,3/5,3/5,,"붉은육류, 파스타, 치즈",,,,,
도멘 발멩고,Domaine Valmengaux,https://www.wine21.com/13_search/wine_view.html?Idx=165352&lq=LIST,도멘 발멩고  Domaine Valmengaux,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) 80% / 카베르네 프랑 (Cabernet Franc) 15% / 카베르네 소비뇽 (Cabernet Sauvignon) 5%,Bordeaux Red,15~17 ℃,"스테이크, 로스트 비프, 훈제오리, 치킨, 바비큐, 프로슈토, 브리 치즈 와 잘 어울린다.",,1/5,3/5,3/5,3/5,오크,"바비큐, 프로슈토",,Bordeaux AOC(AOP),,,
"샤또 아르꼴, 그랑 크뤼","Chateau d'Arcole, Gramd Cru",https://www.wine21.com/13_search/wine_view.html?Idx=165353&lq=LIST,샤또 아르꼴  Chateau d'Arcole,프랑스(France) / 보르도(Bordeaux) / 생-떼밀리옹(Saint-Emilion),메를로 (Merlot) 70% / 카베르네 소비뇽 (Cabernet Sauvignon) 30%,Bordeaux Saint-Émilion,15~17 ℃,"스테이크, 로스트 비프, 훈제오리, 치킨, 바비큐, 프로슈토, 브리 치즈 와 잘 어울린다.",,1/5,3/5,4/5,3/5,오크,"바비큐, 프로슈토",,,,,
"샤또 오 브리손, 그랑 크뤼","Chateau Haut Brisson, Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=165354&lq=LIST,샤또 오 브리손  Chateau Haut-Brisson,프랑스(France) / 보르도(Bordeaux) / 생-떼밀리옹(Saint-Emilion),메를로 (Merlot) 85% / 카베르네 소비뇽 (Cabernet Sauvignon) 12% / 카베르네 프랑 (Cabernet Franc) 3%,Bordeaux Saint-Émilion,15~17 ℃,"스테이크, 로스트 비프, 훈제오리, 치킨, 바비큐, 프로슈토, 브리 치즈 와 잘 어울린다.",,1/5,3/5,4/5,3/5,오크,"바비큐, 프로슈토",,,,,
샤또 라 크로와 툴리포,Chateau La Croix Toulifaut,https://www.wine21.com/13_search/wine_view.html?Idx=165355&lq=LIST,샤또 라 크로와 툴리포  Chateau La Croix Toulifaut,프랑스(France) / 보르도(Bordeaux) / 뽀므롤(Pomerol),메를로 (Merlot) 85% / 카베르네 소비뇽 (Cabernet Sauvignon) 15%,Bordeaux Pomerol,15~17 ℃,"로스트비프, 바비큐, 소시지, 오리고기, 닭고기, 치킨, 파스타, 피자와 잘 어울린다.",,1/5,3/5,4/5,3/5,오크,,,,,,
"마티아즈, 세코 브뤼 세미 스파클링","H. Matthias, Seco Brut Semi Sparkling",https://www.wine21.com/13_search/wine_view.html?Idx=165356&lq=LIST,마티아즈  Hager Matthias,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 캄프탈(Kamptal),츠바이겔트 (Zweigelt) 100%,Austrian Zweigelt,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,2/5,2/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,,
"마티아즈, 하거 롯 리저브","H. Matthias, Hager Rot Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=165357&lq=LIST,마티아즈  Hager Matthias,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 캄프탈(Kamptal),츠바이겔트 (Zweigelt) / 생로랑 (St. Laurent) / 피노 누아 (Pinot Noir),,15~17 ℃,"바비큐, 소시지, 치킨, 후라이드, 감자튀김, 파스타, 족발 과 잘 어울린다.",,1/5,4/5,4/5,3/5,오크,"족발, 파스타",,,,,
"발디비에소, 브뤼 로제","Valdivieso, Brut Rose",https://www.wine21.com/13_search/wine_view.html?Idx=165358&lq=LIST,발디비에소  Valdivieso,칠레(Chile) / 센트럴 밸리(Central Valley),샤르도네 (Chardonnay) 66% / 피노 누아 (Pinot Noir) 20% / 세미용 (Semillon) 10% / 말벡 (Malbec) 4%,,8~10 ℃,"신선한 샐러드, 간단한 견과류 등과 잘 어울린다.",,1/5,4/5,2/5,2/5,,"샐러드, 견과류",,,12 %,,
미데스 5.5,Miedes 5.5,https://www.wine21.com/13_search/wine_view.html?Idx=165359&lq=LIST,보데가스 산 알레한드로   Bodegas San Alejandro,스페인(Spain) / 칼라타유드(Calatayud),모스카토  (Moscato ) 100%,,6~8 ℃,"신선하고 달콤한 과일류, 샐러드, 케이크류 등과 잘 어울린다.",,4/5,3/5,2/5,1/5,,"샐러드, 과일",,,5~6 %,,
"요한 도나바움, 그뤼너 벨트리너","Johann Donabaum, Gruner Veltliner",https://www.wine21.com/13_search/wine_view.html?Idx=165360&lq=LIST,요한 도나바움  Johann Donabaum,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 바우(Wachau),그뤼너 벨트리너 (Gruner Veltliner) 100%,Austrian Grüner Veltliner,8~10 ℃,"돼지고기, 바비큐, 로스트 치킨, 흰살생선, 샐러드, 건육, 하몽, 프로슈토, 동남아요리, 아시아요리 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"치킨, 흰살생선, 샐러드",,,,,
"요한 도나바움, 리슬링 '오펜버그 리저브'","Johann Donabaum, Riesling 'Offenberg Reserve'",https://www.wine21.com/13_search/wine_view.html?Idx=165361&lq=LIST,요한 도나바움  Johann Donabaum,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 바우(Wachau),리슬링 (Riesling) 100%,Austrian Riesling,8~10 ℃,"돼지고기, 삼겹살, 항정살, 장어구이, 해산물, 샐러드, 야채, 불고기, 갈비찜, 수육, 동남아요리, 아시아요리 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,해산물,,,,,
"플럼튼, 클라우디 릿지 스파클링","Plumptonm, Cludy Ridge Sparkling",https://www.wine21.com/13_search/wine_view.html?Idx=165362&lq=LIST,플럼튼  Plumpton,영국(U.K),샤르도네 (Chardonnay) / 세이발 블랑 (Seyval Blanc),English Sparkling,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,5/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,,
"플럼튼, 클라우디 릿지 화이트","Plumpton, Cludy Ridge White",https://www.wine21.com/13_search/wine_view.html?Idx=165363&lq=LIST,플럼튼  Plumpton,영국(U.K),바쿠스 (Bacchus) / 세이발 블랑 (Seyval Blanc) / 뮐러 트루가우 (Muller Thurgau),English Sparkling,8~10 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,5/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,,
"플럼튼, 클라우디 릿지 레드","Plumpton, Cludy Ridge Red",https://www.wine21.com/13_search/wine_view.html?Idx=165364&lq=LIST,플럼튼  Plumpton,영국(U.K),돈펠더 (Dornfelder) / 아콜론 (Acolon) / 론도 (Rondo),,15~17 ℃,"돼지고기, 바비큐, 양고기, 훈제오리, 치킨, 건육, 족발, 수육 과 잘 어울린다.",,1/5,3/5,3/5,3/5,,"양고기, 건육",,,,,
"바틱, 엔젤 벨로","Batic, Angel belo",https://www.wine21.com/13_search/wine_view.html?Idx=165365&lq=LIST,바틱  Batic,슬로베니아(Slovenia) / 비파바(Vipava),피넬라 (Pinella) 40% / 샤르도네 (Chardonnay) 20% / 말바시아 (Malvasia) 20% / 레불라 (Rebula) 10% / 라스키 리슬링 (Laski Rizling) 7% / 젤렌 (Zelen) 2% / 비토브스카 (Vitovska) 1%,,8~10 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,"파스타, 치즈",*오렌지 와인,,,,
"스템베르거, 비토브스카","Stemberger, Vitovska",https://www.wine21.com/13_search/wine_view.html?Idx=165366&lq=LIST,스템베르거  Stemberger,슬로베니아(Slovenia) / Kras(Kras),비토브스카 (Vitovska) 100%,,8~10 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,"파스타, 치즈",,,,,
"스템베르거, 오엑스와이","Stemberger, OXY",https://www.wine21.com/13_search/wine_view.html?Idx=165367&lq=LIST,스템베르거  Stemberger,슬로베니아(Slovenia) / Kras(Kras),레불라 (Rebula) 100%,,8~10 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,"파스타, 치즈",*2005 빈티지 120병 한정,,,,
"클리넥, 가르델린","Klinec, Gardelin",https://www.wine21.com/13_search/wine_view.html?Idx=165368&lq=LIST,클리넥  Klinec,슬로베니아(Slovenia) / 고리스카 브르다(Goriska Brda),피노 그리 (Pinot Gris) 100%,,8~10 ℃,"흰살생선, 샐러드, 건육, 하몽, 프로슈토, 동남아요리, 파스타 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,"흰살생선, 파스타, 동남아요리, 샐러드",*오렌지 와인,,,,
"클리넥, 레불라","Klinec, Rebula",https://www.wine21.com/13_search/wine_view.html?Idx=165369&lq=LIST,클리넥  Klinec,슬로베니아(Slovenia) / 고리스카 브르다(Goriska Brda),레불라 (Rebula) 100%,,8~10 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,"파스타, 치즈",,,,,
"클리넥, 말바지아","Klinec, Malvazija",https://www.wine21.com/13_search/wine_view.html?Idx=165370&lq=LIST,클리넥  Klinec,슬로베니아(Slovenia) / 고리스카 브르다(Goriska Brda),말바시아 (Malvasia) 100%,,8~10 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,2/5,3/5,3/5,1/5,,"바비큐, 수육, 탕수육, 치즈",*오렌지 와인,,,,
"클리넥, 무엘라","Klinec, Quela",https://www.wine21.com/13_search/wine_view.html?Idx=165371&lq=LIST,클리넥  Klinec,슬로베니아(Slovenia),카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,15~17 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",,1/5,3/5,4/5,3/5,,"붉은육류, 파스타, 치즈",,,,,
"클리넥, 모라","Klinec, Mora",https://www.wine21.com/13_search/wine_view.html?Idx=165372&lq=LIST,클리넥  Klinec,슬로베니아(Slovenia),카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot),,15~17 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",,1/5,3/5,4/5,3/5,,"붉은육류, 파스타, 치즈",,,,,
"모비아, 벨리코 벨로","Movia, Velikok Belo",https://www.wine21.com/13_search/wine_view.html?Idx=165376&lq=LIST,모비아  Movia,슬로베니아(Slovenia),리볼라 지알라 (Ribolla Gialla) 70% / 소비뇽 블랑 (Sauvignon Blanc) / 피노 그리 (Pinot Gris) 30%,,8~10 ℃,"흰살생선, 생선구이, 새우, 해산물, 건육, 프로슈토, 다양한 치즈, 파스타 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,"파스타, 치즈",,,,,
"아티모, 샤르도네","Atimo, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=165377&lq=LIST,아티모  Atimo,슬로베니아(Slovenia),샤르도네 (Chardonnay) 100%,,8~10 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,"바비큐, 수육, 탕수육, 치즈",,,,,
"아티모, 말바지아","Atimo, Malvajiza",https://www.wine21.com/13_search/wine_view.html?Idx=165378&lq=LIST,아티모  Atimo,슬로베니아(Slovenia),말바시아 (Malvasia) 100%,,8~10 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,2/5,3/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,,
"매누아 그리뇽, 말벡","Manoir Grignon, Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=165379&lq=LIST,엘지아이 와인  LGI Wines,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),말벡 (Malbec),Languedoc-Roussillon Red,16~18 ℃,"소고기, 바비큐, 숙성된 치즈와 잘 어울린다.",,1/5,3/5,4/5,4/5,로즈마리,"소고기, 바비큐, 치즈",,,13 %,,
"매누아 그리뇽, 샤르도네","Manoir Grignon, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=165380&lq=LIST,엘지아이 와인  LGI Wines,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay),Languedoc-Roussillon White,10~12 ℃,"차가운 파스타, 구운 닭 요리와 잘 어울린다.",,1/5,3/5,3/5,1/5,"복숭아, 열대과일, 바닐라",파스타,,,13 %,,
"매누아 그리뇽, 피노 누아","Manoir Grignon, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=165381&lq=LIST,엘지아이 와인  LGI Wines,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),피노 누아 (Pinot Noir),Languedoc-Roussillon Red,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,3/5,3/5,2/5,"체리, 배, 후추, 오크","파스타, 버섯, 치즈",,,13 %,,
"브라이다, 일 피오레","Braida, Il Fiore",https://www.wine21.com/13_search/wine_view.html?Idx=165382&lq=LIST,브라이다 [지아코모 볼로냐 브라이다]  Braida [Giacomo Bologna Braida],이탈리아(Italy) / 피에몬테(Piemonte) / 트레조 티넬라(Trezzo Tinella),샤르도네 (Chardonnay) 70% / 나세타  (Nascetta) 30%,Northern Italy White,10~12 ℃,전채요리와 잘 어울린다.,,1/5,4/5,3/5,1/5,"감귤, 미네랄, 후추",전채요리,,,13 %,,
"페우디, 캄포 알레 커메테 스투포레","Feudi, Campo Alle Comete Stupore",https://www.wine21.com/13_search/wine_view.html?Idx=165383&lq=LIST,페우디 [페우디 디 산 그레고리오]  Feudi [Feudi di San Gregorio],이탈리아(Italy) / 토스카나(Toscana) / 볼게리(Bolgheri),메를로 (Merlot) / 시라/쉬라즈 (Syrah/Shiraz) / 쁘띠 베르도 (Petit Verdot) / 카베르네 소비뇽 (Cabernet Sauvignon),Italian Bolgheri,16~18 ℃,"치즈, 구운 고기, 소시지, 양고기 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"체리, 유칼립투스, 코코넛, 오크","소시지, 양고기, 치즈",,Bolgheri DOC(DOP),,,
