와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,음용온도,추천음식,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,수입사,스타일,알코올,숙성,양조
젠틀 래빗 카베르네 소비뇽,Gentle Rabbit Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=172949&lq=LIST,로스 트레스 세르디토스  Los Tres Cerditos,스페인(Spain) / 까리네냐(Carinena),카베르네 소비뇽 (Cabernet Sauvignon),16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",1/5,3/5,4/5,3/5,"블랙커런트, 블랙베리, 자두, 육두구, 바닐라, 토스트, 삼나무, 코코아, 초콜릿, 오크","그릴요리, 소고기, 스테이크, 양갈비, 양고기, 불고기, 양념갈비, 한식, 파스타, 리조토, 햄버거, 서양요리, 치즈, 브리, 그라노파다노, 블루치즈",,,씨에스알와인,,,,
젠틀 래빗 샤도네이,Gentle Rabbit Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=172950&lq=LIST,로스 트레스 세르디토스  Los Tres Cerditos,스페인(Spain) / 까리네냐(Carinena),샤르도네 (Chardonnay) / 비우라 (Viura),10~12 ℃,"전채요리, 해산물, 새우, 조개구이, 해물찜, 샐러드, 야채, 탕수육, 양장피 등과 잘 어울린다.",1/5,3/5,2/5,1/5,"살구, 복숭아, 시트러스, 레몬, 백합, 흰꽃","해산물, 씨푸드, 조개구이, 새우, 잡채, 한식, 나물, 탕수육, 양장피, 아시아요리, 튀김, 야채, 샐러드",,,씨에스알와인,Spanish Chardonnay,,,
"도멘 드 라 자나스, 샤토네프 뒤 파프 XXL","Domaine de la Janasse, Chateauneuf-du-Pape XXL",https://www.wine21.com/13_search/wine_view.html?Idx=172951&lq=LIST,도멘 드 라 자나스  Domaine de la Janasse,프랑스(France) / 론(Rhone) / 샤또네프 뒤 빠쁘(Chateauneuf du Pape),그르나슈 (Grenache) 90% / 무르베드르 (Mourvedre) 10%,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",1/5,3/5,4/5,4/5,"블랙체리, 블랙베리, 체리, 육두구, 후추, 다크초콜릿, 오크, 버섯, 젖은흙","스튜, 소고기, 스테이크, 양갈비, 양고기, 건육, 육포, 불고기, 양념갈비, 갈비찜, 한식, 치즈, 고다, 브리, 파르메산, 블루치즈",,,씨에스알와인,,,,
"로카 디 카스타뇰리, 끼안티 파토리아 디 스칸사노","Rocca di Castagnoli, Chianti Fattoria di Scansano",https://www.wine21.com/13_search/wine_view.html?Idx=172952&lq=LIST,로카 디 카스타놀리  Rocca di Castagnoli,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 칠리에졸로 (Ciliegiolo),16~18 ℃,,1/5,3/5,3/5,3/5,"블랙체리, 체리, 블랙커런트",,,,한산더블유앤비,Tuscan Red,13~14 %,"최소 6개월 이상 오크 배럴 숙성, 가벼운 여과 후 병입 3개월 숙성",28℃에서 10-12일 동안 침용 후 스틸 탱크에서 알콜 및 젖산 발효
"로카 디 카스타뇰리, 키안티 클라시코","Rocca di Castagnoli, Chianti Classico",https://www.wine21.com/13_search/wine_view.html?Idx=172953&lq=LIST,로카 디 카스타놀리  Rocca di Castagnoli,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo) / 콜로리노 (Colorino),14~16 ℃,,1/5,3/5,3/5,3/5,"블루베리, 라스베리, 블랙체리, 레드커런트",,Chianti Classico DOCG(DOP),,한산더블유앤비,,14~15 %,"최소 12개월 이상 전통적인 끼안티 배럴 숙성 후 3개월 스틸 탱크 숙성, 병입 후 최소 6개월 숙성",28℃에서 10-12일 동안 침용 후 스틸 탱크에서 알콜 & 젖산 발효
"로카 디 카스타뇰리, 포지오 아프라티 키안티 클라시코 리제르바","Rocca di Castagnoli, Poggio a'Frati Chianti Classico Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=172954&lq=LIST,로카 디 카스타놀리  Rocca di Castagnoli,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo),14~16 ℃,,1/5,3/5,4/5,4/5,"라스베리, 블루베리, 블랙체리, 카카오, 코코아",,,,한산더블유앤비,,14~15 %,"최소 15개월 이상 전통적인 끼안티 배럴 숙성 후 6개월 스틸 탱크 숙성, 병입 후 최소 12개월 숙성","싱글 빈야드 와인, 28℃에서 10-12일 동안 침용 후 스틸 탱크에서 알콜 & 젖산 발효"
크론티라스 아프론 펫 낫,Krontiras Afron Pet Nat,https://www.wine21.com/13_search/wine_view.html?Idx=172955&lq=LIST,보데가스 크론티라스  Bodegas Krontiras,아르헨티나(Argentina) / 멘도사(Mendoza),알리아니코 (Aglianico),6~8 ℃,,2/5,3/5,2/5,2/5,"체리, 배, 청사과, 시트러스",,,,한산더블유앤비,,13~14 %,,손 수확한 포도를 자연 발효 후 일정 당도가 되면 병입
크론티라스 코스믹 앰버,Krontiras Cosmic Amber,https://www.wine21.com/13_search/wine_view.html?Idx=172956&lq=LIST,보데가스 크론티라스  Bodegas Krontiras,아르헨티나(Argentina) / 멘도사(Mendoza),소비뇽 블랑 (Sauvignon Blanc) / 샤르도네 (Chardonnay) / 토론테스 (Torrontes),8~10 ℃,,2/5,2/5,2/5,2/5,배,,,*Tim Atkin 93*Descorchados 91*Sommeliers Choice Awards 91,한산더블유앤비,,12~13 %,,"각 품종별로 껍질과 함께 발효하여 황금빛, 호박색 오렌지 컬러를 얻은 후 최종 블렌딩"
크론티라스 말벡 네츄럴,Krontiras Malbec Natural,https://www.wine21.com/13_search/wine_view.html?Idx=172957&lq=LIST,보데가스 크론티라스  Bodegas Krontiras,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec) 100%,16~18 ℃,,1/5,2/5,3/5,3/5,"레드커런트, 블랙커런트, 블랙체리",,,*Tim Atkin 91*Descorchados 92*Vinomanos 95,한산더블유앤비,Argentinian Malbec,13~14 %,,"와이너리에서 살고 있는 동물의 거름으로 만든 퇴비로만 비료를 주며, 모든 생산 단계에서 아황산염이 첨가되지 않음"
크론티라스 알리아니코 네츄럴,Krontiras Aglianico Natural,https://www.wine21.com/13_search/wine_view.html?Idx=172958&lq=LIST,보데가스 크론티라스  Bodegas Krontiras,아르헨티나(Argentina) / 멘도사(Mendoza),알리아니코 (Aglianico),16~18 ℃,,1/5,3/5,3/5,3/5,"블랙체리, 블랙베리, 붉은꽃, 정향",,,*Tim Atkin 91,한산더블유앤비,,13~14 %,,"와이너리에서 살고 있는 동물의 거름으로 만든 퇴비로만 비료를 주며, 모든 생산 단계에서 아황산염이 첨가되지 않음"
"무똥 까데, 리저브 쌩떼스테프","Mouton Cadet, Reserve Saint-Estephe",https://www.wine21.com/13_search/wine_view.html?Idx=172959&lq=LIST,무똥 까데  Mouton Cadet,프랑스(France) / 보르도(Bordeaux) / 생-떼스테프(Saint Estephe),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot),16~18 ℃,"오리 코타지 파이, 허브를 곁들인 양갈비 BBQ, 크리미한 버섯스프 등과 잘 어울린다.",1/5,2/5,5/5,5/5,"블루베리, 블랙베리, 블랙커런트, 블랙체리, 가죽",,Saint-Estèphe AOC(AOP),* 2019 빈티지 : 비날리 인터내셔널 은메달* 2018 빈티지 : 팔슈타프 92점* 훌륭한 떼루아에서 발현된 검은 과실의 풍미가 꽉차게 느껴지며 강렬하지만 세련된 타닌이 어우러져 풍부하고 견고한 구조감의 미학을 보여주는 프리미엄 와인이다.,,Bordeaux Saint-Estèphe,13~14 %,,
"피에르 네종, 꼬뜨 드 뉘 빌라쥐 블랑 '레 샤조'","Pierre Naigeon, Cotes de Nuits Villages Blanc 'Les Chazots'",https://www.wine21.com/13_search/wine_view.html?Idx=172960&lq=LIST,피에르 네종  Pierre Naigeon,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 꼬뜨 드 뉘-빌라쥬(Côte de Nuits-Villages),샤르도네 (Chardonnay) 100%,8~10 ℃,"파스타, 생선류, 갑각류 요리 등과 잘 어울린다.",1/5,3/5,2/5,1/5,"배, 아몬드, 초콜릿","닭고기, 해산물, 서양요리",,,,,,14개월 동안 오크 배럴에서 숙성되며  15%는 new oak를 사용한다. 별도의 정제나 필터링 없이 병입,엄격한 hand-sorting을 거친 후 토종효모로 발효
"피에르 네종, 꼬르통 블랑 그랑 크뤼 레 그랑드 롤리에르","Pierre Naigeon, Corton Blanc Grand Cru Les Grandes Lolieres",https://www.wine21.com/13_search/wine_view.html?Idx=172961&lq=LIST,피에르 네종  Pierre Naigeon,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 알록스-꼬르통(Aloxe-Corton),샤르도네 (Chardonnay),8~10 ℃,,1/5,3/5,3/5,1/5,"사과, 모과, 흰꽃, 바닐라, 아몬드",,Corton Grand Cru AOC(AOP),,,Burgundy Côte de Beaune White,,15개월 동안 오크 배럴에서 숙성되며  100% new oak를 사용한다. 별도의 정제나 필터링 없이 병입,Guyot pruning된 60년 이상의 고목에서 손 수확하여 6kg씩 나누어 운반되며 엄격한  hand-sorting을 거친 후 토종효모로 발효
"피에르 네종, 부르고뉴 그랑 샤름","Pierre Naigeon, Bourgogne Grands Champs",https://www.wine21.com/13_search/wine_view.html?Idx=172962&lq=LIST,피에르 네종  Pierre Naigeon,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir),14~16 ℃,,1/5,3/5,3/5,2/5,"체리, 라스베리, 블루베리, 블랙베리",,Bourgogne AOC(AOP),,,Burgundy Red,,10개월 동안 오크 배럴에서 숙성되며 15%는 new oak를 사용,Guyot pruning 방식으로 관리된 50년 이상의 고목에서 손 수확하여 6kg씩 나누어 운반 후 엄격한 hand-sorting을 거쳐 토종효모로 발효
"피에르 네종, 부르고뉴 오뜨 꼬뜨 드 뉘 루즈","Pierre Naigeon, Hautes Cotes de Nuits Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=172963&lq=LIST,피에르 네종  Pierre Naigeon,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 부르고뉴 오뜨 꼬뜨 드 뉘(Bourgogne Hautes Côtes de Nuits),피노 누아 (Pinot Noir) 100%,14~16 ℃,"양고기, 오리고기 등과 좋은 매칭을 보이며 부드러운 치즈와 잘 어울린다.",1/5,3/5,3/5,2/5,"블루베리, 블랙베리, 라스베리, 장미, 감초",,Bourgogne Hautes Côtes de Nuits AOC(AOP),,,Burgundy Red,,9개월 동안 오크 배럴에서  숙성되며 15%는 new oak를 사용한다. 별도의 정제나 필터링 없이 병입,Guyot pruning 방식으로 관리된 30년 이상의 포도나무에서 손 수확하여 6kg씩 나누어  운반 후 엄격한 hand-sorting을 거쳐 토종효모로 발효
"피에르 네종, 제브리 샹베르탱 '레 크레'","Pierre Naigeon, Gevrey-Chambertin 'Les Crais'",https://www.wine21.com/13_search/wine_view.html?Idx=172964&lq=LIST,피에르 네종  Pierre Naigeon,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,14~16 ℃,,1/5,3/5,3/5,2/5,"라스베리, 블루베리","소고기, 로스트비프, 서양요리","Gevrey-Chambertin AOC(AOP), 'Les Crais'",,,Burgundy Côte de Nuits Red,,12개월 동안 오크 배럴에서 숙성되며 20%는 new oak를 사용한다.  별도의 정제나 필터링 없이 병입,Guyot pruning 방식으로 관리된 100년 이상의 고목에서 손 수확하여 6kg씩 나누어 운반 후 엄격한 hand-sorting을 거쳐 토종효모로 발효
"피에르 네종, 제브리 샹베르탱 프르미에 크뤼 '라보 생 자끄'","Pierre Naigeon, Gevrey-Chambertin  1er Cru 'Lavaux Saint Jacques'",https://www.wine21.com/13_search/wine_view.html?Idx=172965&lq=LIST,피에르 네종  Pierre Naigeon,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,14~16 ℃,,1/5,3/5,4/5,1/5,"레드커런트, 라스베리, 체리, 딸기, 제비꽃, 바닐라, 카카오",,"Gevrey-Chambertin 1er Cru AOC(AOP), 'Lavaut Saint-Jacques'",,,Burgundy Côte de Nuits Red,,12개월 동안 오크 배럴에서 숙성되며 50%는 new oak를 사용,Guyot pruning 방식으로 관리된 71년 이상의 고목에서 손 수확하여 6kg씩 나누어 운반 후 엄격한 hand-sorting을 거쳐 토종효모로 발효
"도멘 오디프레드, 본 로마네 '오 샴 페르드리'","Domaine Audiffred, Vosne-Romanee 'Aux Champ Perdrix'",https://www.wine21.com/13_search/wine_view.html?Idx=172967&lq=LIST,도멘 오디프레드  Domaine Audiffred,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir),14~16 ℃,"돼지고기, 소고기, 담백한 닭요리 등과 잘 어울린다.",1/5,5/5,5/5,3/5,"체리, 딸기, 라스베리, 제비꽃, 삼나무, 오크, 버섯, 흙","소고기, 돼지고기, 오리고기","Vosne-Romanée AOC(AOP), 'Aux Champs Perdrix'",,,Burgundy Côte de Nuits Red,14~15 %,프랜츠 오크통에서 16개월간 숙성,
"도멘 오디프레드, 본 로마네","Domaine Audiffred, Vosne-Romanee",https://www.wine21.com/13_search/wine_view.html?Idx=172968&lq=LIST,도멘 오디프레드  Domaine Audiffred,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir),14~16 ℃,"소고기, 돼지고기, 담백한 닭고기와 잘 어울린다.",1/5,4/5,5/5,3/5,"블랙커런트, 블랙체리, 딸기, 크랜베리, 제비꽃, 후추, 오크, 버섯, 흙","소고기, 돼지고기, 닭고기",Vosne-Romanée AOC(AOP),,,Burgundy Côte de Nuits Red,14~15 %,프랜치 오크통에서 15개월간 숙성,
"도멘 오디프레드, 포마르 '엉 마로'","Domaine Audiffred, Pommard 'En Mareau'",https://www.wine21.com/13_search/wine_view.html?Idx=172969&lq=LIST,도멘 오디프레드  Domaine Audiffred,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뽀마르(Pommard),피노 누아 (Pinot Noir),14~16 ℃,"소고기, 돼지고기, 담백한 닭요리 등과 잘 어울린다.",1/5,5/5,5/5,4/5,"딸기, 블루베리, 자두, 석류, 후추, 정향, 삼나무, 흙","소고기, 돼지고기, 닭고기, 자두","Pommard AOC(AOP), 'En Mareau'",,,Burgundy Côte de Nuits Red,14~15 %,프렌치 오크통에서 12개월간 숙성,
"도멘 오디프레드, 부르고뉴 피노누아","Domaine Audiffred, Bourgogne Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172970&lq=LIST,도멘 오디프레드  Domaine Audiffred,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir),14~16 ℃,"소고기, 돼지고기, 담백한 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"체리, 라스베리, 말린자두, 후추, 정향, 오크, 버섯, 흙","소고기, 돼지고기, 닭고기",Bourgogne AOC(AOP),,,Burgundy Red,14~15 %,프랜치 오크통에서 10개월간 숙성,
"안델루나, 파시오나도  말벡","Andeluna, Pasionado Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=172971&lq=LIST,안델루나  Andeluna [Bodega Andeluna],아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec) 100%,16~18 ℃,"그릴에 구운 소고기 혹은 양고기와  치미추리 소스, 콜비잭치즈  등과 잘 어울린다.",1/5,3/5,4/5,4/5,"크랜베리, 라스베리, 제비꽃, 오크","소고기, 양고기, 치즈",,*Tim Atkin MW - 93점(Vint.2016/2015)*Tim Atkin MW –  94점(Vint.2014)*Descorchados –  92점(Vint.2014),(주)와이넬,Argentinian Malbec,,"발효 전 저온 침용을 진행하고 50%는 뉴-프렌치 오크, 25%는 1회 사용된, 25%는 2회 사용된  프렌치 오크 배럴에서 12개월 동안 숙성을 진행하여 블렌딩 후 와인의 안정화를 위해 최소  8개월 동안의 병 숙성을 거쳐 출시","폴리페놀 성분의 완숙 시기인 4월, 새벽에 오직 손으로만 수확한 포도를 전량 섬세한 수작업으로 선별하여 양조"
"도멘 베뜰르모, 꼬르똥 샤를마뉴 그랑 크뤼","Domaine Berthelemot, Corton-Charlemagne Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=172972&lq=LIST,도멘 베뜰르모  Domaine Berthelemot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),샤르도네 (Chardonnay),10~12 ℃,"생선요리, 튀김, 오리고기, 참치 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 사과, 레몬, 부싯돌, 오크","오리고기, 참치, 시푸드, 튀김",Corton-Charlemagne Grand Cru AOC(AOP),*Vivino: 4.6,,Burgundy Côte de Beaune White,13~14 %,프랜치 오크통에서 11개월간 숙성,
"도멘 베뜰르모, 풀리니 몽라셰 '레 르브롱'","Domaine Berthelemot, Puligny Montrachet 'Les Levrons'",https://www.wine21.com/13_search/wine_view.html?Idx=172973&lq=LIST,도멘 베뜰르모  Domaine Berthelemot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay) 100%,12~14 ℃,"연어, 초밥, 샐러드 등과 잘 어울린다.",1/5,4/5,5/5,1/5,"라임, 레몬, 리치, 아카시아, 미네랄, 감초, 삼나무, 오크","스시, 생선회, 전체요리, 샐러드","Puligny-Montrachet AOC(AOP), 'Les Levrons'",*Vivino: 4.3,,Burgundy Côte de Beaune White,13~14 %,프렌치 오크통에서 10개월간 숙성,
"도멘 자플랭, 부르고뉴 꼬뜨 도르","Domaine Jafflin, Bourgogne Cote d'Or",https://www.wine21.com/13_search/wine_view.html?Idx=172974&lq=LIST,도멘 자플랭  Domaine Jafflin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 도르(Cote d'Or),피노 누아 (Pinot Noir) 100%,14~16 ℃,"소고기, 돼지고기, 담백한 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"블랙체리, 딸기, 라스베리, 무화과, 자두, 후추, 오크","소고기, 돼지고기, 닭고기, 자두",Bourgogne Côte d’Or AOC(AOP),,,Burgundy Red,14~15 %,프랜치 오크통에서 15개월간 숙성,
"미셸 조아네, 본 로마네","Michel Joannet, Vosne-Romanee",https://www.wine21.com/13_search/wine_view.html?Idx=172975&lq=LIST,미셸 조아네  Michel Joannet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir),14~16 ℃,"돼지고기, 소고기, 담백한 닭요리 등과 잘 어울린다.",1/5,4/5,4/5,3/5,"체리, 딸기, 크랜베리, 무화과, 장미, 오크, 가죽, 버섯","소고기, 돼지고기, 오리고기, 닭고기",Vosne-Romanée AOC(AOP),,,Burgundy Côte de Nuits Red,13~14 %,프랜치 오크통에서 15개월간 숙성,
"미셸 조아네, 빼르낭 베르즐레스 루즈","Michel Joannet, Pernand Vergelesse Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=172976&lq=LIST,미셸 조아네  Michel Joannet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뻬르낭-베르즐레스(Pernand-Vergelesses),피노 누아 (Pinot Noir),14~16 ℃,"돼지고기, 소고기, 담백한 닭 요리 등과 잘 어울린다.",1/5,4/5,5/5,3/5,"체리, 딸기, 블루베리, 라스베리, 오크, 버섯, 흙","소고기, 돼지고기, 찜닭, 닭고기",Pernand-Vergelesses AOC(AOP),,,Burgundy Côte de Beaune Red,13~14 %,프랜치 오크통에서 13개월간 숙성,
"미셸 조아네, 부르고뉴 오뜨 꼬뜨 드 뉘 블랑","Michel Joannet, Bourgogne Hautes Cote de Nuits Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=172977&lq=LIST,미셸 조아네  Michel Joannet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 부르고뉴 오뜨 꼬뜨 드 뉘(Bourgogne Hautes Côtes de Nuits),샤르도네 (Chardonnay) 100%,10~12 ℃,"각종 샐러드, 전체요리, 스시, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"라임, 레몬, 파인애플, 아카시아, 후추, 아몬드","스시, 전체요리, 샐러드, 치즈",Hautes-Côtes de Nuits AOC(AOP),,,Burgundy White,13~14 %,프렌치 오크통에서 5개월간 숙성,
"도멘 장 미셸 기용, 부르고뉴 샤도네이","Domaine Jean-Michel Guillon, Bourgogne Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=172978&lq=LIST,도멘 장-미셸 기용  Domaine Jean-Michel Guillon,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,8~10 ℃,,1/5,3/5,2/5,1/5,"시트러스, 흰꽃, 미네랄","초밥, 해산물, 샐러드",,,씨에스알와인,Burgundy White,12~13 %,,
