와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,숙성,양조
"카사 로호, 라드론","Casa Rojo, Ladron",https://www.wine21.com/13_search/wine_view.html?Idx=163219&lq=LIST,카사 로호  Casa Rojo,스페인(Spain) / 비에르소(Bierzo),멘시아 (Mencia) 100%,Spanish Mencia,,16~18 ℃,"쵸리조, 바비큐, 양고기, 스튜, 칠면조, 로스트비프, 피자, 파스타와 잘 어울린다.",에노테카코리아,1/5,3/5,5/5,4/5,"자두, 미네랄, 오크, 효모","바비큐, 양고기, 칠면조",Bierzo DO(DOP),,,
트레소랏,Tresorat,https://www.wine21.com/13_search/wine_view.html?Idx=163220&lq=LIST,바로니아 델 몬싼트  Baronia Del Montsant,스페인(Spain) / 몬산트(Montsant),가르나차 네그라 (Garnacha Negra) 51% / 까리냥 (Carignan/Carignane) 21% / 카베르네 소비뇽 (Cabernet Sauvignon) 11% / 메를로 (Merlot) 10% / 시라/쉬라즈 (Syrah/Shiraz) 7%,Spanish Montsant Red,14~15 %,16~18 ℃,"구운 양과 돼지고기, 석쇠에 구운 가금류 등과 잘 어울린다.",,1/5,3/5,3/5,4/5,"체리, 미네랄, 시나몬",가금류,Montsant DO(DOP),,,
그랑 트레소랏,Gran Tresorat,https://www.wine21.com/13_search/wine_view.html?Idx=163221&lq=LIST,바로니아 델 몬싼트  Baronia Del Montsant,스페인(Spain) / 몬산트(Montsant),가르나차 네그라 (Garnacha Negra) 37% / 까리냥 (Carignan/Carignane) 28% / 카베르네 소비뇽 (Cabernet Sauvignon) 12% / 메를로 (Merlot) 10% / 가르나차 펠루다 (Garnatxa Peluda) 7% / 시라/쉬라즈 (Syrah/Shiraz) 6%,Spanish Montsant Red,13~14 %,16~18 ℃,"붉은 고기, 치즈, 강한 소스의 음식 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,"석류, 미네랄, 오크, 크림",치즈,Montsant DO(DOP),,,
세파 포 세파,Cepa por Cepa,https://www.wine21.com/13_search/wine_view.html?Idx=163222&lq=LIST,네키아스  Nekeas,스페인(Spain) / 나바라(Navarra),가르나차 (Garnatxa) 100%,Spanish Red,14~15 %,16~18 ℃,"구운 가금류, 샐러드, 치즈 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,"체리, 미네랄","가금류, 샐러드, 치즈",Navarra DO(DOP),,,
실렌시오 데 미로스,Silencio de Miros,https://www.wine21.com/13_search/wine_view.html?Idx=163223&lq=LIST,보데가스 페냐피엘  Bodegas Penafiel,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),템프라니요 (Tempranillo) 100%,Spanish Red,14~15 %,16~18 ℃,"진한 소스의 스테이크, 트러플 요리, 숙성치즈 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"체리, 건포도, 감초","스테이크, 트러플, 치즈",Ribera del Duero DO(DOP),"*Decanter World Wine Awards 95점, Gold medal",,
파고 에레다드 데 우루에냐 토르알토,Pago Heredad de Uruena TorAlto,https://www.wine21.com/13_search/wine_view.html?Idx=163224&lq=LIST,파고 에레다드 데 우루에냐  Pago Heredad De Urunea,스페인(Spain) / 토로(Toro),템프라니요 (Tempranillo) 100%,Spanish Red,15~16 %,17~19 ℃,"구운 고기, 숙성치즈, 구운 생선 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,"배, 미네랄, 오크",치즈,Toro DO(DOP),*ZARCILLO 2015: Gold Medal*ZARCILLO 2013: Gold Medal*'Semana Vitivinícola' 91점,,
"파고 에레다드 데 우루에냐, 포룸","Pago Heredad de Uruena, Forum",https://www.wine21.com/13_search/wine_view.html?Idx=163225&lq=LIST,파고 에레다드 데 우루에냐  Pago Heredad De Urunea,스페인(Spain) / 토로(Toro),템프라니요 (Tempranillo) 100%,Spanish Red,14~15 %,16~18 ℃,"구운 고기, 숙성치즈, 구운 생선과 잘 어울린다.",,1/5,3/5,4/5,3/5,"배, 미네랄, 감초, 오크",치즈,Toro DO(DOP),"*MONOVINO 2014, Gold*CINVE 2012: Gold Medal*ZARCILLO 2013: Gold Medal*2015 Peñín Guide 92점*'Semana Vitivinícola' 92점*2014 Repsol Guide 91점",,
"로드리게스, 산죠 나쏘스","Rodriguez, Sanzo Nassos",https://www.wine21.com/13_search/wine_view.html?Idx=163226&lq=LIST,하비에르 로드리게스  Javier Rodriguez,스페인(Spain) / 까탈루냐(Cataluna) / 프리오랏(Priorat),가르나차  (Garnacha) 100%,Spanish Grenache,15~16 %,16~18 ℃,"스튜와 흰 고기, 그릴 고기, 크리미한 치즈 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,체리,"스튜, 치즈",Priorat DOCa(DOQ),"*2015 빈티지:Robert Parker 90점, Penín 93점",,
까르멜로 로데로 크리안자,Carmelo Rodero Crianza,https://www.wine21.com/13_search/wine_view.html?Idx=163227&lq=LIST,보데가스 까르멜로  로데로  Bodegas Carmelo Rodero,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),템프라니요 (Tempranillo) 90% / 카베르네 소비뇽 (Cabernet Sauvignon) 10%,Spanish Red,14 %,15~17 ℃,"양고기, 붉은 고기, 야채 튀김, 햄, 치즈 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"체리, 감초, 오크","햄, 양고기, 튀김, 야채, 치즈",Ribera del Duero DO(DOP),"*Robert Parker 92점*Concours Mondial de Bruxelles, 2015: Gold",,
"까르멜로 로데로, 레세르바","Carmelo Rodero, Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=163228&lq=LIST,보데가스 까르멜로  로데로  Bodegas Carmelo Rodero,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),템프라니요 (Tempranillo) 90% / 카베르네 소비뇽 (Cabernet Sauvignon) 10%,Spanish Red,15~16 %,16~18 ℃,"양고기, 등갈비, 치즈 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,체리,"양고기, 치즈",Ribera del Duero DO(DOP),"*Concours Mondial de Bruxelles, 2016: Gold*International Wine Challenge, 2016: Bronze",,
"까르멜로 로데로, TSM","Carmelo Rodero, TSM",https://www.wine21.com/13_search/wine_view.html?Idx=163229&lq=LIST,보데가스 까르멜로  로데로  Bodegas Carmelo Rodero,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),템프라니요 (Tempranillo) 75% / 메를로 (Merlot) 15% / 카베르네 소비뇽 (Cabernet Sauvignon) 10%,Spanish Red,14~15 %,16~18 ℃,"진한 소스의 스테이크, 트러플요리, 숙성치즈 등과 잘 어울린다.",,1/5,4/5,5/5,4/5,"체리, 미네랄, 오크","스테이크, 트러플, 치즈",Ribera del Duero DO(DOP),"*Robert Parker 92점*Mundus Vini, 2016: Gold",,
"간세도, 제스탈","Gancedo, Xestal",https://www.wine21.com/13_search/wine_view.html?Idx=163230&lq=LIST,보데가 간세도  Bodegas Gancedo,스페인(Spain) / 비에르소(Bierzo),멘시아 (Mencia) 100%,Spanish Mencia,14~15 %,16~18 ℃,"스테이크, 진한풍미의 파스타 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"체리, 배, 꽃, 오크","스테이크, 파스타",Bierzo DO(DOP),,,
간세도 발데 파싸리나스 카프리쵸,Gancedo Val De Paxarinas Caprocho,https://www.wine21.com/13_search/wine_view.html?Idx=163231&lq=LIST,보데가 간세도  Bodegas Gancedo,스페인(Spain) / 비에르소(Bierzo),고데요 (Godello) 85% / 도나 블랑카 (Dona Blanca) 15%,,13~14 %,8~10 ℃,"해물 파스타, 흰살 생선, 해산물 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,꽃,"해산물, 파스타",Bierzo DO(DOP),*2016 빈티지: Robert Parker 90점,,
간세도 우세도,Gancedo Ucedo,https://www.wine21.com/13_search/wine_view.html?Idx=163232&lq=LIST,보데가 간세도  Bodegas Gancedo,스페인(Spain) / 비에르소(Bierzo),멘시아 (Mencia) 100%,Spanish Mencia,14.5 %,16~18 ℃,"붉은 고기, 치즈, 강한 소스의 음식과 잘 어울린다.",,1/5,3/5,4/5,4/5,"체리, 배, 감초, 오크",치즈,Bierzo DO(DOP),,,
간세도 에렌시아 델 카프리쵸,Gancedo Herencia del Capricho,https://www.wine21.com/13_search/wine_view.html?Idx=163233&lq=LIST,보데가 간세도  Bodegas Gancedo,스페인(Spain) / 비에르소(Bierzo),고데요 (Godello) 90% / 도나 블랑카 (Dona Blanca) 10%,,13 %,10~12 ℃,"생선, 진하지 않은 풍미의 파스타와 잘 어울린다.",,1/5,3/5,4/5,1/5,꽃,파스타,Bierzo DO(DOP),,,
알토 시오스,Alto Sios,https://www.wine21.com/13_search/wine_view.html?Idx=163234&lq=LIST,보데가스 코스터스 델 시오  Bodegas Costers del Sio,스페인(Spain) / 코스터스 델 세그레(Costers del Segre),시라/쉬라즈 (Syrah/Shiraz) 60% / 템프라니요 (Tempranillo) 30% / 가르나차  (Garnacha) 10%,Spanish Red,14~15 %,16~18 ℃,"야생 버섯과 야채 스튜, 구운 양과 돼지고기, 석쇠에 구운 가금류 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"배, 로즈마리","스튜, 가금류",Costers del Segre DO(DOP),*Bronze Medal: Decanter Awards,,
"시오스, 블랑 드 누아","Sios, Blanc de Noirs",https://www.wine21.com/13_search/wine_view.html?Idx=163235&lq=LIST,보데가스 코스터스 델 시오  Bodegas Costers del Sio,스페인(Spain) / 코스터스 델 세그레(Costers del Segre),피노 누아 (Pinot Noir) 100%,Spanish Sparkling,11~12 %,6~8 ℃,"굴, 해산물, 생선, 구운 고기와 디저트와 잘 어울린다.",,1/5,4/5,3/5,1/5,"꽃, 바닐라, 오크","해산물, 디저트",Costers del Segre DO(DOP),,,
"시오스, 브뤼 로제 레세르바","Sios, Brut Rose Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=163236&lq=LIST,보데가스 코스터스 델 시오  Bodegas Costers del Sio,스페인(Spain) / 코스터스 델 세그레(Costers del Segre),피노 누아 (Pinot Noir) 100%,Spanish Sparkling,11~12 %,6~8 ℃,"굴, 햄, 치즈, 너츠, 레드 베리 디저트, 훈연고기, 생선과 잘 어울린다.",,1/5,3/5,3/5,1/5,잼,"햄, 치즈, 디저트",Costers del Segre DO(DOP),,,
"프란자스, 피노 그리지오","Franz-Haas, Pinot Grigio",https://www.wine21.com/13_search/wine_view.html?Idx=163237&lq=LIST,프란자스  Franz-Haas,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),피노 그리지오 (Pinot Grigio) 100%,Northern Italy White,12~13 %,10~12 ℃,"각종 육류 또는 진한 풍미의 파스타류 , 불고기, 갈비 야채플레이트, 소스 없이 구워진 흰 고기 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"배, 리치, 세이지, 오크","불고기, 파스타, 야채",Alto Adige DOC(DOP),*Decanter Panel Tasting 2016 Pinot Grigio 2014 – 90점*Antonio Galloni’s Vinous 2015 Pinot Grigio 2013 - 88점*Decanter World Wine Awards 2015 Pinot Grigio 2013 Commended wine,,
"프란자스, 게뷔르츠트라미너","Franz-Haas, Gewürztraminer",https://www.wine21.com/13_search/wine_view.html?Idx=163238&lq=LIST,프란자스  Franz-Haas,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),게뷔르츠트라미너 (Gewurztraminer) 100%,Northern Italy Gewürztraminer,13~14 %,10~12 ℃,"리버 페이스트, 흰 고기, 구운 조개, 매운 아시안음식 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"배, 오렌지, 리치, 장미, 육두구, 오크",,Alto Adige DOC(DOP),*Decanter Asia Wine Awards 2015: Gewürztraminer 2014 - Bronze medal*Berliner Weinführer 2014: Gewürztraminer 2012- excellent wine,,
"프란자스, 피노네로 슈바이쳐","Franz-Haas, Pinot Nero Schweizer",https://www.wine21.com/13_search/wine_view.html?Idx=163239&lq=LIST,프란자스  Franz-Haas,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),피노 네로 (Pinot Nero) 100%,Northern Italy Red,12~13 %,16~18 ℃,"오리, 가금류, 가메, 붉은 고기와 숙성치즈가 잘 어울린다.",,1/5,3/5,4/5,3/5,"체리, 후추, 가죽","가금류, 치즈",Alto Adige DOC(DOP),*Pinot Nero Schweizer 2011 Super Tre Stelle*Pinot Nero Schweizer 2012 Guida ai Migliori Vini 2016*Tasted 100% Blind – Andreas Larsson Pinot nero Schweizer 2013 92점*GAMBERO ROSSO – 3 Bicchieri*2014 빈티지: Robert Parker – 93점,,
프란자스 라그레인,Franz-Haas Lagrein,https://www.wine21.com/13_search/wine_view.html?Idx=163240&lq=LIST,프란자스  Franz-Haas,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),라그레인 (Lagrein) 100%,Northern Italy Red,13 %,16~18 ℃,"강하고 짭짭한 음식, 훈연된 붉은 고기와 잘 어울린다.",,1/5,3/5,4/5,4/5,배,,Alto Adige DOC(DOP),*Wine Advocate 2016: Lagrein 2013 – 89점*James Suckling 2016 – Great Wines of Italy: Lagrein 2013 – 92점*Wine Enthusiast 2015: Lagrein 2011-91점*Robert parker – 93점,,
"프란자스, 메를로","Franz-Haas, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=163241&lq=LIST,프란자스  Franz-Haas,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),메를로 (Merlot) 100%,Northern Italy Red,13~14 %,16~18 ℃,"강한 숙성치즈, 가메, 붉은 고기와 잘 어울린다.",,1/5,3/5,4/5,3/5,"토스트, 오크",치즈,Alto Adige DOC(DOP),*2007 빈티지: Punkte 88점,,
"프란자스, 이스탄테","Franz-Haas, Istante",https://www.wine21.com/13_search/wine_view.html?Idx=163242&lq=LIST,프란자스  Franz-Haas,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),카베르네 소비뇽 (Cabernet Sauvignon) 65% / 쁘띠 베르도 (Petit Verdot) 25% / 메를로 (Merlot) 5% / 카베르네 프랑 (Cabernet Franc) 5%,Northern Italy Red,12~13 %,16~18 ℃,"소금과 허브에 절인 가메 요리, 강하게 훈연된 스테이크, 잘 숙성된 고급 치즈와 잘 어울린다.",,1/5,3/5,3/5,4/5,블랙베리,"스테이크, 치즈",Alto Adige DOC(DOP),*Vini di Veronelli 2012: Istante 2004-Super Tre Stelle,,
"프란자스, 모스카토 로사","Franz-Haas, Moscato Rosa",https://www.wine21.com/13_search/wine_view.html?Idx=163243&lq=LIST,프란자스  Franz-Haas,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),모스카토 로사 (Moscato Rosa) 100%,Northern Italy Red,11.5 %,10~12 ℃,"초콜릿케이크, 오스트리아 린처 토르테, 초콜릿 디저트와 잘 어울린다.",,4/5,2/5,3/5,1/5,"오렌지, 장미, 시나몬",,Alto Adige DOC(DOP),*Robert parker – 90점*BIBENDA 5 Grappoli - Moscato Rosa 2008~2014*Moscato Rosa 2011 Gran Medaglia D’Oro*MIGLIOR VINO DOLCE / BESTER SÜSSWEIN / BEST SWEET WINE*GAMBERO ROSSO – VINI D’ITALIA 3 Bicchieri,,
"프란자스, 소피 로쏘","Franz-Haas, Sofi Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=163244&lq=LIST,프란자스  Franz-Haas,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),라그레인 (Lagrein) 60% / 메를로 (Merlot) 40%,Northern Italy Red,13~14 %,16~18 ℃,강한 풍미가 살아있는 그릴된 붉은 고기 등과 잘 어울린다.,,1/5,3/5,3/5,3/5,배,,,*GAMBERO ROSSO BEREBENE 2017 – Oscar qualità/prezzo,,
"프란자스, 소피 비앙코","Franz-Haas, Sofi Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=163245&lq=LIST,프란자스  Franz-Haas,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),뮐러 트루가우 (Muller Thurgau) 80% / 피노 비앙코 (Pinot Bianco) 20%,Northern Italy White,11~12 %,8~10 ℃,"씨푸드 샐러드, 프레쉬 염소치즈 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,"꽃, 육두구","씨푸드, 샐러드, 치즈",,,,
"지오그라피코, 보스코 델 그릴로 고베르노","Geografico, Bosco del Grillo Governo",https://www.wine21.com/13_search/wine_view.html?Idx=163246&lq=LIST,지오그라피코  Geografico,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 기타 품종 (Other Grapes),Central Italy Red,13~14 %,16~18 ℃,"파스타, 그릴드 미트 & 바베큐 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,,"미트, 파스타",Toscana IGT(IGP),*슈퍼 투스칸의 대중화를 위해 탄생된 와인*2018 IWSC Bronze Medal,,
"지오그라피코, 빈 산토","Geografico, Vin Santo",https://www.wine21.com/13_search/wine_view.html?Idx=163247&lq=LIST,지오그라피코  Geografico,이탈리아(Italy) / 토스카나(Toscana),트레비아노 (Trebbiano) 80% / 말바시아 (Malvasia) 20%,Central Italy White,17~18 %,7~9 ℃,"트러플 판나코타, 다크초콜릿무스, 티라미스 등의 디저트 등과 잘 어울린다.",,5/5,3/5,5/5,1/5,"건포도, 꿀",트러플,Vin Santo del Chianti DOC(DOP),"*첫빈팆: 1997년*토스카나 전통 디저트 와인*Production – 7,000병 한정생산",,
"아카데미아, 프로세코 스푸만테 브뤼","Accademia, Prosecco Spumante Brut",https://www.wine21.com/13_search/wine_view.html?Idx=163248&lq=LIST,아카데미아  Accademia,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) 100%,Italian Prosecco,11 %,5~7 ℃,"식전주, 생선, 가금류 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,시트러스,"가금류, 식전주",Prosecco DOC(DOP),,,
"아카데미아, 뀌베 스푸만떼 브뤼","Accademia, Cuvee' Spumante Brut",https://www.wine21.com/13_search/wine_view.html?Idx=163249&lq=LIST,아카데미아  Accademia,이탈리아(Italy) / 베네토(Veneto),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),,10~11 %,5~7 ℃,"식전주, 생선, 가금류 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,"꽃, 허브","가금류, 식전주",,,,
"아카데미아, 모스카토 스푸만떼 돌체","Accademia, Moscato Spumante Dolce",https://www.wine21.com/13_search/wine_view.html?Idx=163250&lq=LIST,아카데미아  Accademia,이탈리아(Italy) / 베네토(Veneto),모스카토  (Moscato ) 100%,,6~7 %,6~8 ℃,"기념주, 이벤트, 이탈리안 디저트와 잘 어울린다.",,4/5,1/5,2/5,1/5,"배, 장미",디저트,,,,
"아카데미아, 람브루스코 프리잔떼 돌체","Accademia, Lambrusco Frizzante dolce",https://www.wine21.com/13_search/wine_view.html?Idx=163251&lq=LIST,아카데미아  Accademia,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),람브루스코 (Lambrusco) 100%,,7~8 %,6~8 ℃,"에밀리아 음식, 연어, 살라미, 치즈, 칵테일도 잘 어울린다.",,4/5,2/5,3/5,1/5,,"살라미, 연어, 치즈",,,,
"아카데미아, 리몬첼로","Accademia, Limoncello",https://www.wine21.com/13_search/wine_view.html?Idx=163252&lq=LIST,아카데미아  Accademia,이탈리아(Italy),기타 (etc),,30 %,10~12 ℃,"식후 차갑게 음용, 아이스크림, 셔벗등과 휼륭한 매칭, 칵테일에 사용하면 좋다.",,4/5,2/5,2/5,1/5,,아이스크림,,,,
"아카데미아, 아마레또","Accademia, Amaretto",https://www.wine21.com/13_search/wine_view.html?Idx=163253&lq=LIST,아카데미아  Accademia,이탈리아(Italy),기타 (etc),,24 %,10~12 ℃,"차갑게 스트레이트 샷, 아이스 언더락, 칵테일에 사용된다.",,5/5,3/5,2/5,1/5,아몬드,,,,,
비앙켈로 델 메타우로,Bianchello del Metauro,https://www.wine21.com/13_search/wine_view.html?Idx=163254&lq=LIST,구에리에리  Guerrieri,이탈리아(Italy) / 마르케(Marche),비앙카메 (Biancame) 100%,Central Italy White,12 %,8~10 ℃,"흰 살 생선, 식전주로 잘 어울린다.",,1/5,3/5,3/5,1/5,"복숭아, 꽃",식전주,,"*Diploma gran menzione 2014*Distinzione Bianchello 2014, 2013",,
콜리 페사레시 산지오베제,Colli Pesaresi Sangiovese,https://www.wine21.com/13_search/wine_view.html?Idx=163255&lq=LIST,구에리에리  Guerrieri,이탈리아(Italy) / 마르케(Marche),산지오베제 (Sangiovese) 85% / 메를로 (Merlot) 15%,Central Italy Red,13 %,16~18 ℃,"고기, 가메, 소시지, 살라미, 로스트 비프, 치즈 등과 잘 어울린다.",,1/5,3/5,3/5,2/5,체리,"비프, 소시지, 살라미, 치즈",,*International wine challenge 2016 Bronze*Distinzione Bianchello 2014,,
"테사리, 그리셀라 소아베 클라시코","Tessari, Grisela Soave Classico",https://www.wine21.com/13_search/wine_view.html?Idx=163256&lq=LIST,테사리  Tessari,이탈리아(Italy) / 베네토(Veneto) / 소아베(Soave),가르가네가 (Garganega) 100%,Northern Italy White,12~13 %,10~12 ℃,"에피타이저, New England style 대구스튜, 오징어먹물 리소토 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,"시트러스, 엘더플라워, 미네랄",스튜,Soave DOC(DOP),,,
"테사리, 아브스","Tessari, Avus",https://www.wine21.com/13_search/wine_view.html?Idx=163257&lq=LIST,테사리  Tessari,이탈리아(Italy) / 베네토(Veneto),가르가네가 (Garganega) 100%,Northern Italy White,12~13 %,10~12 ℃,"살라미, 참치, 송어 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,아몬드,"살라미, 참치",Veneto IGT(IGP),"*연간 4,500병 생산",,
