생산지역,설명
생-죠셉Saint-Joseph,"생-죠셉(Saint-Joseph)은 프랑스의 론 북부에 위치한 와인 산지로 주로 적포도 품종인 시라로 생산되며, 일부 화이트 와인도 생산된다. 론 강의 서쪽 기슭을 따라 길게 펼쳐진 지역으로 남북으로 약 50km에 걸쳐 있으며 Hermitage와 Condrieu 사이에 위치해 있다. 주로 경사진 언덕에 포도밭이 조성되어 있어 일조량이 풍부하고, 배수가 잘 되는 특징을 가지고 있다."
크로즈-에르미따쥬Crozes-Hermitage,"크로즈-에르미타주(Crozes-Hermitage)는 프랑스 론 밸리의 와인 산지다. 이곳은 에르미타주 언덕을 둘러싼 매우 완만한 경사면에 크로즈 포도원이 자리한다. 레드 와인에는 시라를, 화이트 와인에는 루산느와 마르산느를 사용한다."
에르미따쥬Hermitage,"에르미타주(Hermitage)는 프랑스 론 밸리의 와인 산지다. 면적은 160헥타르의 포도원이 조성되어 있으며, 시라를 주품종으로 한 레드 와인을 생산한다."
노스 코스트North Coast,"노스 코스트(North Coast)는 미국 6개의 카운티를 아우르는 와인 산지 표현이다. 레이크, 마린, 멘도치노, 소노마, 나파 그리고 솔라노가 그 6개 카운티다."
에밀리아 로마냐Emilia-Romagna,"에밀리아 로마냐(Emilia-Romagna)는 이탈리아 북부의 와인 산지다. 이곳은 이름처럼 2개 지역으로 구성되는데, 에밀리아는 구릉 지대로 서쪽에 있으며, 로마냐는 평원으로 모데나와 볼로냐 동쪽에 있다. 에밀리아 로마냐 지역은 7세기부터 에투르스칸 사람들에 의해 포도 재배가 시작됐다."
드라이 크릭 밸리Dry Creek Valley,"캘리포니아 소노마 카운티에 위치한 유서 깊은 와인 산지로, 소규모 가족 운영 와이너리가 많이 분포한 곳이다. 이 지역은 특히 진판델(Zinfandel)로 잘 알려져 있으며, 전통적인 농업과 현대적 와인 양조 기술이 조화를 이루는 곳이다."
나이아가라 페닌슐라Niagara Peninsula,"나이아가라 페닌슐라(Niagara Peninsula)는 캐나다에서 가장 큰 규모를 자랑하는 와인 산지다. 이곳의 기후는 프랑스 부르고뉴 지역과 유사하다. 온타리오 호수가 봄의 서리, 냉해 피해를 막아주고 한 여름에 더워진 대기가 찬 겨울 훈훈한 미풍으로 바뀌어 온난한 겨울 날씨가 유지된다."
리오하Rioja,"리오하(Rioja)는 스페인의 중요 와인 산지다. 리오하는 에브로(Ebro)강 유역에 자리하며, 스페인 최고의 레드 와인을 생산한다. 이 지역은 프랑스 보르도에 필록세라가 만연했을 때 상인들이 보르도를 대체할 만한 지역을 물색하면서 발견된 지역으로, 리오하의 레드 와인의 경우 스페인의 보르도 와인이라고 불릴 만큼 명성이 높다."
뽀이약Pauillac,"뽀이약(Pauillac)은 프랑스 보르도 와인 산지다. 뽀이약은 훌륭한 토양과 기후, 거기에 수 백년 전통의 노하우 등 뛰어난 와인을 만들 수 있는 천혜의 조건을 갖추고 있다. 이 때문에 그랑크뤼 1등급 와인 5개 중 3개가 이 아펠라시옹에서 만들어진다."
샤또네프-뒤-빠쁘Chateauneuf-du-Pape,샤또네프-뒤-빠쁘 (Châteauneu-du-pape)는 프랑스 론 밸리의 와인 산지다. 1309년 교황이 로마 법왕청의 분열로 인하여 로마로 부임하지 못하고 아비뇽 (Avignon)에 유배되었을 때 샤또네프 뒤 빠쁘 (Châteauneu-du-pape :교황의 새로운 집) 지역에 별장을 지어 놓고 지낸 데서 이 이름이 붙여졌다.
영국U.K,"영국(U.K.)의 포도 재배는 그 역사가 매우 오래됐으나 1950년대까지 큰 발전을 이루진 못했다. 영국 남부가 주요 산지이며, 북쪽으로 웨일스, 요크셔 등에서 포도를 재배한다. 해양성 기후에 생육 기간 온도가 다소 낮아 수확은 대개 10월 혹은 11월에 진행된다."
말보로Marlborough,"말보로(Marlborough)는 뉴질랜드의 와인 산지다. 말보로는 뉴질랜드 남섬의 최북단에 있으며, 소비뇽 블랑의 본거지로 유명하다. 햇볕이 쨍쨍한 낮이 길고 밤에 서늘하며 여름과 가을에 걸쳐 포도가 천천히 오랜 기간 익어가는 전형적인 서늘한 기후 지역으로 화이트 와인의 세계적 명산지로서 탁월한 조건을 두루 갖추고 있다."
프로방스Provence,"프로방스(Provence)는 프랑스의 대표 와인 산지다. 프로방스 와인은 중세 영국 여왕이 된 프로방스의 엘레오노르(Eléonore)공주가 런던의 궁전에서 즐겨 마셔 프랑스 국경을 넘어 알려지게 됐다. 17~18세기엔 프랑스 궁정에서 즐겨 마시는 와인이 됐으며, 19세기부터는 '꼬뜨 드 프로방스' 로 불리기 시작했다. 20세기에 이르러 일반인들도 이곳 와인을 마시게 됐다."
뽀므롤Pomerol,"뽀므롤(Pomerol)은 프랑스 보르도의 와인 산지다. 뽀므롤은 보르도에서 동쪽으로 50 km, 도르도뉴 강 우안, 리부른 시 근처에 위치해 있다. 이 지역 포도 재배의 역사는 로마 시대로 거슬러 올라간다. 중세에는 수도사들이 생 자끄 드 꽁뽀스뗄까지 가는 성지 순례길의 중간 기착지인 이곳에 병원을 세우고, 포도를 재배하기 시작하였다."
막사네Marsannay,"막사네(Marsannay)는 프랑스 부르고뉴 지역의 와인 산지다. 꼬뜨 드 뉘에 속하며 과거엔 로제 와인 산지로 알려졌던 지역이다. 현재 막사네는 화이트, 로제, 레드 와인을 모두 생산하지만 샤르도네로 만든 화이트 와인은 무척 드물다. 막사네의 피노 누아는 섬세한 장미향이 풍부한 것으로 알려져 있다."
본-로마네Vosne-Romanee,"본-로마네(Vosne-Romanee)는 프랑스 부르고뉴 지역의 와인 산지다. 꼬뜨 드 뉘에 속하며 이 지역에서 가장 우수하며, 세상에서 가장 비싼 피노 누아가 생산되는 지역이다. 뉘-생-조르쥬 북쪽에 위치하며, 8개의 그랑 크뤼 포도원이 존재한다."
샹볼-뮈지니Chambolle-Musigny,"샹볼-뮈지니(Chambolle Musigny)는 Chambolle-Musigny는 프랑스 부르고뉴 지방의 코트 드 뉘(Côte de Nuits) 지역에 위치해 있다. 이 마을은 면적이 약 152 헥타르로, 부르고뉴에서도 가장 유명하고 고급스러운 와인을 생산하는 지역 중 하나로 손꼽힌다. Chambolle-Musigny는 주로 피노 누아(피노 누아) 품종으로 만든 레드 와인이 유명하다."
쥬브레-샹베르땅Gevrey-Chambertin,"쥬브레-샹베르땅(Gevrey-Chambertin)은 프랑스 부르고뉴 지역의 와인 산지다. 쥬르베-샹베르땅은 부르고뉴 꼬뜨 도르 마을 중에서 가장 큰 포도원 규모를 자랑한다. 포도원은 가파른 언덕에 분포하며, 그 토양은 철분이 풍부한 점토이며, 고도가 낮아질수록 영양분이 풍부하다. 쥬브레-샹베르땅의 위대한 그랑 크뤼 포도원은 수도승 베르땅(Bertin)의 이름을 따랐다."
꼬뜨 드 루씨옹 빌라쥬Côtes du Roussillon Villages,"꼬뜨 뒤 루씨용(Côtes du Roussillon Villages)은 프랑스 남부의 랑그도크-루시옹(Languedoc-Roussillon) 지역에 위치한 와인 산지이다. 이 지역은 지중해성 기후를 가지고 있어, 여름에는 뜨겁고 건조하며, 겨울에는 온화하고 습한 날씨가 특징이다. 이러한 기후는 포도 재배에 이상적이며, 특히 와인 생산에 적합한 환경을 제공한다."
꼬뜨 드 루씨옹Côtes de Roussillon,"꼬뜨 드 루씨용(Côtes de Roussillon)은 피레네 산맥과 지중해 사이에 위치해 있어 독특한 지형적 특성을 지닌다. 산악 지대와 해안 평야가 어우러져 있어 와인 재배에 매우 유리한 조건을 제공한다. 이 지역은 오랜 와인 양조 역사를 가지고 있으며, 전통과 현대적 기술이 조화를 이루고 있다."
마데이라Madeira,마데이라(Madeira)는 포르투갈의 섬에 위치한 와인 산지다. 15세기 포르투갈 식민지가 되면서 중요한 항구 역할을 담당했다. 섬 전체가 화산 토양이며 계단 형태로 생긴 테라스 포도원이 조성되어 있다.
이탈리아Italia,"이탈리아(Italy)는 프랑스와 앞 다투어 세계적으로 1, 2위를 하고 있는 최대 와인 생산 국가이다. 이태리 와인 역사는 4,000여 년 전, 선사시대까지 거슬러 올라간다. 당시 원시인들은 야생 포도를 밟아서 과일즙을 짜내었는데, 그것이 마치 마법에라도 걸린 것처럼 발효되면서 와인이 탄생되었다."
알만사Almansa,"알만사(Almansa)는 스페인 카스티야 라만차에 속하는 와인 산지다. 대륙성 기후에 석회를 함유한 평원에서 포도를 재배한다. 모나스트렐, 템프라니요, 가르나차, 카베르네 소비뇽, 메를로 등이 잘 자란다."
비뉴 베르데Vinho Verde,"비뉴 베르데(Vinho Verde)는 포르투갈 북서부에 위치한 유명한 와인 산지이다. 이 지역은 미뉘(Minho) 강을 따라 위치하며, 대서양의 영향으로 인해 비가 많고 기후가 온화하다. 작은 농가들이 많이 분포하고 있으며, 포도나무를 높게 가꾸는 전통적인 재배 방식을 사용한다."
포르투갈Portugal,포르투갈(Portugal)은 페니키아인(3000년 전 지금의 시리아 지방)에 뒤 이어 로마가 지중해를 지배할 당시 스페인을 거쳐 포르투갈의 북동쪽 도우루(Douro)와 남부의 알랭테주(Alentejo)지역에서 포도 재배가 시작되었으며 12세기 경 북쪽 미뉴(Minho) 지방에서 포도주를 영국으로 수출 하면서 1386년 윈져 조약( Windsor 포/영) 이후 포트(Port)와인의 수출이 증가 하였다.
세투발Setubal,"세투발(Setubal)은 포르투갈 남부의 와인 산지로 세투발 페닌슐라에 속한다. 뮈스캇 품종으로 만든 달콤한 주정 강화 와인을 주로 생산하며, 오크통에서 숙성하는데 간혹 수 십년 동안 숙성 시키기도 한다."
마고Margaux,"마고(Margaux)는 프랑스 보르도 와인 산지다. 마고 마을 주변 5개 마을이 마고 아펠라시옹을 형성하고 있고 1855 그랑 크뤼 끌라쎄 등급 생산량의 62%, 크뤼 부르주아 등급의 23%, 크뤼 아르띠장의 1%를 마고 AOC가 생산하고 있다."
메독Medoc,"메독(Médoc)은 프랑스 보르도에 속하는 와인산지다. 복합적이며 기품있고 파워풀한 메독 와인은 세계 와인 애호가들로부터 사랑을 받고 있다. 이를 뒷받침해 주듯 메독 생산량의 55%가 해외로 수출되고 있다. 메독이라는 이름은 물한가운데라는 의미의 라틴어 ""n medio aquæ"" 에서 변형되어 나온 말이다."
산타 바바라 카운티Santa Barbara County,"산타 바바라 카운티(Santa Barbara County)는 로스앤젤레스 위쪽에 위치한 와인 산지다. 이 지역은 북에서 남으로 약 150km에 분포한다. 다른 여러 해안 지역의 카운티와 마찬가지로 약 200여년전 활발한 와인 산업을 일구었다. 그러나 근대적인 와인 생산은 1960년대 데이비스의 캘리포니아 주립 대학의 연구진이 이 지역의 기후, 토양, 지형, 수자원 등이 포도 재배에 적합하다는 사실을 밝혀낸 이후 본격적으로 시작되었다."
산타 마리아 밸리Santa Maria Valley,"산타 마리아 밸리(Santa Maria Valley)는 미국 캘리포니아 산타 바바라 카운티에 속하는 와인 산지다. 해양성 기후를 지니며 캘리포니아에서 가장 서늘한 기후를 보인다. 대부분의 포도원은 언덕에 자리한 테라스 형태로 분포하며, 몬다비, 켄달잭슨, 베린져 등 큰 와이너리들이 포도원의 대부분을 소유하고 있다. 샤르도네가 주로 재배되며, 와인은 단단한 산미와 골격을 지니고 있다. 피노 누아도 성공적인 지역이다."
산타 리타 힐스Santa Rita Hills,"산타 리타 힐스(Santa Rita Hills)는 캘리포니아의 센트럴 코스트에 위치한 AVA(American Viticultural Area)로, 세계적으로 피노 누아(피노 누아)와 샤르도네(샤르도네) 와인으로 유명한 지역이다. 이곳은 독특한 지형과 기후 조건 덕분에 고품질의 와인을 생산하는 곳으로 인정받고 있다."
앤더슨 밸리Anderson Valley,"앤더슨 밸리(Anderson Valley)는 미국 캘리포니아 북부 멘도시노 카운티(Mendocino County)에 위치한 독특한 와인 산지이다. 이곳은 냉랭한 기후와 아름다운 자연경관으로 유명하며, 특히 고품질의 피노 누아와 샤르도네를 생산하는 지역으로 잘 알려져 있다."
롬바르디아Lombardia,롬바르디아(Lombardia)는 이탈리아의 와인 산지다. 롬바르디아 경제에서 와인이 차지하는 비중은 그리 크지 않다. 인구가 많고 부유한 이 지역의 시민들은 와인의 생산자보다는 소비자로서의 성향이 더 크다.
파소 로블스Paso Robles,"파소 로블스(Paso Robles)는 미국 캘리포니아의 중부 해안 지역에 위치한 와인 산지이다. 공식적으로 1983년에 AVA(American Viticultural Area)로 지정되었으며, 현재는 11개의 하위 AVA로 나뉘어 있다. 이곳은 캘리포니아의 대규모 와인 생산지 중 하나로, 품종의 다양성과 혁신적인 와인 생산으로 유명하다."
소노마 코스트Sonoma Coast,"소노마 코스트(Sonoma Coast)는 캘리포니아 소노마 카운티의 서부에 위치한 광범위한 AVA로, 태평양의 직접적인 영향을 받는 서늘한 기후와 독특한 테루아를 가진 산지이다. 이곳은 특히 피노 누아(Pinot Noir)와 샤르도네(Chardonnay)로 유명하며, 고품질의 와인을 생산하는 지역으로 세계적인 주목을 받고 있다."
메르뀌레Mercurey,메르퀴레(Mercurey)는 프랑스 부르고뉴 지역의 와인 산지다. 더 자세히는 꼬뜨 샬로네즈에 속한다. 포도원 규모는 650헥타르이며 석회암으로 형성된 구릉 지대에 자리한다. 메르퀴레는 대륙성 기후를 지니지만 온화하고 긴 여름과 건조한 가을을 지녀 훌륭한 생육 기간과 수확철을 보낸다. 유일한 위해 요소는 겨울 추위다.
알바Alba,"알바(Alba)는 이탈리아 북서부 피에몬테에 속하는 와인 산지다. 이 지역은 돌체토와 바르베라로 유명하며, 와인은 돌체토 달바(Dolcetto d'Alba) 혹은 바르베라 달바(Barbera d'Alba)로 불린다. 이 지역의 일부 숙성된 바르베라는 최고 수준의 네비올로에 필적할 만하다는 평가를 받는다."
